Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;16;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;02:00;22;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;03:00;34;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;04:00;6;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;05:00;6;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;06:00;6;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;07:00;9;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;08:00;7;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;09:00;2;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;10:00;5;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;11:00;10;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;12:00;22;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;13:00;17;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;14:00;23;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;15:00;54;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;16:00;45;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;17:00;36;;17.48;34.96;Bueno;105.36;Regular
2025-07-27;18:00;27;19.28;17.48;34.96;Bueno;105.36;Regular
2025-07-27;19:00;27;19.68;17.48;34.96;Bueno;105.36;Regular
2025-07-27;20:00;9;19.15;17.48;34.96;Bueno;105.36;Regular
2025-07-27;21:00;7;18.57;17.48;34.96;Bueno;105.36;Regular
2025-07-27;22:00;5;17.95;17.48;34.96;Bueno;105.36;Regular
2025-07-27;23:00;7;17.48;17.48;34.96;Bueno;105.36;Regular
2025-07-28;00:00;3;16.88;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;01:00;1;16.25;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;02:00;1;15.38;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;03:00;1;14.00;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;04:00;1;13.79;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;05:00;1;13.58;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;06:00;1;13.38;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;07:00;1;13.04;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;08:00;1;12.79;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;09:00;1;12.75;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;10:00;4;12.71;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;11:00;4;12.46;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;12:00;9;11.92;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;13:00;14;11.79;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;14:00;18;11.58;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;15:00;13;9.88;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;16:00;13;8.54;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;17:00;8;7.38;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;18:00;17;6.96;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;19:00;18;6.58;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;20:00;20;7.04;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;21:00;12;7.25;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;22:00;11;7.50;7.46;14.92;Bueno;49.72;Bueno
2025-07-28;23:00;6;7.46;7.46;14.92;Bueno;49.72;Bueno
2025-07-29;00:00;7;7.62;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;01:00;5;7.79;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;02:00;3;7.88;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;03:00;1;7.88;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;04:00;1;7.88;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;05:00;1;7.88;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;06:00;1;7.88;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;07:00;2;7.92;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;08:00;8;8.21;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;09:00;8;8.50;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;10:00;12;8.83;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;11:00;6;8.92;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;12:00;2;8.62;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;13:00;15;8.67;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;14:00;15;8.54;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;15:00;4;8.17;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;16:00;1;7.67;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;17:00;1;7.38;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;18:00;7;6.96;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;19:00;7;6.50;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;20:00;14;6.25;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;21:00;29;6.96;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;22:00;10;6.92;7.08;14.17;Bueno;47.22;Bueno
2025-07-29;23:00;10;7.08;7.08;14.17;Bueno;47.22;Bueno
2025-07-30;00:00;24;7.79;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;01:00;14;8.17;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;02:00;7;8.33;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;03:00;1;8.33;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;04:00;1;8.33;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;05:00;5;8.50;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;06:00;4;8.62;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;07:00;2;8.62;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;08:00;4;8.46;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;09:00;8;8.46;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;10:00;3;8.08;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;11:00;1;7.88;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;12:00;8;8.12;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;13:00;7;7.79;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;14:00;14;7.75;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;15:00;11;8.04;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;16:00;12;8.50;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;17:00;14;9.04;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;18:00;25;9.79;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;19:00;23;10.46;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;20:00;19;10.67;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;21:00;10;9.88;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;22:00;6;9.71;9.58;19.17;Bueno;63.89;Bueno
2025-07-30;23:00;7;9.58;9.58;19.17;Bueno;63.89;Bueno
2025-07-31;00:00;3;8.71;3.62;7.25;Bueno;24.17;Bueno
2025-07-31;01:00;1;8.17;3.62;7.25;Bueno;24.17;Bueno
2025-07-31;02:00;1;7.92;3.62;7.25;Bueno;24.17;Bueno
2025-07-31;03:00;1;7.92;3.62;7.25;Bueno;24.17;Bueno
