Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;6;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;02:00;41;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;03:00;43;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;04:00;5;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;05:00;4;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;06:00;11;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;07:00;6;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;08:00;1;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;09:00;1;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;10:00;2;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;11:00;5;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;12:00;5;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;13:00;4;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;14:00;4;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;15:00;3;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;16:00;8;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;17:00;9;;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;18:00;9;9.28;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;19:00;14;9.53;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;20:00;7;9.40;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;21:00;7;9.29;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;22:00;6;9.14;8.83;17.65;Bueno;58.84;Bueno
2025-07-27;23:00;2;8.83;8.83;17.65;Bueno;58.84;Bueno
2025-07-28;00:00;1;8.50;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;01:00;1;8.29;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;02:00;1;6.62;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;03:00;1;4.88;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;04:00;1;4.71;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;05:00;1;4.58;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;06:00;1;4.17;2.50;5.00;Bueno;16.67;Bueno
2025-07-28;07:00;1;3.96;2.50;5.00;Bueno;16.67;Bueno
