Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;2.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;02:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;03:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;04:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;05:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;06:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;07:00;2.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;08:00;3.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;09:00;2.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;10:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;11:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;12:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;13:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;14:00;2.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;15:00;1.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;16:00;3.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;17:00;8.00;;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;18:00;5.00;2.06;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;19:00;1.00;2.00;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;20:00;1.00;1.95;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;21:00;1.00;1.90;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;22:00;1.00;1.86;1.83;3.65;Bueno;12.17;Bueno
2025-07-27;23:00;1.00;1.83;1.83;3.65;Bueno;12.17;Bueno
2025-07-28;00:00;1.00;1.79;26.54;53.08;Bueno;125.02;Regular
2025-07-28;01:00;1.00;1.75;26.54;53.08;Bueno;125.02;Regular
2025-07-28;02:00;2.00;1.79;26.54;53.08;Bueno;125.02;Regular
2025-07-28;03:00;1.00;1.79;26.54;53.08;Bueno;125.02;Regular
2025-07-28;04:00;2.00;1.83;26.54;53.08;Bueno;125.02;Regular
2025-07-28;05:00;1.00;1.83;26.54;53.08;Bueno;125.02;Regular
2025-07-28;06:00;1.00;1.83;26.54;53.08;Bueno;125.02;Regular
2025-07-28;07:00;9.00;2.12;26.54;53.08;Bueno;125.02;Regular
2025-07-28;08:00;14.00;2.58;26.54;53.08;Bueno;125.02;Regular
2025-07-28;09:00;105.00;6.88;26.54;53.08;Bueno;125.02;Regular
2025-07-28;10:00;35.00;8.29;26.54;53.08;Bueno;125.02;Regular
2025-07-28;11:00;46.00;10.17;26.54;53.08;Bueno;125.02;Regular
2025-07-28;12:00;201.00;18.50;26.54;53.08;Bueno;125.02;Regular
2025-07-28;13:00;91.00;22.25;26.54;53.08;Bueno;125.02;Regular
2025-07-28;14:00;42.00;23.92;26.54;53.08;Bueno;125.02;Regular
2025-07-28;15:00;7.00;24.17;26.54;53.08;Bueno;125.02;Regular
2025-07-28;16:00;5.00;24.25;26.54;53.08;Bueno;125.02;Regular
2025-07-28;17:00;10.00;24.33;26.54;53.08;Bueno;125.02;Regular
2025-07-28;18:00;23.00;25.08;26.54;53.08;Bueno;125.02;Regular
2025-07-28;19:00;15.00;25.67;26.54;53.08;Bueno;125.02;Regular
2025-07-28;20:00;3.00;25.75;26.54;53.08;Bueno;125.02;Regular
2025-07-28;21:00;9.00;26.08;26.54;53.08;Bueno;125.02;Regular
2025-07-28;22:00;7.00;26.33;26.54;53.08;Bueno;125.02;Regular
2025-07-28;23:00;6.00;26.54;26.54;53.08;Bueno;125.02;Regular
2025-07-29;00:00;40.00;28.17;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;01:00;5.00;28.33;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;02:00;1.00;28.29;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;03:00;1.00;28.29;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;04:00;7.00;28.50;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;05:00;17.00;29.17;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;06:00;42.00;30.88;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;07:00;98.00;34.58;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;08:00;145.00;40.04;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;09:00;209.00;44.38;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;10:00;152.00;49.25;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;11:00;200.00;55.67;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;12:00;155.00;53.75;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;13:00;93.00;53.83;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;14:00;39.00;53.71;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;15:00;32.00;54.75;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;16:00;33.00;55.92;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;17:00;48.00;57.50;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;18:00;275.00;68.00;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;19:00;347.00;81.83;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;20:00;631.00;108.00;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;21:00;492.00;128.12;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;22:00;304.00;140.50;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-29;23:00;148.00;146.42;146.42;421.39;Preemergencia;396.25;Preemergencia
2025-07-30;00:00;133.00;150.29;13.92;27.83;Bueno;92.78;Bueno
