Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;Nielol;21.3;16.39;47.34;17.48;34.96;105.36;Bueno;Regular
2025-07-28;Villarrica;;;;26.54;53.08;125.02;Bueno;Regular
2025-07-29;Villarrica;;;;146.42;421.39;396.25;Preemergencia;Preemergencia
2025-07-30;Nielol;14.92;11.47;33.15;9.58;19.17;63.89;Bueno;Bueno
2025-07-31;Padre_Las_Casas_II;6.58;5.06;14.63;3.17;6.33;21.11;Bueno;Bueno
2025-08-01;Las_Encinas_Temuco;17.25;13.27;38.33;16.38;32.75;102.97;Bueno;Regular
2025-08-02;Villarrica;;;;41.5;83.0;157.72;Bueno;Regular
2025-08-03;Las_Encinas_Temuco;69.38;53.37;140.09;69.58;165.28;219.99;Regular;Alerta
2025-08-04;Villarrica;;;;69.79;165.97;220.46;Regular;Alerta
2025-08-05;Padre_Las_Casas_II;63.62;48.94;130.6;54.62;115.42;186.68;Regular;Regular
2025-08-06;Villarrica;;;;34.04;68.08;141.38;Bueno;Regular
2025-08-07;Padre_Las_Casas_II;62.67;48.21;129.02;44.42;88.83;164.14;Bueno;Regular
2025-08-08;Villarrica;;;;74.21;180.69;230.35;Regular;Alerta
2025-08-09;Padre_Las_Casas_II;58.54;45.03;122.22;44.21;88.42;163.68;Bueno;Regular
2025-08-10;Villarrica;;;;42.46;84.92;159.83;Bueno;Regular
2025-08-11;Padre_Las_Casas_II;21.04;16.19;46.76;12.88;25.75;85.83;Bueno;Bueno
2025-08-12;Villarrica;;;;46.21;92.42;168.09;Bueno;Regular
2025-08-13;Padre_Las_Casas_II;68.09;52.38;137.97;48.77;97.55;173.74;Bueno;Regular
2025-08-14;Nielol;64.79;49.84;132.52;56.75;122.5;191.4;Regular;Regular
2025-08-15;Las_Encinas_Temuco;61.54;47.34;127.16;53.29;110.97;183.73;Regular;Regular
2025-08-16;Villarrica;;;;91.25;237.5;268.81;Alerta;Alerta
