Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;21;;21.30;16.39;Bueno;47.34;Bueno;16;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;02:00;23;;21.30;16.39;Bueno;47.34;Bueno;22;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;03:00;38;;21.30;16.39;Bueno;47.34;Bueno;34;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;04:00;12;;21.30;16.39;Bueno;47.34;Bueno;6;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;05:00;10;;21.30;16.39;Bueno;47.34;Bueno;6;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;06:00;9;;21.30;16.39;Bueno;47.34;Bueno;6;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;07:00;12;;21.30;16.39;Bueno;47.34;Bueno;9;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;08:00;9;;21.30;16.39;Bueno;47.34;Bueno;7;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;09:00;5;;21.30;16.39;Bueno;47.34;Bueno;2;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;10:00;6;;21.30;16.39;Bueno;47.34;Bueno;5;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;11:00;12;;21.30;16.39;Bueno;47.34;Bueno;10;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;12:00;25;;21.30;16.39;Bueno;47.34;Bueno;22;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;13:00;21;;21.30;16.39;Bueno;47.34;Bueno;17;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;14:00;24;;21.30;16.39;Bueno;47.34;Bueno;23;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;15:00;58;;21.30;16.39;Bueno;47.34;Bueno;54;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;16:00;53;;21.30;16.39;Bueno;47.34;Bueno;45;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;17:00;40;;21.30;16.39;Bueno;47.34;Bueno;36;;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;18:00;30;22.67;21.30;16.39;Bueno;47.34;Bueno;27;19.28;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;19:00;33;23.21;21.30;16.39;Bueno;47.34;Bueno;27;19.68;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;20:00;17;22.90;21.30;16.39;Bueno;47.34;Bueno;9;19.15;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;21:00;12;22.38;21.30;16.39;Bueno;47.34;Bueno;7;18.57;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;22:00;11;21.86;21.30;16.39;Bueno;47.34;Bueno;5;17.95;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-27;23:00;9;21.30;21.30;16.39;Bueno;47.34;Bueno;7;17.48;17.48;34.96;Bueno;105.36;Regular;Bueno;Regular
2025-07-28;00:00;8;20.75;9.92;7.63;Bueno;22.04;Bueno;3;16.88;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;01:00;3;20.00;9.92;7.63;Bueno;22.04;Bueno;1;16.25;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;02:00;1;19.08;9.92;7.63;Bueno;22.04;Bueno;1;15.38;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;03:00;1;17.54;9.92;7.63;Bueno;22.04;Bueno;1;14.00;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;04:00;1;17.08;9.92;7.63;Bueno;22.04;Bueno;1;13.79;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;05:00;1;16.71;9.92;7.63;Bueno;22.04;Bueno;1;13.58;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;06:00;1;16.38;9.92;7.63;Bueno;22.04;Bueno;1;13.38;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;07:00;1;15.92;9.92;7.63;Bueno;22.04;Bueno;1;13.04;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;08:00;1;15.58;9.92;7.63;Bueno;22.04;Bueno;1;12.79;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;09:00;2;15.46;9.92;7.63;Bueno;22.04;Bueno;1;12.75;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;10:00;8;15.54;9.92;7.63;Bueno;22.04;Bueno;4;12.71;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;11:00;8;15.38;9.92;7.63;Bueno;22.04;Bueno;4;12.46;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;12:00;12;14.83;9.92;7.63;Bueno;22.04;Bueno;9;11.92;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;13:00;14;14.54;9.92;7.63;Bueno;22.04;Bueno;14;11.79;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;14:00;22;14.46;9.92;7.63;Bueno;22.04;Bueno;18;11.58;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;15:00;18;12.79;9.92;7.63;Bueno;22.04;Bueno;13;9.88;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;16:00;14;11.17;9.92;7.63;Bueno;22.04;Bueno;13;8.54;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;17:00;11;9.96;9.92;7.63;Bueno;22.04;Bueno;8;7.38;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;18:00;23;9.67;9.92;7.63;Bueno;22.04;Bueno;17;6.96;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;19:00;19;9.08;9.92;7.63;Bueno;22.04;Bueno;18;6.58;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;20:00;25;9.42;9.92;7.63;Bueno;22.04;Bueno;20;7.04;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;21:00;18;9.67;9.92;7.63;Bueno;22.04;Bueno;12;7.25;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;22:00;16;9.88;9.92;7.63;Bueno;22.04;Bueno;11;7.50;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-28;23:00;10;9.92;9.92;7.63;Bueno;22.04;Bueno;6;7.46;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-07-29;00:00;7;9.88;12.46;9.58;Bueno;27.69;Bueno;7;7.62;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;01:00;3;9.88;12.46;9.58;Bueno;27.69;Bueno;5;7.79;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;02:00;8;10.17;12.46;9.58;Bueno;27.69;Bueno;3;7.88;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;03:00;5;10.33;12.46;9.58;Bueno;27.69;Bueno;1;7.88;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;04:00;5;10.50;12.46;9.58;Bueno;27.69;Bueno;1;7.88;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;05:00;5;10.67;12.46;9.58;Bueno;27.69;Bueno;1;7.88;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;06:00;3;10.75;12.46;9.58;Bueno;27.69;Bueno;1;7.88;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;07:00;9;11.08;12.46;9.58;Bueno;27.69;Bueno;2;7.92;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;08:00;14;11.62;12.46;9.58;Bueno;27.69;Bueno;8;8.21;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;09:00;9;11.92;12.46;9.58;Bueno;27.69;Bueno;8;8.50;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;10:00;16;12.25;12.46;9.58;Bueno;27.69;Bueno;12;8.83;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;11:00;7;12.21;12.46;9.58;Bueno;27.69;Bueno;6;8.92;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;12:00;3;11.83;12.46;9.58;Bueno;27.69;Bueno;2;8.62;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;13:00;20;12.08;12.46;9.58;Bueno;27.69;Bueno;15;8.67;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;14:00;16;11.83;12.46;9.58;Bueno;27.69;Bueno;15;8.54;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;15:00;13;11.62;12.46;9.58;Bueno;27.69;Bueno;4;8.17;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
2025-07-29;16:00;7;11.33;12.46;9.58;Bueno;27.69;Bueno;1;7.67;7.08;14.17;Bueno;47.22;Bueno;Bueno;Bueno
