Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;11;;11.26;8.66;Bueno;25.02;Bueno;6;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;02:00;40;;11.26;8.66;Bueno;25.02;Bueno;41;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;03:00;52;;11.26;8.66;Bueno;25.02;Bueno;43;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;04:00;7;;11.26;8.66;Bueno;25.02;Bueno;5;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;05:00;7;;11.26;8.66;Bueno;25.02;Bueno;4;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;06:00;12;;11.26;8.66;Bueno;25.02;Bueno;11;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;07:00;7;;11.26;8.66;Bueno;25.02;Bueno;6;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;08:00;2;;11.26;8.66;Bueno;25.02;Bueno;1;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;09:00;3;;11.26;8.66;Bueno;25.02;Bueno;1;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;10:00;3;;11.26;8.66;Bueno;25.02;Bueno;2;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;11:00;5;;11.26;8.66;Bueno;25.02;Bueno;5;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;12:00;6;;11.26;8.66;Bueno;25.02;Bueno;5;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;13:00;5;;11.26;8.66;Bueno;25.02;Bueno;4;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;14:00;6;;11.26;8.66;Bueno;25.02;Bueno;4;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;15:00;10;;11.26;8.66;Bueno;25.02;Bueno;3;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;16:00;13;;11.26;8.66;Bueno;25.02;Bueno;8;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;17:00;14;;11.26;8.66;Bueno;25.02;Bueno;9;;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;18:00;13;12.00;11.26;8.66;Bueno;25.02;Bueno;9;9.28;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;19:00;17;12.26;11.26;8.66;Bueno;25.02;Bueno;14;9.53;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;20:00;9;12.10;11.26;8.66;Bueno;25.02;Bueno;7;9.40;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;21:00;8;11.90;11.26;8.66;Bueno;25.02;Bueno;7;9.29;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;22:00;7;11.68;11.26;8.66;Bueno;25.02;Bueno;6;9.14;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-27;23:00;2;11.26;11.26;8.66;Bueno;25.02;Bueno;2;8.83;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-28;00:00;3;10.92;5.62;4.33;Bueno;12.50;Bueno;1;8.50;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;01:00;3;10.58;5.62;4.33;Bueno;12.50;Bueno;1;8.29;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;02:00;5;9.12;5.62;4.33;Bueno;12.50;Bueno;1;6.62;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;03:00;4;7.12;5.62;4.33;Bueno;12.50;Bueno;1;4.88;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;04:00;2;6.92;5.62;4.33;Bueno;12.50;Bueno;1;4.71;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;05:00;2;6.71;5.62;4.33;Bueno;12.50;Bueno;1;4.58;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;06:00;1;6.25;5.62;4.33;Bueno;12.50;Bueno;1;4.17;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;07:00;3;6.08;5.62;4.33;Bueno;12.50;Bueno;1;3.96;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;08:00;9;6.38;5.62;4.33;Bueno;12.50;Bueno;1;3.96;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;09:00;13;6.79;5.62;4.33;Bueno;12.50;Bueno;1;3.96;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-28;10:00;9;7.04;5.62;4.33;Bueno;12.50;Bueno;3;4.00;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
