Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;11.26;8.66;Bueno;25.02;Bueno;8.83;17.65;Bueno;58.84;Bueno;Bueno;Bueno
2025-07-28;5.62;4.33;Bueno;12.50;Bueno;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-29;24.83;19.10;Bueno;55.19;Bueno;14.79;29.58;Bueno;98.61;Bueno;Bueno;Bueno
2025-07-30;9.58;7.37;Bueno;21.30;Bueno;4.54;9.08;Bueno;30.28;Bueno;Bueno;Bueno
2025-07-31;6.58;5.06;Bueno;14.63;Bueno;3.17;6.33;Bueno;21.11;Bueno;Bueno;Bueno
2025-08-01;12.00;9.23;Bueno;26.67;Bueno;8.75;17.50;Bueno;58.33;Bueno;Bueno;Bueno
2025-08-02;16.67;12.82;Bueno;37.04;Bueno;14.00;28.00;Bueno;93.33;Bueno;Bueno;Bueno
2025-08-03;45.62;35.10;Bueno;101.02;Regular;38.21;76.42;Bueno;150.50;Regular;Bueno;Regular
2025-08-04;84.17;64.74;Bueno;164.62;Regular;65.33;151.11;Regular;210.49;Alerta;Regular;Alerta
2025-08-05;63.62;48.94;Bueno;130.60;Regular;54.62;115.42;Regular;186.68;Regular;Regular;Regular
2025-08-06;14.92;11.47;Bueno;33.15;Bueno;8.29;16.58;Bueno;55.28;Bueno;Bueno;Bueno
2025-08-07;62.67;48.21;Bueno;129.02;Regular;44.42;88.83;Bueno;164.14;Regular;Bueno;Regular
2025-08-08;102.96;79.20;Bueno;195.99;Regular;72.88;176.25;Regular;227.36;Alerta;Regular;Alerta
2025-08-09;58.54;45.03;Bueno;122.22;Regular;44.21;88.42;Bueno;163.68;Regular;Bueno;Regular
2025-08-10;15.62;12.02;Bueno;34.72;Bueno;9.00;18.00;Bueno;60.00;Bueno;Bueno;Bueno
2025-08-11;21.04;16.19;Bueno;46.76;Bueno;12.88;25.75;Bueno;85.83;Bueno;Bueno;Bueno
2025-08-12;44.58;34.29;Bueno;99.07;Bueno;32.38;64.75;Bueno;137.74;Regular;Bueno;Regular
2025-08-13;68.09;52.38;Bueno;137.97;Regular;48.77;97.55;Bueno;173.74;Regular;Bueno;Regular
