FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;60;;;
250727;0200;99;;;
250727;0300;85;;;
250727;0400;74;;;
250727;0500;74;;;
250727;0600;53;;;
250727;0700;37;;;
250727;0800;46;;;
250727;0900;36;;;
250727;1000;67;;;
250727;1100;42;;;
250727;1200;55;;;
250727;1300;41;;;
250727;1400;28;;;
250727;1500;26;;;
250727;1600;39;;;
250727;1700;63;;;
250727;1800;49;;;
250727;1900;42;;;
250727;2000;71;;;
250727;2100;37;;;
250727;2200;21;;;
250727;2300;19;;;
250728;0000;11;;;
250728;0100;5;;;
250728;0200;5;;;
250728;0300;6;;;
250728;0400;6;;;
250728;0500;6;;;
250728;0600;7;;;
250728;0700;6;;;
250728;0800;4;;;
250728;0900;7;;;
250728;1000;14;;;
250728;1100;21;;;
250728;1200;21;;;
250728;1300;18;;;
250728;1400;18;;;
250728;1500;18;;;
250728;1600;32;;;
250728;1700;35;;;
250728;1800;35;;;
250728;1900;39;;;
250728;2000;28;;;
250728;2100;26;;;
250728;2200;25;;;
250728;2300;13;;;
250729;0000;12;;;
250729;0100;13;;;
250729;0200;10;;;
250729;0300;4;;;
250729;0400;1;;;
250729;0500;1;;;
250729;0600;6;;;
250729;0700;7;;;
250729;0800;5;;;
250729;0900;12;;;
250729;1000;20;;;
250729;1100;13;;;
250729;1200;11;;;
250729;1300;18;;;
250729;1400;27;;;
250729;1500;25;;;
250729;1600;26;;;
250729;1700;28;;;
250729;1800;39;;;
250729;1900;26;;;
250729;2000;18;;;
250729;2100;9;;;
250729;2200;14;;;
250729;2300;12;;;
250730;0000;14;;;
250730;0100;8;;;
250730;0200;3;;;
250730;0300;6;;;
250730;0400;4;;;
250730;0500;1;;;
250730;0600;7;;;
250730;0700;5;;;
250730;0800;6;;;
250730;0900;11;;;
250730;1000;14;;;
250730;1100;14;;;
250730;1200;11;;;
250730;1300;14;;;
250730;1400;22;;;
250730;1500;13;;;
250730;1600;10;;;
250730;1700;32;;;
250730;1800;34;;;
250730;1900;25;;;
250730;2000;29;;;
250730;2100;39;;;
250730;2200;32;;;
250730;2300;14;;;
250731;0000;14;;;
250731;0100;10;;;
250731;0200;6;;;
250731;0300;5;;;
250731;0400;8;;;
250731;0500;5;;;
250731;0600;4;;;
250731;0700;5;;;
250731;0800;13;;;
250731;0900;27;;;
250731;1000;16;;;
250731;1100;16;;;
250731;1200;14;;;
250731;1300;13;;;
250731;1400;19;;;
250731;1500;20;;;
250731;1600;24;;;
250731;1700;32;;;
250731;1800;43;;;
250731;1900;38;;;
250731;2000;32;;;
250731;2100;25;;;
250731;2200;16;;;
250731;2300;16;;;
250801;0000;12;;;
250801;0100;10;;;
250801;0200;7;;;
250801;0300;6;;;
250801;0400;5;;;
250801;0500;6;;;
250801;0600;2;;;
250801;0700;4;;;
250801;0800;4;;;
250801;0900;8;;;
250801;1000;11;;;
250801;1100;15;;;
250801;1200;14;;;
250801;1300;25;;;
250801;1400;28;;;
