Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;37;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;02:00;10;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;03:00;6;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;04:00;6;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;05:00;42;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;06:00;15;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;07:00;8;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;08:00;2;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;09:00;16;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;10:00;41;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;11:00;13;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;12:00;22;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;13:00;10;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;14:00;17;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;15:00;14;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;16:00;16;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;17:00;22;;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;18:00;15;17.33;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;19:00;27;17.84;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;20:00;26;18.25;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;21:00;19;18.29;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;22:00;9;17.86;17.39;13.38;Bueno;38.65;Bueno
2025-07-27;23:00;7;17.39;17.39;13.38;Bueno;38.65;Bueno
2025-07-28;00:00;8;17.00;9.67;7.44;Bueno;21.48;Bueno
2025-07-28;01:00;7;15.75;9.67;7.44;Bueno;21.48;Bueno
2025-07-28;02:00;2;15.42;9.67;7.44;Bueno;21.48;Bueno
