Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;36;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;02:00;10;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;03:00;6;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;04:00;5;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;05:00;41;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;06:00;14;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;07:00;7;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;08:00;1;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;09:00;15;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;10:00;40;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;11:00;9;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;12:00;21;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;13:00;8;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;14:00;16;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;15:00;13;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;16:00;15;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;17:00;22;;16.22;32.43;Bueno;102.63;Regular
2025-07-27;18:00;14;16.28;16.22;32.43;Bueno;102.63;Regular
2025-07-27;19:00;26;16.79;16.22;32.43;Bueno;102.63;Regular
2025-07-27;20:00;25;17.20;16.22;32.43;Bueno;102.63;Regular
2025-07-27;21:00;16;17.14;16.22;32.43;Bueno;102.63;Regular
2025-07-27;22:00;7;16.68;16.22;32.43;Bueno;102.63;Regular
2025-07-27;23:00;6;16.22;16.22;32.43;Bueno;102.63;Regular
2025-07-28;00:00;7;15.83;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;01:00;6;14.58;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;02:00;2;14.25;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;03:00;1;14.04;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;04:00;1;13.88;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;05:00;1;12.21;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;06:00;1;11.67;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;07:00;1;11.42;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;08:00;2;11.46;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;09:00;1;10.88;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;10:00;4;9.38;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;11:00;4;9.17;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;12:00;6;8.54;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;13:00;12;8.71;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;14:00;10;8.46;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;15:00;13;8.46;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;16:00;13;8.38;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;17:00;12;7.96;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;18:00;21;8.25;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;19:00;14;7.75;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;20:00;20;7.54;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;21:00;21;7.75;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;22:00;12;7.96;8.12;16.25;Bueno;54.17;Bueno
2025-07-28;23:00;10;8.12;8.12;16.25;Bueno;54.17;Bueno
2025-07-29;00:00;9;8.21;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;01:00;4;8.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;02:00;1;8.08;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;03:00;2;8.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;04:00;1;8.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;05:00;1;8.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;06:00;1;8.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;07:00;3;8.21;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;08:00;2;8.21;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;09:00;1;8.21;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;10:00;5;8.25;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;11:00;25;9.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;12:00;15;9.50;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;13:00;19;9.79;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;14:00;14;9.96;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;15:00;18;10.17;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;16:00;12;10.12;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;17:00;18;10.38;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;18:00;23;10.46;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;19:00;38;11.46;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;20:00;10;11.04;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;21:00;18;10.92;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;22:00;10;10.83;10.62;21.25;Bueno;70.83;Bueno
2025-07-29;23:00;5;10.62;10.62;21.25;Bueno;70.83;Bueno
2025-07-30;00:00;6;10.50;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;01:00;6;10.58;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;02:00;2;10.62;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;03:00;51;12.67;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;04:00;6;12.88;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;05:00;3;12.96;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;06:00;5;13.12;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;07:00;4;13.17;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;08:00;6;13.33;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;09:00;8;13.62;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;10:00;7;13.71;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;11:00;7;12.96;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;12:00;8;12.67;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;13:00;20;12.71;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;14:00;22;13.04;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;15:00;9;12.67;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;16:00;17;12.88;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;17:00;17;12.83;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;18:00;14;12.46;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;19:00;16;11.54;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;20:00;11;11.58;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;21:00;17;11.54;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;22:00;12;11.62;11.79;23.58;Bueno;78.61;Bueno
2025-07-30;23:00;9;11.79;11.79;23.58;Bueno;78.61;Bueno
2025-07-31;00:00;12;12.04;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;01:00;7;12.08;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;02:00;10;12.42;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;03:00;7;10.58;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;04:00;2;10.42;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;05:00;2;10.38;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;06:00;1;10.21;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;07:00;1;10.08;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;08:00;1;9.88;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;09:00;5;9.75;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;10:00;11;9.92;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;11:00;10;10.04;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;12:00;6;9.96;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;13:00;14;9.71;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;14:00;16;9.46;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;15:00;13;9.62;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;16:00;19;9.71;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;17:00;19;9.79;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;18:00;7;9.50;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;19:00;7;9.12;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;20:00;10;9.08;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;21:00;10;8.79;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;22:00;12;8.79;8.83;17.67;Bueno;58.89;Bueno
2025-07-31;23:00;10;8.83;8.83;17.67;Bueno;58.89;Bueno
2025-08-01;00:00;6;8.58;21.50;43.00;Bueno;114.07;Regular
2025-08-01;01:00;5;8.50;21.50;43.00;Bueno;114.07;Regular
2025-08-01;02:00;5;8.29;21.50;43.00;Bueno;114.07;Regular
