Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;73.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;02:00;97.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;03:00;51.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;04:00;59.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;05:00;31.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;06:00;24.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;07:00;31.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;08:00;23.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;09:00;46.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;10:00;76.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;11:00;66.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;12:00;45.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;13:00;51.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;14:00;35.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;15:00;29.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;16:00;41.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;17:00;56.00;;46.61;93.22;Bueno;168.97;Regular
2025-07-27;18:00;54.00;49.33;46.61;93.22;Bueno;168.97;Regular
2025-07-27;19:00;34.00;48.53;46.61;93.22;Bueno;168.97;Regular
2025-07-27;20:00;56.00;48.90;46.61;93.22;Bueno;168.97;Regular
2025-07-27;21:00;44.00;48.67;46.61;93.22;Bueno;168.97;Regular
2025-07-27;22:00;28.00;47.73;46.61;93.22;Bueno;168.97;Regular
2025-07-27;23:00;22.00;46.61;46.61;93.22;Bueno;168.97;Regular
2025-07-28;00:00;5.00;44.88;17.67;35.33;Bueno;105.76;Regular
2025-07-28;01:00;5.00;42.04;17.67;35.33;Bueno;105.76;Regular
2025-07-28;02:00;4.00;38.17;17.67;35.33;Bueno;105.76;Regular
2025-07-28;03:00;3.00;36.17;17.67;35.33;Bueno;105.76;Regular
2025-07-28;04:00;4.00;33.88;17.67;35.33;Bueno;105.76;Regular
2025-07-28;05:00;4.00;32.75;17.67;35.33;Bueno;105.76;Regular
2025-07-28;06:00;2.00;31.83;17.67;35.33;Bueno;105.76;Regular
2025-07-28;07:00;1.00;30.58;17.67;35.33;Bueno;105.76;Regular
2025-07-28;08:00;9.00;30.00;17.67;35.33;Bueno;105.76;Regular
2025-07-28;09:00;9.00;28.46;17.67;35.33;Bueno;105.76;Regular
2025-07-28;10:00;18.00;26.04;17.67;35.33;Bueno;105.76;Regular
2025-07-28;11:00;18.00;24.04;17.67;35.33;Bueno;105.76;Regular
2025-07-28;12:00;17.00;22.88;17.67;35.33;Bueno;105.76;Regular
2025-07-28;13:00;18.00;21.50;17.67;35.33;Bueno;105.76;Regular
2025-07-28;14:00;22.00;20.96;17.67;35.33;Bueno;105.76;Regular
2025-07-28;15:00;26.00;20.83;17.67;35.33;Bueno;105.76;Regular
2025-07-28;16:00;22.00;20.04;17.67;35.33;Bueno;105.76;Regular
2025-07-28;17:00;32.00;19.04;17.67;35.33;Bueno;105.76;Regular
2025-07-28;18:00;38.00;18.38;17.67;35.33;Bueno;105.76;Regular
2025-07-28;19:00;41.00;18.67;17.67;35.33;Bueno;105.76;Regular
2025-07-28;20:00;39.00;17.96;17.67;35.33;Bueno;105.76;Regular
2025-07-28;21:00;38.00;17.71;17.67;35.33;Bueno;105.76;Regular
2025-07-28;22:00;30.00;17.79;17.67;35.33;Bueno;105.76;Regular
2025-07-28;23:00;19.00;17.67;17.67;35.33;Bueno;105.76;Regular
2025-07-29;00:00;15.00;18.08;18.58;37.17;Bueno;107.75;Regular
2025-07-29;01:00;9.00;18.25;18.58;37.17;Bueno;107.75;Regular
2025-07-29;02:00;7.00;18.38;18.58;37.17;Bueno;107.75;Regular
2025-07-29;03:00;5.00;18.46;18.58;37.17;Bueno;107.75;Regular
2025-07-29;04:00;4.00;18.46;18.58;37.17;Bueno;107.75;Regular
2025-07-29;05:00;5.00;18.50;18.58;37.17;Bueno;107.75;Regular
2025-07-29;06:00;6.00;18.67;18.58;37.17;Bueno;107.75;Regular
2025-07-29;07:00;5.00;18.83;18.58;37.17;Bueno;107.75;Regular
2025-07-29;08:00;7.00;18.75;18.58;37.17;Bueno;107.75;Regular
2025-07-29;09:00;15.00;19.00;18.58;37.17;Bueno;107.75;Regular
2025-07-29;10:00;17.00;18.96;18.58;37.17;Bueno;107.75;Regular
