Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;01:00;;;;;;;;12;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;02:00;;;;;;;;33;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;03:00;;;;;;;;23;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;04:00;;;;;;;;34;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;05:00;;;;;;;;20;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;06:00;;;;;;;;19;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;07:00;;;;;;;;29;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;08:00;;;;;;;;21;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;09:00;;;;;;;;115;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;10:00;;;;;;;;52;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;11:00;;;;;;;;12;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;12:00;;;;;;;;9;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;13:00;;;;;;;;13;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;14:00;;;;;;;;19;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;15:00;;;;;;;;3;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-07-26;16:00;;;;;;;;12;;35.09;70.17;Bueno;143.66;Regular;Bueno;Regular
