Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;Alerce;;;;35.09;70.17;143.66;Bueno;Regular
2025-07-27;Osorno;50.61;38.93;109.19;47.74;95.48;171.46;Bueno;Regular
2025-07-28;Universidad_de_Los_Lagos;;;;17.67;35.33;105.76;Bueno;Regular
2025-07-29;Universidad_de_Los_Lagos;;;;18.58;37.17;107.75;Bueno;Regular
2025-07-30;Universidad_de_Los_Lagos;;;;22.33;44.67;115.88;Bueno;Regular
2025-07-31;Universidad_de_Los_Lagos;;;;20.00;40.00;110.82;Bueno;Regular
2025-08-01;Puerto_Varas;23.54;18.11;52.31;21.50;43.00;114.07;Bueno;Regular
2025-08-02;Universidad_de_Los_Lagos;;;;29.67;59.33;131.83;Bueno;Regular
2025-08-03;Universidad_de_Los_Lagos;;;;117.75;325.83;329.46;Preemergencia;Preemergencia
2025-08-04;Osorno;104.21;80.16;198.09;97.79;259.31;283.68;Alerta;Alerta
2025-08-05;Osorno;51.33;39.49;110.38;47.17;94.33;170.20;Bueno;Regular
2025-08-06;Universidad_de_Los_Lagos;;;;83.54;211.81;251.36;Alerta;Alerta
2025-08-07;Puerto_Varas;30.29;23.3;67.31;27.75;55.50;127.65;Bueno;Regular
2025-08-08;Puerto_Varas;142.33;124.67;262.51;139.79;399.31;380.70;Preemergencia;Preemergencia
2025-08-09;Puerto_Varas;85.38;65.67;166.63;82.50;208.33;249.01;Alerta;Alerta
2025-08-10;Universidad_de_Los_Lagos;;;;17.54;35.08;105.49;Bueno;Regular
2025-08-11;Universidad_de_Los_Lagos;;;;21.96;43.92;115.06;Bueno;Regular
2025-08-12;Mirasol;;;;114.62;315.42;322.25;Preemergencia;Preemergencia
2025-08-13;Alerce;;;;80.50;201.67;244.50;Alerta;Alerta
2025-08-14;Puerto_Varas;93.05;71.57;179.41;89.73;232.42;265.36;Alerta;Alerta
2025-08-15;Universidad_de_Los_Lagos;;;;120.46;334.86;335.71;Preemergencia;Preemergencia
2025-08-16;Universidad_de_Los_Lagos;;;;90.58;235.28;267.30;Alerta;Alerta
2025-08-17;Osorno;127.62;98.17;237.54;113.33;311.11;319.28;Preemergencia;Preemergencia
2025-08-18;Osorno;56.54;43.49;118.93;50.08;100.28;176.64;Regular;Regular
2025-08-19;Universidad_de_Los_Lagos;;;;42.75;85.50;160.47;Bueno;Regular
2025-08-20;Universidad_de_Los_Lagos;;;;26.21;52.42;124.29;Bueno;Regular
2025-08-21;Universidad_de_Los_Lagos;;;;40.62;81.25;155.80;Bueno;Regular
2025-08-22;Puerto_Varas;51.0;39.23;109.83;49.88;99.75;176.18;Bueno;Regular
2025-08-23;Universidad_de_Los_Lagos;;;;44.33;88.67;163.96;Bueno;Regular
2025-08-24;Alerce;;;;32.46;64.92;137.92;Bueno;Regular
2025-08-25;Osorno;58.54;45.03;122.22;49.21;98.42;174.70;Bueno;Regular
2025-08-26;Osorno;72.88;56.06;145.88;62.38;141.25;203.90;Regular;Alerta
