Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;;;;;;;;120;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;02:00;;;;;;;;11;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;03:00;;;;;;;;6;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;04:00;;;;;;;;4;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;05:00;;;;;;;;29;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;06:00;;;;;;;;29;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;07:00;;;;;;;;1;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;08:00;;;;;;;;7;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;09:00;;;;;;;;41;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;10:00;;;;;;;;42;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;11:00;;;;;;;;42;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;12:00;;;;;;;;36;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;13:00;;;;;;;;19;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;14:00;;;;;;;;21;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;15:00;;;;;;;;21;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;16:00;;;;;;;;25;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;17:00;;;;;;;;37;;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;18:00;;;;;;;;31;29.00;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;19:00;;;;;;;;30;29.05;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;20:00;;;;;;;;36;29.40;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;21:00;;;;;;;;31;29.48;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;22:00;;;;;;;;14;28.77;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-27;23:00;;;;;;;;14;28.13;28.13;56.26;Bueno;128.48;Regular;Bueno;Regular
2025-07-28;00:00;;;;;;;;7;27.25;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;01:00;;;;;;;;5;22.46;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;02:00;;;;;;;;3;22.12;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;03:00;;;;;;;;1;21.92;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;04:00;;;;;;;;1;21.79;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;05:00;;;;;;;;1;20.62;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;06:00;;;;;;;;1;19.46;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;07:00;;;;;;;;1;19.46;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;08:00;;;;;;;;1;19.21;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;09:00;;;;;;;;3;17.62;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;10:00;;;;;;;;4;16.04;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;11:00;;;;;;;;;14.91;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;12:00;;;;;;;;;13.95;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;13:00;;;;;;;;9;13.50;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;14:00;;;;;;;;6;12.82;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;15:00;;;;;;;;7;12.18;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;16:00;;;;;;;;5;11.27;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;17:00;;;;;;;;6;9.86;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;18:00;;;;;;;;11;8.95;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;19:00;;;;;;;;11;8.09;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;20:00;;;;;;;;9;6.86;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
2025-07-28;21:00;;;;;;;;6;5.73;5.14;10.27;Bueno;34.24;Bueno;Bueno;Bueno
