Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;17.39;13.38;Bueno;38.65;Bueno;16.22;32.43;Bueno;102.63;Regular;Bueno;Regular
2025-07-28;9.67;7.44;Bueno;21.48;Bueno;8.12;16.25;Bueno;54.17;Bueno;Bueno;Bueno
2025-07-29;12.62;9.71;Bueno;28.06;Bueno;10.62;21.25;Bueno;70.83;Bueno;Bueno;Bueno
2025-07-30;13.42;10.32;Bueno;29.81;Bueno;11.79;23.58;Bueno;78.61;Bueno;Bueno;Bueno
2025-07-31;10.46;8.04;Bueno;23.24;Bueno;8.83;17.67;Bueno;58.89;Bueno;Bueno;Bueno
2025-08-01;23.54;18.11;Bueno;52.31;Bueno;21.50;43.00;Bueno;114.07;Regular;Bueno;Regular
2025-08-02;25.62;19.71;Bueno;56.94;Bueno;23.96;47.92;Bueno;119.40;Regular;Bueno;Regular
2025-08-03;68.62;52.79;Bueno;138.85;Regular;67.29;157.64;Regular;214.87;Alerta;Regular;Alerta
2025-08-04;61.21;47.08;Bueno;126.62;Regular;59.88;132.92;Regular;198.34;Regular;Regular;Regular
2025-08-05;41.83;32.18;Bueno;92.96;Bueno;40.12;80.25;Bueno;154.71;Regular;Bueno;Regular
2025-08-06;43.79;33.69;Bueno;97.31;Bueno;41.79;83.58;Bueno;158.37;Regular;Bueno;Regular
2025-08-07;30.29;23.30;Bueno;67.31;Bueno;27.75;55.50;Bueno;127.65;Regular;Bueno;Regular
2025-08-08;142.33;124.67;Regular;262.51;Alerta;139.79;399.31;Preemergencia;380.70;Preemergencia;Preemergencia;Preemergencia
2025-08-09;85.38;65.67;Bueno;166.63;Regular;82.50;208.33;Alerta;249.01;Alerta;Alerta;Alerta
2025-08-10;12.17;9.36;Bueno;27.04;Bueno;10.71;21.42;Bueno;71.39;Bueno;Bueno;Bueno
2025-08-11;14.79;11.38;Bueno;32.87;Bueno;13.33;26.67;Bueno;88.89;Bueno;Bueno;Bueno
2025-08-12;96.79;74.46;Bueno;185.67;Regular;95.12;250.42;Alerta;277.61;Alerta;Alerta;Alerta
2025-08-13;61.46;47.28;Bueno;127.03;Regular;59.29;130.97;Regular;197.04;Regular;Regular;Regular
2025-08-14;93.05;71.57;Bueno;179.41;Regular;89.73;232.42;Alerta;265.36;Alerta;Alerta;Alerta
2025-08-15;53.75;41.35;Bueno;114.35;Regular;50.96;103.19;Regular;178.57;Regular;Regular;Regular
2025-08-16;86.83;66.79;Bueno;169.06;Regular;84.42;214.72;Alerta;253.34;Alerta;Alerta;Alerta
2025-08-17;78.79;60.61;Bueno;155.69;Regular;76.79;189.31;Regular;236.16;Alerta;Regular;Alerta
2025-08-18;37.25;28.65;Bueno;82.78;Bueno;34.96;69.92;Bueno;143.38;Regular;Bueno;Regular
2025-08-19;16.08;12.37;Bueno;35.74;Bueno;14.21;28.42;Bueno;94.72;Bueno;Bueno;Bueno
2025-08-20;25.54;19.65;Bueno;56.76;Bueno;22.71;45.42;Bueno;116.69;Regular;Bueno;Regular
2025-08-21;27.62;21.25;Bueno;61.39;Bueno;26.50;53.00;Bueno;124.93;Regular;Bueno;Regular
2025-08-22;51.00;39.23;Bueno;109.83;Regular;49.88;99.75;Bueno;176.18;Regular;Bueno;Regular
2025-08-23;14.46;11.12;Bueno;32.13;Bueno;13.08;26.17;Bueno;87.22;Bueno;Bueno;Bueno
2025-08-24;27.54;21.19;Bueno;61.20;Bueno;26.17;52.33;Bueno;124.20;Regular;Bueno;Regular
2025-08-25;32.68;25.14;Bueno;72.63;Bueno;30.14;60.27;Bueno;132.85;Regular;Bueno;Regular
2025-08-26;38.42;29.55;Bueno;85.37;Bueno;34.88;69.75;Bueno;143.20;Regular;Bueno;Regular
2025-08-27;105.54;81.19;Bueno;200.32;Alerta;103.88;279.58;Alerta;297.57;Alerta;Alerta;Alerta
2025-08-28;54.00;41.54;Bueno;114.76;Regular;51.62;105.42;Regular;180.04;Regular;Regular;Regular
2025-08-29;43.29;33.30;Bueno;96.20;Bueno;40.04;80.08;Bueno;154.52;Regular;Bueno;Regular
2025-08-30;74.79;57.53;Bueno;149.06;Regular;67.62;158.75;Regular;215.61;Alerta;Regular;Alerta
2025-08-31;24.71;19.01;Bueno;54.91;Bueno;21.42;42.83;Bueno;113.89;Regular;Bueno;Regular
2025-09-01;37.96;29.20;Bueno;84.35;Bueno;35.79;71.58;Bueno;145.21;Regular;Bueno;Regular
2025-09-02;42.46;32.66;Bueno;94.35;Bueno;40.58;81.17;Bueno;155.71;Regular;Bueno;Regular
2025-09-03;37.67;28.97;Bueno;83.70;Bueno;35.88;71.75;Bueno;145.39;Regular;Bueno;Regular
2025-09-04;38.71;29.78;Bueno;86.02;Bueno;35.04;70.08;Bueno;143.57;Regular;Bueno;Regular
2025-09-05;36.46;28.04;Bueno;81.02;Bueno;30.17;60.33;Bueno;132.92;Regular;Bueno;Regular
2025-09-06;45.88;35.29;Bueno;101.43;Regular;40.21;80.42;Bueno;154.89;Regular;Bueno;Regular
2025-09-07;22.71;17.47;Bueno;50.46;Bueno;17.96;35.92;Bueno;106.40;Regular;Bueno;Regular
2025-09-08;11.96;9.20;Bueno;26.57;Bueno;7.58;15.17;Bueno;50.56;Bueno;Bueno;Bueno
2025-09-09;9.88;7.60;Bueno;21.94;Bueno;8.21;16.42;Bueno;54.72;Bueno;Bueno;Bueno
2025-09-10;100.50;77.31;Bueno;191.87;Regular;96.88;256.25;Alerta;281.60;Alerta;Alerta;Alerta
2025-09-11;81.50;62.69;Bueno;160.19;Regular;75.71;185.69;Regular;233.72;Alerta;Regular;Alerta
2025-09-12;34.38;26.44;Bueno;76.39;Bueno;29.58;59.17;Bueno;131.64;Regular;Bueno;Regular
2025-09-13;140.21;120.42;Regular;258.90;Alerta;138.38;394.58;Preemergencia;377.39;Preemergencia;Preemergencia;Preemergencia
2025-09-14;69.33;53.33;Bueno;140.02;Regular;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-09-15;17.79;13.69;Bueno;39.54;Bueno;12.04;24.08;Bueno;80.28;Bueno;Bueno;Bueno
2025-09-16;34.21;26.31;Bueno;76.02;Bueno;32.71;65.42;Bueno;138.46;Regular;Bueno;Regular
2025-09-17;15.88;12.21;Bueno;35.28;Bueno;13.54;27.08;Bueno;90.28;Bueno;Bueno;Bueno
2025-09-18;11.21;8.62;Bueno;24.91;Bueno;9.83;19.67;Bueno;65.56;Bueno;Bueno;Bueno
2025-09-19;39.62;30.48;Bueno;88.06;Bueno;38.25;76.50;Bueno;150.59;Regular;Bueno;Regular
2025-09-20;14.67;11.28;Bueno;32.59;Bueno;13.42;26.83;Bueno;89.44;Bueno;Bueno;Bueno
2025-09-21;15.79;12.15;Bueno;35.09;Bueno;13.88;27.75;Bueno;92.50;Bueno;Bueno;Bueno
2025-09-22;45.20;34.77;Bueno;100.33;Regular;42.24;84.48;Bueno;159.35;Regular;Bueno;Regular
2025-09-23;41.92;32.24;Bueno;93.15;Bueno;39.38;78.75;Bueno;153.06;Regular;Bueno;Regular
2025-09-24;45.92;35.32;Bueno;101.50;Regular;38.67;77.33;Bueno;151.51;Regular;Bueno;Regular
2025-09-25;40.25;30.96;Bueno;89.44;Bueno;24.42;48.83;Bueno;120.40;Regular;Bueno;Regular
2025-09-26;16.25;12.50;Bueno;36.11;Bueno;13.50;27.00;Bueno;90.00;Bueno;Bueno;Bueno
2025-09-27;10.75;8.27;Bueno;23.89;Bueno;8.46;16.92;Bueno;56.39;Bueno;Bueno;Bueno
2025-09-28;64.42;49.55;Bueno;131.90;Regular;62.38;141.25;Regular;203.90;Alerta;Regular;Alerta
2025-09-29;31.33;24.10;Bueno;69.63;Bueno;27.29;54.58;Bueno;126.65;Regular;Bueno;Regular
2025-09-30;42.62;32.79;Bueno;94.72;Bueno;40.62;81.25;Bueno;155.80;Regular;Bueno;Regular
2025-10-01;43.50;33.46;Bueno;96.67;Bueno;38.00;76.00;Bueno;150.04;Regular;Bueno;Regular
2025-10-02;21.12;16.25;Bueno;46.94;Bueno;15.92;31.83;Bueno;101.98;Regular;Bueno;Regular
2025-10-03;34.50;26.54;Bueno;76.67;Bueno;19.83;39.67;Bueno;110.45;Regular;Bueno;Regular
2025-10-04;52.62;40.48;Bueno;112.50;Regular;51.46;104.86;Regular;179.67;Regular;Regular;Regular
2025-10-05;31.21;24.01;Bueno;69.35;Bueno;28.33;56.67;Bueno;128.92;Regular;Bueno;Regular
2025-10-06;17.79;13.69;Bueno;39.54;Bueno;16.75;33.50;Bueno;103.78;Regular;Bueno;Regular
