Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;2;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;02:00;5;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;03:00;6;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;04:00;33;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;05:00;28;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;06:00;9;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;07:00;18;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;08:00;55;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;09:00;1;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;10:00;1;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;11:00;1;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;12:00;2;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;13:00;4;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;14:00;3;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;15:00;3;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;16:00;2;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;17:00;1;;17.22;34.43;Bueno;104.79;Regular
2025-07-26;18:00;1;9.72;17.22;34.43;Bueno;104.79;Regular
2025-07-26;19:00;10;9.74;17.22;34.43;Bueno;104.79;Regular
2025-07-26;20:00;27;10.60;17.22;34.43;Bueno;104.79;Regular
2025-07-26;21:00;67;13.29;17.22;34.43;Bueno;104.79;Regular
2025-07-26;22:00;76;16.14;17.22;34.43;Bueno;104.79;Regular
2025-07-26;23:00;41;17.22;17.22;34.43;Bueno;104.79;Regular
2025-07-27;00:00;31;17.79;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;01:00;10;18.12;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;02:00;17;18.62;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;03:00;4;18.54;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;04:00;5;17.38;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;05:00;7;16.50;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;06:00;17;16.83;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;07:00;8;16.42;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;08:00;36;15.62;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;09:00;33;16.96;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;10:00;15;17.54;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;11:00;1;17.54;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;12:00;9;17.83;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;13:00;5;17.88;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;14:00;2;17.83;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;15:00;2;17.79;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;16:00;18;18.46;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;17:00;16;19.08;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;18:00;8;19.38;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;19:00;14;19.54;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;20:00;7;18.71;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;21:00;1;15.96;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;22:00;2;12.88;11.21;22.42;Bueno;74.72;Bueno
2025-07-27;23:00;1;11.21;11.21;22.42;Bueno;74.72;Bueno
2025-07-28;00:00;1;9.96;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;01:00;1;9.58;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;02:00;1;8.92;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;03:00;1;8.79;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;04:00;1;8.62;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;05:00;1;8.38;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;06:00;1;7.71;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;07:00;1;7.42;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;08:00;1;5.96;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;09:00;1;4.62;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;10:00;5;4.21;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;11:00;11;4.62;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;12:00;8;4.58;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;13:00;5;4.58;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;14:00;8;4.83;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;15:00;8;5.08;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;16:00;15;4.96;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;17:00;7;4.58;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;18:00;6;4.50;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;19:00;5;4.12;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;20:00;3;3.96;3.96;7.92;Bueno;26.39;Bueno
2025-07-28;21:00;1;3.96;3.96;7.92;Bueno;26.39;Bueno
