Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;28;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;02:00;23;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;03:00;9;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;04:00;18;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;05:00;15;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;06:00;13;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;07:00;13;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;08:00;22;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;09:00;23;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;10:00;30;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;11:00;37;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;12:00;46;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;13:00;14;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;14:00;20;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;15:00;22;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;16:00;48;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;17:00;57;;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;18:00;44;26.78;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;19:00;106;30.95;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;20:00;86;33.70;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;21:00;92;36.48;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;22:00;36;36.45;35.91;27.63;Bueno;79.81;Bueno
2025-07-26;23:00;24;35.91;35.91;27.63;Bueno;79.81;Bueno
2025-07-27;00:00;37;35.96;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;01:00;34;36.21;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;02:00;36;36.75;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;03:00;18;37.12;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;04:00;27;37.50;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;05:00;16;37.54;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;06:00;14;37.58;23.50;18.08;Bueno;52.22;Bueno
2025-07-27;07:00;17;37.75;23.50;18.08;Bueno;52.22;Bueno
