Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;01:00;28;;35.91;27.63;Bueno;79.81;Bueno;26;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;02:00;23;;35.91;27.63;Bueno;79.81;Bueno;21;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;03:00;9;;35.91;27.63;Bueno;79.81;Bueno;5;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;04:00;18;;35.91;27.63;Bueno;79.81;Bueno;15;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;05:00;15;;35.91;27.63;Bueno;79.81;Bueno;13;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;06:00;13;;35.91;27.63;Bueno;79.81;Bueno;9;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;07:00;13;;35.91;27.63;Bueno;79.81;Bueno;8;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;08:00;22;;35.91;27.63;Bueno;79.81;Bueno;21;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;09:00;23;;35.91;27.63;Bueno;79.81;Bueno;20;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;10:00;30;;35.91;27.63;Bueno;79.81;Bueno;25;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;11:00;37;;35.91;27.63;Bueno;79.81;Bueno;28;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;12:00;46;;35.91;27.63;Bueno;79.81;Bueno;32;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;13:00;14;;35.91;27.63;Bueno;79.81;Bueno;7;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;14:00;20;;35.91;27.63;Bueno;79.81;Bueno;21;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;15:00;22;;35.91;27.63;Bueno;79.81;Bueno;20;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
2025-07-26;16:00;48;;35.91;27.63;Bueno;79.81;Bueno;44;;32.09;64.17;Bueno;137.11;Regular;Bueno;Regular
