Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-06-22;Punta_Arenas;;;;5.26;10.52;35.07;Bueno;Bueno
2025-06-23;Punta_Arenas;;;;2.29;4.58;15.28;Bueno;Bueno
2025-06-24;Punta_Arenas;;;;3.83;7.67;25.56;Bueno;Bueno
2025-06-25;Punta_Arenas;;;;2.67;5.33;17.78;Bueno;Bueno
2025-06-26;;;;;;;;;
2025-06-27;Punta_Arenas;;;;4.50;9.00;30.00;Bueno;Bueno
2025-06-28;Punta_Arenas;;;;8.67;17.33;57.78;Bueno;Bueno
2025-06-29;Punta_Arenas;;;;4.46;8.92;29.72;Bueno;Bueno
2025-06-30;Punta_Arenas;;;;3.65;7.30;24.35;Bueno;Bueno
2025-07-01;Punta_Arenas;;;;2.21;4.42;14.72;Bueno;Bueno
2025-07-02;;;;;;;;;
2025-07-03;Punta_Arenas;;;;4.27;8.55;28.48;Bueno;Bueno
2025-07-04;Punta_Arenas;;;;6.00;12.00;40.00;Bueno;Bueno
2025-07-05;Punta_Arenas;;;;9.17;18.33;61.11;Bueno;Bueno
2025-07-06;Punta_Arenas;;;;4.54;9.08;30.28;Bueno;Bueno
2025-07-07;Punta_Arenas;;;;3.38;6.75;22.50;Bueno;Bueno
2025-07-08;Punta_Arenas;;;;4.83;9.67;32.22;Bueno;Bueno
2025-07-09;Punta_Arenas;;;;3.12;6.25;20.83;Bueno;Bueno
2025-07-10;Punta_Arenas;;;;2.50;5.00;16.67;Bueno;Bueno
2025-07-11;Punta_Arenas;;;;1.75;3.50;11.67;Bueno;Bueno
2025-07-12;Punta_Arenas;;;;3.08;6.17;20.56;Bueno;Bueno
2025-07-13;Punta_Arenas;;;;4.21;8.42;28.06;Bueno;Bueno
2025-07-14;Punta_Arenas;;;;5.88;11.75;39.17;Bueno;Bueno
2025-07-15;Punta_Arenas;;;;4.00;8.00;26.67;Bueno;Bueno
2025-07-16;Punta_Arenas;;;;4.42;8.83;29.44;Bueno;Bueno
2025-07-17;Punta_Arenas;;;;4.08;8.17;27.22;Bueno;Bueno
2025-07-18;Punta_Arenas;;;;3.42;6.83;22.78;Bueno;Bueno
2025-07-19;Punta_Arenas;;;;2.83;5.67;18.89;Bueno;Bueno
