Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-06-22;;;;;;5.26;10.52;Bueno;35.07;Bueno;Bueno;Bueno
2025-06-23;;;;;;2.29;4.58;Bueno;15.28;Bueno;Bueno;Bueno
2025-06-24;;;;;;3.83;7.67;Bueno;25.56;Bueno;Bueno;Bueno
2025-06-25;;;;;;2.67;5.33;Bueno;17.78;Bueno;Bueno;Bueno
2025-06-26;;;;;;;;;;;;
2025-06-27;;;;;;4.50;9.00;Bueno;30.00;Bueno;Bueno;Bueno
2025-06-28;;;;;;8.67;17.33;Bueno;57.78;Bueno;Bueno;Bueno
2025-06-29;;;;;;4.46;8.92;Bueno;29.72;Bueno;Bueno;Bueno
2025-06-30;;;;;;3.65;7.30;Bueno;24.35;Bueno;Bueno;Bueno
2025-07-01;;;;;;2.21;4.42;Bueno;14.72;Bueno;Bueno;Bueno
2025-07-02;;;;;;;;;;;;
2025-07-03;;;;;;4.27;8.55;Bueno;28.48;Bueno;Bueno;Bueno
2025-07-04;;;;;;6.00;12.00;Bueno;40.00;Bueno;Bueno;Bueno
2025-07-05;;;;;;9.17;18.33;Bueno;61.11;Bueno;Bueno;Bueno
2025-07-06;;;;;;4.54;9.08;Bueno;30.28;Bueno;Bueno;Bueno
2025-07-07;;;;;;3.38;6.75;Bueno;22.50;Bueno;Bueno;Bueno
2025-07-08;;;;;;4.83;9.67;Bueno;32.22;Bueno;Bueno;Bueno
2025-07-09;;;;;;3.12;6.25;Bueno;20.83;Bueno;Bueno;Bueno
2025-07-10;;;;;;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-11;;;;;;1.75;3.50;Bueno;11.67;Bueno;Bueno;Bueno
2025-07-12;;;;;;3.08;6.17;Bueno;20.56;Bueno;Bueno;Bueno
2025-07-13;;;;;;4.21;8.42;Bueno;28.06;Bueno;Bueno;Bueno
2025-07-14;;;;;;5.88;11.75;Bueno;39.17;Bueno;Bueno;Bueno
2025-07-15;;;;;;4.00;8.00;Bueno;26.67;Bueno;Bueno;Bueno
2025-07-16;;;;;;4.42;8.83;Bueno;29.44;Bueno;Bueno;Bueno
2025-07-17;;;;;;4.08;8.17;Bueno;27.22;Bueno;Bueno;Bueno
2025-07-18;;;;;;3.42;6.83;Bueno;22.78;Bueno;Bueno;Bueno
2025-07-19;;;;;;2.83;5.67;Bueno;18.89;Bueno;Bueno;Bueno
2025-07-20;;;;;;3.46;6.92;Bueno;23.06;Bueno;Bueno;Bueno
2025-07-21;;;;;;3.92;7.83;Bueno;26.11;Bueno;Bueno;Bueno
2025-07-22;;;;;;3.54;7.08;Bueno;23.61;Bueno;Bueno;Bueno
2025-07-23;;;;;;2.50;5.00;Bueno;16.67;Bueno;Bueno;Bueno
2025-07-24;;;;;;5.12;10.25;Bueno;34.17;Bueno;Bueno;Bueno
2025-07-25;;;;;;3.83;7.67;Bueno;25.56;Bueno;Bueno;Bueno
2025-07-26;;;;;;6.92;13.83;Bueno;46.11;Bueno;Bueno;Bueno
2025-07-27;;;;;;;;;;;;
2025-07-28;;;;;;;;;;;;
2025-07-29;;;;;;5.75;11.50;Bueno;38.33;Bueno;Bueno;Bueno
2025-07-30;;;;;;5.25;10.50;Bueno;35.00;Bueno;Bueno;Bueno
2025-07-31;;;;;;4.21;8.42;Bueno;28.06;Bueno;Bueno;Bueno
2025-08-01;;;;;;3.83;7.67;Bueno;25.56;Bueno;Bueno;Bueno
2025-08-02;;;;;;5.62;11.25;Bueno;37.50;Bueno;Bueno;Bueno
2025-08-03;;;;;;6.58;13.17;Bueno;43.89;Bueno;Bueno;Bueno
2025-08-04;;;;;;4.71;9.42;Bueno;31.39;Bueno;Bueno;Bueno
2025-08-05;;;;;;5.17;10.35;Bueno;34.49;Bueno;Bueno;Bueno
2025-08-06;;;;;;5.92;11.83;Bueno;39.44;Bueno;Bueno;Bueno
2025-08-07;;;;;;4.58;9.17;Bueno;30.56;Bueno;Bueno;Bueno
