FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;;77;;
250727;0200;;38;;
250727;0300;;32;;
250727;0400;;34;;
250727;0500;;29;;
250727;0600;;29;;
250727;0700;;26;;
250727;0800;;22;;
250727;0900;;24;;
250727;1000;;33;;
250727;1100;;27;;
250727;1200;;23;;
250727;1300;;25;;
250727;1400;;25;;
250727;1500;;29;;
250727;1600;;37;;
250727;1700;;34;;
250727;1800;;78;;
250727;1900;;62;;
250727;2000;;50;;
250727;2100;;62;;
250727;2200;;63;;
250727;2300;;54;;
250728;0000;;46;;
250728;0100;;44;;
250728;0200;;72;;
250728;0300;;83;;
250728;0400;;61;;
250728;0500;;41;;
250728;0600;;42;;
250728;0700;;44;;
250728;0800;;73;;
250728;0900;;48;;
250728;1000;;35;;
250728;1100;;39;;
250728;1200;;37;;
250728;1300;;20;;
250728;1400;;42;;
250728;1500;;41;;
250728;1600;;43;;
250728;1700;;51;;
250728;1800;;34;;
250728;1900;;43;;
250728;2000;;32;;
250728;2100;;30;;
250728;2200;;42;;
250728;2300;;79;;
250729;0000;;56;;
250729;0100;;44;;
250729;0200;;36;;
250729;0300;;36;;
250729;0400;;33;;
250729;0500;;34;;
250729;0600;;51;;
250729;0700;;43;;
250729;0800;;46;;
250729;0900;;44;;
250729;1000;;47;;
250729;1100;;39;;
250729;1200;;42;;
250729;1300;;67;;
250729;1400;;25;;
250729;1500;;40;;
250729;1600;;57;;
250729;1700;;99;;
250729;1800;;98;;
250729;1900;;115;;
250729;2000;;56;;
250729;2100;;62;;
250729;2200;;47;;
250729;2300;;32;;
250730;0000;;42;;
250730;0100;;41;;
250730;0200;;32;;
250730;0300;;40;;
250730;0400;;25;;
250730;0500;;27;;
250730;0600;;29;;
250730;0700;;34;;
250730;0800;;43;;
250730;0900;;32;;
250730;1000;;24;;
250730;1100;;23;;
250730;1200;;37;;
250730;1300;;40;;
250730;1400;;39;;
250730;1500;;61;;
250730;1600;;44;;
250730;1700;;107;;
250730;1800;;78;;
250730;1900;;42;;
250730;2000;;23;;
250730;2100;;19;;
250730;2200;;18;;
250730;2300;;15;;
250731;0000;;24;;
250731;0100;;27;;
250731;0200;;24;;
250731;0300;;17;;
250731;0400;;17;;
250731;0500;;10;;
250731;0600;;8;;
250731;0700;;8;;
250731;0800;;12;;
250731;0900;;18;;
250731;1000;;17;;
250731;1100;;15;;
250731;1200;;12;;
250731;1300;;18;;
250731;1400;;18;;
250731;1500;;21;;
250731;1600;;12;;
250731;1700;;13;;
250731;1800;;21;;
250731;1900;;24;;
250731;2000;;15;;
250731;2100;;11;;
250731;2200;;20;;
250731;2300;;16;;
250801;0000;;24;;
250801;0100;;13;;
250801;0200;;9;;
250801;0300;;7;;
250801;0400;;8;;
250801;0500;;6;;
250801;0600;;3;;
250801;0700;;6;;
250801;0800;;18;;
250801;0900;;29;;
250801;1000;;27;;
250801;1100;;17;;
250801;1200;;13;;
250801;1300;;18;;
250801;1400;;14;;
250801;1500;;18;;
250801;1600;;16;;
250801;1700;;11;;
250801;1800;;19;;
250801;1900;;12;;
250801;2000;;13;;
250801;2100;;18;;
250801;2200;;20;;
250801;2300;;21;;
250802;0000;;12;;
250802;0100;;12;;
250802;0200;;8;;
250802;0300;;9;;
250802;0400;;7;;
250802;0500;;5;;
250802;0600;;6;;
250802;0700;;4;;
250802;0800;;6;;
250802;0900;;15;;
250802;1000;;9;;
250802;1100;;13;;
250802;1200;;9;;
250802;1300;;8;;
250802;1400;;8;;
250802;1500;;11;;
250802;1600;;15;;
250802;1700;;19;;
250802;1800;;26;;
250802;1900;;18;;
250802;2000;;79;;
250802;2100;;224;;
250802;2200;;84;;
250802;2300;;73;;
