FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;45;;;
250727;0200;38;;;
250727;0300;40;;;
250727;0400;44;;;
250727;0500;38;;;
250727;0600;26;;;
250727;0700;17;;;
250727;0800;33;;;
250727;0900;29;;;
250727;1000;16;;;
250727;1100;10;;;
250727;1200;8;;;
250727;1300;9;;;
250727;1400;9;;;
250727;1500;8;;;
250727;1600;10;;;
250727;1700;12;;;
250727;1800;19;;;
250727;1900;26;;;
250727;2000;21;;;
250727;2100;39;;;
250727;2200;37;;;
250727;2300;43;;;
250728;0000;30;;;
250728;0100;24;;;
250728;0200;24;;;
250728;0300;20;;;
250728;0400;20;;;
250728;0500;19;;;
250728;0600;19;;;
250728;0700;44;;;
250728;0800;44;;;
250728;0900;30;;;
250728;1000;25;;;
250728;1100;28;;;
250728;1200;18;;;
250728;1300;19;;;
250728;1400;26;;;
250728;1500;27;;;
250728;1600;28;;;
250728;1700;51;;;
250728;1800;87;;;
250728;1900;91;;;
250728;2000;74;;;
250728;2100;73;;;
250728;2200;88;;;
250728;2300;101;;;
250729;0000;57;;;
250729;0100;66;;;
250729;0200;88;;;
250729;0300;62;;;
250729;0400;71;;;
250729;0500;73;;;
250729;0600;69;;;
250729;0700;58;;;
250729;0800;61;;;
250729;0900;75;;;
250729;1000;73;;;
250729;1100;64;;;
250729;1200;48;;;
250729;1300;31;;;
250729;1400;34;;;
250729;1500;37;;;
250729;1600;35;;;
250729;1700;60;;;
250729;1800;66;;;
250729;1900;49;;;
250729;2000;44;;;
250729;2100;47;;;
250729;2200;59;;;
250729;2300;49;;;
250730;0000;20;;;
250730;0100;16;;;
250730;0200;5;;;
250730;0300;8;;;
250730;0400;12;;;
250730;0500;15;;;
250730;0600;21;;;
250730;0700;31;;;
250730;0800;28;;;
250730;0900;16;;;
250730;1000;23;;;
250730;1100;54;;;
250730;1200;30;;;
250730;1300;21;;;
250730;1400;11;;;
250730;1500;12;;;
250730;1600;25;;;
250730;1700;34;;;
250730;1800;23;;;
250730;1900;11;;;
250730;2000;9;;;
250730;2100;8;;;
250730;2200;7;;;
250730;2300;6;;;
250731;0000;6;;;
250731;0100;7;;;
250731;0200;8;;;
250731;0300;10;;;
250731;0400;8;;;
250731;0500;7;;;
250731;0600;6;;;
250731;0700;3;;;
250731;0800;4;;;
250731;0900;6;;;
250731;1000;6;;;
250731;1100;7;;;
250731;1200;7;;;
250731;1300;8;;;
250731;1400;6;;;
250731;1500;8;;;
250731;1600;5;;;
250731;1700;9;;;
250731;1800;10;;;
250731;1900;8;;;
250731;2000;4;;;
250731;2100;5;;;
250731;2200;6;;;
250731;2300;10;;;
250801;0000;7;;;
250801;0100;7;;;
250801;0200;11;;;
250801;0300;10;;;
250801;0400;11;;;
250801;0500;6;;;
250801;0600;4;;;
250801;0700;5;;;
250801;0800;5;;;
250801;0900;5;;;
250801;1000;6;;;
250801;1100;8;;;
250801;1200;6;;;
250801;1300;6;;;
250801;1400;8;;;
250801;1500;8;;;
250801;1600;4;;;
250801;1700;7;;;
250801;1800;7;;;
250801;1900;4;;;
250801;2000;6;;;
250801;2100;7;;;
250801;2200;9;;;
250801;2300;13;;;
250802;0000;11;;;
250802;0100;8;;;
250802;0200;7;;;
250802;0300;6;;;
250802;0400;5;;;
250802;0500;7;;;
250802;0600;6;;;
250802;0700;5;;;
250802;0800;6;;;
250802;0900;4;;;
250802;1000;6;;;
250802;1100;8;;;
250802;1200;6;;;
250802;1300;7;;;
250802;1400;7;;;
250802;1500;5;;;
250802;1600;6;;;
250802;1700;7;;;
250802;1800;11;;;
250802;1900;19;;;
250802;2000;25;;;
250802;2100;37;;;
250802;2200;46;;;
250802;2300;89;;;
250803;0000;108;;;
250803;0100;71;;;
250803;0200;59;;;
250803;0300;60;;;
250803;0400;82;;;
250803;0500;116;;;
250803;0600;29;;;
250803;0700;26;;;
250803;0800;33;;;
250803;0900;43;;;
250803;1000;19;;;
250803;1100;23;;;
250803;1200;34;;;
250803;1300;25;;;
250803;1400;25;;;
250803;1500;13;;;
250803;1600;12;;;
250803;1700;24;;;
250803;1800;26;;;
250803;1900;26;;;
250803;2000;106;;;
250803;2100;118;;;
250803;2200;46;;;
250803;2300;24;;;
250804;0000;16;;;
250804;0100;15;;;
250804;0200;20;;;
250804;0300;19;;;
250804;0400;18;;;
250804;0500;16;;;
250804;0600;19;;;
250804;0700;21;;;
250804;0800;20;;;
250804;0900;21;;;
250804;1000;18;;;
250804;1100;20;;;
250804;1200;18;;;
250804;1300;15;;;
250804;1400;17;;;
250804;1500;13;;;
250804;1600;17;;;
250804;1700;19;;;
250804;1800;49;;;
250804;1900;112;;;
250804;2000;119;;;
250804;2100;66;;;
250804;2200;72;;;
250804;2300;91;;;
250805;0000;57;;;
250805;0100;56;;;
250805;0200;57;;;
250805;0300;56;;;
250805;0400;40;;;
250805;0500;31;;;
250805;0600;22;;;
250805;0700;37;;;
250805;0800;47;;;
250805;0900;38;;;
250805;1000;39;;;
250805;1100;44;;;
250805;1200;45;;;
250805;1300;29;;;
250805;1400;18;;;
250805;1500;17;;;
250805;1600;16;;;
250805;1700;21;;;
250805;1800;50;;;
250805;1900;64;;;
250805;2000;142;;;
250805;2100;190;;;
250805;2200;175;;;
250805;2300;74;;;
250806;0000;38;;;
250806;0100;95;;;
250806;0200;60;;;
250806;0300;40;;;
250806;0400;32;;;
250806;0500;21;;;
250806;0600;27;;;
250806;0700;16;;;
250806;0800;16;;;
250806;0900;21;;;
250806;1000;20;;;
250806;1100;22;;;
250806;1200;24;;;
250806;1300;17;;;
250806;1400;13;;;
250806;1500;13;;;
250806;1600;17;;;
250806;1700;17;;;
250806;1800;22;;;
250806;1900;29;;;
250806;2000;40;;;
250806;2100;28;;;
250806;2200;23;;;
250806;2300;16;;;
250807;0000;20;;;
250807;0100;15;;;
250807;0200;15;;;
250807;0300;11;;;
250807;0400;9;;;
250807;0500;9;;;
250807;0600;15;;;
250807;0700;14;;;
250807;0800;19;;;
250807;0900;20;;;
250807;1000;19;;;
250807;1100;18;;;
250807;1200;21;;;
250807;1300;18;;;
250807;1400;20;;;
250807;1500;19;;;
250807;1600;22;;;
250807;1700;29;;;
250807;1800;28;;;
250807;1900;36;;;
250807;2000;35;;;
250807;2100;39;;;
250807;2200;25;;;
250807;2300;20;;;
250808;0000;19;;;
250808;0100;11;;;
250808;0200;16;;;
250808;0300;17;;;
250808;0400;21;;;
250808;0500;21;;;
250808;0600;21;;;
250808;0700;26;;;
250808;0800;31;;;
250808;0900;30;;;
250808;1000;37;;;
250808;1100;67;;;
250808;1200;50;;;
250808;1300;37;;;
250808;1400;37;;;
250808;1500;42;;;
250808;1600;36;;;
250808;1700;38;;;
250808;1800;58;;;
250808;1900;121;;;
250808;2000;190;;;
250808;2100;144;;;
250808;2200;174;;;
250808;2300;120;;;
250809;0000;132;;;
250809;0100;48;;;
250809;0200;18;;;
250809;0300;37;;;
250809;0400;33;;;
250809;0500;19;;;
250809;0600;19;;;
250809;0700;22;;;
250809;0800;22;;;
250809;0900;21;;;
250809;1000;19;;;
250809;1100;14;;;
250809;1200;19;;;
250809;1300;20;;;
250809;1400;13;;;
250809;1500;19;;;
250809;1600;;;;
250809;1700;28;;;
250809;1800;24;;;
250809;1900;45;;;
250809;2000;34;;;
250809;2100;48;;;
250809;2200;37;;;
250809;2300;45;;;
250810;0000;76;;;
250810;0100;81;;;
250810;0200;72;;;
250810;0300;54;;;
250810;0400;73;;;
250810;0500;35;;;
250810;0600;34;;;
250810;0700;32;;;
250810;0800;29;;;
250810;0900;46;;;
250810;1000;33;;;
250810;1100;66;;;
250810;1200;21;;;
250810;1300;24;;;
250810;1400;18;;;
250810;1500;19;;;
250810;1600;12;;;
250810;1700;22;;;
250810;1800;42;;;
250810;1900;67;;;
250810;2000;96;;;
250810;2100;105;;;
250810;2200;197;;;
250810;2300;104;;;
250811;0000;68;;;
250811;0100;89;;;
250811;0200;96;;;
250811;0300;35;;;
250811;0400;33;;;
250811;0500;28;;;
250811;0600;23;;;
250811;0700;42;;;
250811;0800;73;;;
250811;0900;68;;;
250811;1000;45;;;
250811;1100;39;;;
250811;1200;44;;;
250811;1300;36;;;
250811;1400;36;;;
250811;1500;35;;;
250811;1600;40;;;
250811;1700;49;;;
250811;1800;77;;;
250811;1900;82;;;
250811;2000;192;;;
250811;2100;197;;;
250811;2200;99;;;
250811;2300;48;;;
250812;0000;28;;;
250812;0100;26;;;
250812;0200;35;;;
250812;0300;15;;;
250812;0400;13;;;
250812;0500;12;;;
250812;0600;12;;;
250812;0700;30;;;
250812;0800;52;;;
250812;0900;49;;;
250812;1000;32;;;
250812;1100;17;;;
250812;1200;16;;;
250812;1300;13;;;
250812;1400;12;;;
250812;1500;13;;;
250812;1600;19;;;
250812;1700;21;;;
250812;1800;32;;;
250812;1900;55;;;
250812;2000;70;;;
250812;2100;177;;;
250812;2200;20;;;
250812;2300;35;;;
250813;0000;;;;
250813;0100;13;;;
250813;0200;11;;;
250813;0300;9;;;
250813;0400;9;;;
250813;0500;14;;;
250813;0600;13;;;
250813;0700;19;;;
250813;0800;20;;;
250813;0900;17;;;
250813;1000;15;;;
250813;1100;13;;;
250813;1200;16;;;
250813;1300;18;;;
250813;1400;22;;;
250813;1500;28;;;
250813;1600;28;;;
250813;1700;35;;;
250813;1800;55;;;
250813;1900;69;;;
250813;2000;121;;;
250813;2100;128;;;
250813;2200;101;;;
250813;2300;67;;;
250814;0000;54;;;
250814;0100;46;;;
250814;0200;50;;;
250814;0300;48;;;
250814;0400;41;;;
250814;0500;29;;;
250814;0600;23;;;
250814;0700;29;;;
250814;0800;37;;;
250814;0900;60;;;
250814;1000;70;;;
250814;1100;36;;;
250814;1200;38;;;
250814;1300;53;;;
250814;1400;45;;;
250814;1500;42;;;
250814;1600;27;;;
250814;1700;31;;;
250814;1800;29;;;
250814;1900;29;;;
250814;2000;27;;;
250814;2100;26;;;
250814;2200;51;;;
250814;2300;72;;;
250815;0000;47;;;
250815;0100;31;;;
250815;0200;11;;;
250815;0300;17;;;
250815;0400;13;;;
250815;0500;16;;;
250815;0600;12;;;
250815;0700;9;;;
250815;0800;9;;;
250815;0900;10;;;
250815;1000;9;;;
250815;1100;12;;;
250815;1200;12;;;
250815;1300;10;;;
250815;1400;7;;;
250815;1500;9;;;
250815;1600;9;;;
250815;1700;8;;;
250815;1800;8;;;
250815;1900;8;;;
250815;2000;11;;;
250815;2100;10;;;
250815;2200;9;;;
250815;2300;15;;;
250816;0000;13;;;
250816;0100;13;;;
250816;0200;12;;;
250816;0300;7;;;
250816;0400;7;;;
250816;0500;10;;;
250816;0600;11;;;
250816;0700;13;;;
250816;0800;15;;;
250816;0900;14;;;
250816;1000;13;;;
250816;1100;11;;;
