FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;44;;;
250727;0200;41;;;
250727;0300;43;;;
250727;0400;39;;;
250727;0500;31;;;
250727;0600;25;;;
250727;0700;12;;;
250727;0800;;;;
250727;0900;25;;;
250727;1000;13;;;
250727;1100;7;;;
250727;1200;3;;;
250727;1300;3;;;
250727;1400;3;;;
250727;1500;6;;;
250727;1600;7;;;
250727;1700;6;;;
250727;1800;16;;;
250727;1900;13;;;
250727;2000;13;;;
250727;2100;33;;;
250727;2200;44;;;
250727;2300;44;;;
250728;0000;42;;;
250728;0100;26;;;
250728;0200;28;;;
250728;0300;22;;;
250728;0400;20;;;
250728;0500;22;;;
250728;0600;20;;;
250728;0700;36;;;
250728;0800;46;;;
250728;0900;42;;;
250728;1000;33;;;
250728;1100;38;;;
250728;1200;23;;;
250728;1300;24;;;
250728;1400;36;;;
250728;1500;46;;;
250728;1600;28;;;
250728;1700;44;;;
250728;1800;99;;;
250728;1900;75;;;
250728;2000;90;;;
250728;2100;66;;;
250728;2200;54;;;
250728;2300;81;;;
250729;0000;77;;;
250729;0100;58;;;
250729;0200;81;;;
250729;0300;82;;;
250729;0400;60;;;
250729;0500;59;;;
250729;0600;85;;;
250729;0700;75;;;
250729;0800;81;;;
250729;0900;78;;;
250729;1000;57;;;
250729;1100;63;;;
250729;1200;52;;;
250729;1300;20;;;
250729;1400;28;;;
250729;1500;23;;;
250729;1600;44;;;
250729;1700;49;;;
250729;1800;62;;;
250729;1900;57;;;
250729;2000;64;;;
250729;2100;52;;;
250729;2200;48;;;
250729;2300;70;;;
250730;0000;20;;;
250730;0100;17;;;
250730;0200;9;;;
250730;0300;11;;;
250730;0400;15;;;
250730;0500;23;;;
250730;0600;17;;;
250730;0700;27;;;
250730;0800;39;;;
250730;0900;11;;;
250730;1000;14;;;
250730;1100;34;;;
250730;1200;39;;;
250730;1300;19;;;
250730;1400;7;;;
250730;1500;11;;;
250730;1600;42;;;
250730;1700;33;;;
250730;1800;22;;;
250730;1900;7;;;
250730;2000;7;;;
250730;2100;3;;;
250730;2200;9;;;
250730;2300;17;;;
250731;0000;7;;;
250731;0100;3;;;
