Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;12;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;02:00;6;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;03:00;1;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;04:00;1;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;05:00;2;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;06:00;2;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;07:00;1;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;08:00;3;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;09:00;3;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;10:00;2;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;11:00;3;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;12:00;2;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;13:00;8;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;14:00;12;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;15:00;17;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;16:00;20;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;17:00;19;;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;18:00;25;7.72;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;19:00;17;8.21;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;20:00;12;8.40;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;21:00;10;8.48;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;22:00;11;8.59;8.91;6.86;Bueno;19.81;Bueno
2025-07-27;23:00;16;8.91;8.91;6.86;Bueno;19.81;Bueno
2025-07-28;00:00;32;9.88;46.00;35.38;Bueno;101.64;Regular
2025-07-28;01:00;7;9.67;46.00;35.38;Bueno;101.64;Regular
2025-07-28;02:00;5;9.62;46.00;35.38;Bueno;101.64;Regular
2025-07-28;03:00;3;9.71;46.00;35.38;Bueno;101.64;Regular
2025-07-28;04:00;2;9.75;46.00;35.38;Bueno;101.64;Regular
2025-07-28;05:00;2;9.75;46.00;35.38;Bueno;101.64;Regular
2025-07-28;06:00;7;9.96;46.00;35.38;Bueno;101.64;Regular
2025-07-28;07:00;15;10.54;46.00;35.38;Bueno;101.64;Regular
2025-07-28;08:00;29;11.62;46.00;35.38;Bueno;101.64;Regular
2025-07-28;09:00;55;13.79;46.00;35.38;Bueno;101.64;Regular
2025-07-28;10:00;38;15.29;46.00;35.38;Bueno;101.64;Regular
2025-07-28;11:00;19;15.96;46.00;35.38;Bueno;101.64;Regular
2025-07-28;12:00;13;16.42;46.00;35.38;Bueno;101.64;Regular
2025-07-28;13:00;9;16.46;46.00;35.38;Bueno;101.64;Regular
2025-07-28;14:00;7;16.25;46.00;35.38;Bueno;101.64;Regular
2025-07-28;15:00;18;16.29;46.00;35.38;Bueno;101.64;Regular
2025-07-28;16:00;24;16.46;46.00;35.38;Bueno;101.64;Regular
2025-07-28;17:00;64;18.33;46.00;35.38;Bueno;101.64;Regular
2025-07-28;18:00;111;21.92;46.00;35.38;Bueno;101.64;Regular
2025-07-28;19:00;63;23.83;46.00;35.38;Bueno;101.64;Regular
2025-07-28;20:00;118;28.25;46.00;35.38;Bueno;101.64;Regular
2025-07-28;21:00;192;35.83;46.00;35.38;Bueno;101.64;Regular
2025-07-28;22:00;120;40.38;46.00;35.38;Bueno;101.64;Regular
2025-07-28;23:00;151;46.00;46.00;35.38;Bueno;101.64;Regular
2025-07-29;00:00;75;47.79;56.29;43.30;Bueno;118.52;Regular
