Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;4;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;02:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;03:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;04:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;05:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;06:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;07:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;08:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;09:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;10:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;11:00;1;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;12:00;2;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;13:00;5;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;14:00;5;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;15:00;17;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;16:00;20;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;17:00;16;;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;18:00;15;5.22;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;19:00;10;5.47;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;20:00;11;5.75;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;21:00;10;5.95;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;22:00;8;6.05;6.13;12.26;Bueno;40.87;Bueno
2025-07-27;23:00;8;6.13;6.13;12.26;Bueno;40.87;Bueno
2025-07-28;00:00;29;7.08;41.88;83.75;Bueno;158.55;Regular
2025-07-28;01:00;6;7.17;41.88;83.75;Bueno;158.55;Regular
2025-07-28;02:00;4;7.29;41.88;83.75;Bueno;158.55;Regular
2025-07-28;03:00;2;7.33;41.88;83.75;Bueno;158.55;Regular
2025-07-28;04:00;1;7.33;41.88;83.75;Bueno;158.55;Regular
2025-07-28;05:00;1;7.33;41.88;83.75;Bueno;158.55;Regular
2025-07-28;06:00;5;7.50;41.88;83.75;Bueno;158.55;Regular
2025-07-28;07:00;14;8.04;41.88;83.75;Bueno;158.55;Regular
2025-07-28;08:00;28;9.17;41.88;83.75;Bueno;158.55;Regular
2025-07-28;09:00;45;11.00;41.88;83.75;Bueno;158.55;Regular
2025-07-28;10:00;28;12.12;41.88;83.75;Bueno;158.55;Regular
2025-07-28;11:00;12;12.58;41.88;83.75;Bueno;158.55;Regular
2025-07-28;12:00;7;12.79;41.88;83.75;Bueno;158.55;Regular
2025-07-28;13:00;3;12.71;41.88;83.75;Bueno;158.55;Regular
2025-07-28;14:00;4;12.67;41.88;83.75;Bueno;158.55;Regular
2025-07-28;15:00;7;12.25;41.88;83.75;Bueno;158.55;Regular
2025-07-28;16:00;22;12.33;41.88;83.75;Bueno;158.55;Regular
2025-07-28;17:00;64;14.33;41.88;83.75;Bueno;158.55;Regular
2025-07-28;18:00;102;17.96;41.88;83.75;Bueno;158.55;Regular
2025-07-28;19:00;59;20.00;41.88;83.75;Bueno;158.55;Regular
2025-07-28;20:00;117;24.42;41.88;83.75;Bueno;158.55;Regular
2025-07-28;21:00;186;31.75;41.88;83.75;Bueno;158.55;Regular
2025-07-28;22:00;114;36.17;41.88;83.75;Bueno;158.55;Regular
2025-07-28;23:00;145;41.88;41.88;83.75;Bueno;158.55;Regular
2025-07-29;00:00;74;43.75;40.62;81.25;Bueno;155.80;Regular
2025-07-29;01:00;62;46.08;40.62;81.25;Bueno;155.80;Regular
2025-07-29;02:00;37;47.46;40.62;81.25;Bueno;155.80;Regular
2025-07-29;03:00;33;48.75;40.62;81.25;Bueno;155.80;Regular
2025-07-29;04:00;22;49.62;40.62;81.25;Bueno;155.80;Regular
2025-07-29;05:00;27;50.71;40.62;81.25;Bueno;155.80;Regular
2025-07-29;06:00;43;52.29;40.62;81.25;Bueno;155.80;Regular
2025-07-29;07:00;27;52.83;40.62;81.25;Bueno;155.80;Regular
2025-07-29;08:00;33;53.04;40.62;81.25;Bueno;155.80;Regular
2025-07-29;09:00;45;53.04;40.62;81.25;Bueno;155.80;Regular
2025-07-29;10:00;42;53.62;40.62;81.25;Bueno;155.80;Regular
2025-07-29;11:00;34;54.54;40.62;81.25;Bueno;155.80;Regular
2025-07-29;12:00;38;55.83;40.62;81.25;Bueno;155.80;Regular
2025-07-29;13:00;26;56.79;40.62;81.25;Bueno;155.80;Regular
2025-07-29;14:00;3;56.75;40.62;81.25;Bueno;155.80;Regular
2025-07-29;15:00;10;56.88;40.62;81.25;Bueno;155.80;Regular
2025-07-29;16:00;8;56.29;40.62;81.25;Bueno;155.80;Regular
2025-07-29;17:00;50;55.71;40.62;81.25;Bueno;155.80;Regular
2025-07-29;18:00;75;54.58;40.62;81.25;Bueno;155.80;Regular
2025-07-29;19:00;128;57.46;40.62;81.25;Bueno;155.80;Regular
2025-07-29;20:00;48;54.58;40.62;81.25;Bueno;155.80;Regular
2025-07-29;21:00;106;51.25;40.62;81.25;Bueno;155.80;Regular
2025-07-29;22:00;1;46.54;40.62;81.25;Bueno;155.80;Regular
2025-07-29;23:00;3;40.62;40.62;81.25;Bueno;155.80;Regular
2025-07-30;00:00;3;37.67;1.75;3.50;Bueno;11.67;Bueno
2025-07-30;01:00;2;35.17;1.75;3.50;Bueno;11.67;Bueno
