Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;77.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;02:00;38.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;03:00;32.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;04:00;34.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;05:00;29.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;06:00;29.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;07:00;26.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;08:00;22.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;09:00;24.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;10:00;33.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;11:00;27.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;12:00;23.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;13:00;25.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;14:00;25.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;15:00;29.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;16:00;37.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;17:00;34.00;;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;18:00;78.00;34.56;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;19:00;62.00;36.00;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;20:00;50.00;36.70;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;21:00;62.00;37.90;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;22:00;63.00;39.05;39.70;30.54;Bueno;88.21;Bueno
2025-07-27;23:00;54.00;39.70;39.70;30.54;Bueno;88.21;Bueno
2025-07-28;00:00;46.00;39.96;46.75;35.96;Bueno;102.87;Regular
2025-07-28;01:00;44.00;38.58;46.75;35.96;Bueno;102.87;Regular
2025-07-28;02:00;72.00;40.00;46.75;35.96;Bueno;102.87;Regular
2025-07-28;03:00;83.00;42.12;46.75;35.96;Bueno;102.87;Regular
2025-07-28;04:00;61.00;43.25;46.75;35.96;Bueno;102.87;Regular
2025-07-28;05:00;41.00;43.75;46.75;35.96;Bueno;102.87;Regular
