Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;71;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;02:00;35;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;03:00;42;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;04:00;;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;05:00;16;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;06:00;28;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;07:00;19;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;08:00;18;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;09:00;12;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;10:00;10;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;11:00;6;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;12:00;3;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;13:00;3;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;14:00;3;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;15:00;3;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;16:00;4;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;17:00;14;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;18:00;21;;21.86;43.73;Bueno;114.86;Regular
2025-07-27;19:00;31;18.83;21.86;43.73;Bueno;114.86;Regular
2025-07-27;20:00;26;19.21;21.86;43.73;Bueno;114.86;Regular
2025-07-27;21:00;22;19.35;21.86;43.73;Bueno;114.86;Regular
2025-07-27;22:00;48;20.71;21.86;43.73;Bueno;114.86;Regular
2025-07-27;23:00;46;21.86;21.86;43.73;Bueno;114.86;Regular
2025-07-28;00:00;49;23.04;46.29;92.58;Bueno;168.27;Regular
2025-07-28;01:00;39;21.65;46.29;92.58;Bueno;168.27;Regular
2025-07-28;02:00;29;21.39;46.29;92.58;Bueno;168.27;Regular
2025-07-28;03:00;15;20.22;46.29;92.58;Bueno;168.27;Regular
2025-07-28;04:00;24;20.38;46.29;92.58;Bueno;168.27;Regular
2025-07-28;05:00;17;20.42;46.29;92.58;Bueno;168.27;Regular
2025-07-28;06:00;19;20.04;46.29;92.58;Bueno;168.27;Regular
2025-07-28;07:00;33;20.62;46.29;92.58;Bueno;168.27;Regular
2025-07-28;08:00;57;22.25;46.29;92.58;Bueno;168.27;Regular
2025-07-28;09:00;32;23.08;46.29;92.58;Bueno;168.27;Regular
2025-07-28;10:00;23;23.62;46.29;92.58;Bueno;168.27;Regular
2025-07-28;11:00;33;24.75;46.29;92.58;Bueno;168.27;Regular
2025-07-28;12:00;32;25.96;46.29;92.58;Bueno;168.27;Regular
2025-07-28;13:00;27;26.96;46.29;92.58;Bueno;168.27;Regular
2025-07-28;14:00;21;27.71;46.29;92.58;Bueno;168.27;Regular
2025-07-28;15:00;26;28.67;46.29;92.58;Bueno;168.27;Regular
2025-07-28;16:00;33;29.88;46.29;92.58;Bueno;168.27;Regular
2025-07-28;17:00;44;31.12;46.29;92.58;Bueno;168.27;Regular
2025-07-28;18:00;63;32.88;46.29;92.58;Bueno;168.27;Regular
2025-07-28;19:00;45;33.46;46.29;92.58;Bueno;168.27;Regular
2025-07-28;20:00;138;38.12;46.29;92.58;Bueno;168.27;Regular
2025-07-28;21:00;90;40.96;46.29;92.58;Bueno;168.27;Regular
2025-07-28;22:00;70;41.88;46.29;92.58;Bueno;168.27;Regular
2025-07-28;23:00;152;46.29;46.29;92.58;Bueno;168.27;Regular
2025-07-29;00:00;171;51.38;53.67;112.22;Regular;184.56;Regular
2025-07-29;01:00;87;53.38;53.67;112.22;Regular;184.56;Regular
2025-07-29;02:00;100;56.33;53.67;112.22;Regular;184.56;Regular
2025-07-29;03:00;80;59.04;53.67;112.22;Regular;184.56;Regular
2025-07-29;04:00;45;59.92;53.67;112.22;Regular;184.56;Regular
2025-07-29;05:00;56;61.54;53.67;112.22;Regular;184.56;Regular
2025-07-29;06:00;29;61.96;53.67;112.22;Regular;184.56;Regular
2025-07-29;07:00;37;62.12;53.67;112.22;Regular;184.56;Regular
2025-07-29;08:00;40;61.42;53.67;112.22;Regular;184.56;Regular
2025-07-29;09:00;46;62.00;53.67;112.22;Regular;184.56;Regular
2025-07-29;10:00;38;62.62;53.67;112.22;Regular;184.56;Regular
2025-07-29;11:00;41;62.96;53.67;112.22;Regular;184.56;Regular
2025-07-29;12:00;37;63.17;53.67;112.22;Regular;184.56;Regular
2025-07-29;13:00;12;62.54;53.67;112.22;Regular;184.56;Regular
2025-07-29;14:00;23;62.62;53.67;112.22;Regular;184.56;Regular
2025-07-29;15:00;19;62.33;53.67;112.22;Regular;184.56;Regular
2025-07-29;16:00;28;62.12;53.67;112.22;Regular;184.56;Regular
2025-07-29;17:00;42;62.04;53.67;112.22;Regular;184.56;Regular
2025-07-29;18:00;119;64.38;53.67;112.22;Regular;184.56;Regular
2025-07-29;19:00;69;65.38;53.67;112.22;Regular;184.56;Regular
2025-07-29;20:00;51;61.75;53.67;112.22;Regular;184.56;Regular
2025-07-29;21:00;40;59.67;53.67;112.22;Regular;184.56;Regular
