Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;44;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;02:00;41;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;03:00;43;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;04:00;39;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;05:00;31;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;06:00;25;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;07:00;12;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;08:00;;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;09:00;25;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;10:00;13;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;11:00;7;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;12:00;3;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;13:00;3;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;14:00;3;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;15:00;6;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;16:00;7;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;17:00;6;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;18:00;16;;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;19:00;13;18.72;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;20:00;13;18.42;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;21:00;33;19.15;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;22:00;44;20.33;21.41;16.47;Bueno;47.58;Bueno
2025-07-27;23:00;44;21.41;21.41;16.47;Bueno;47.58;Bueno
2025-07-28;00:00;42;22.30;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;01:00;26;21.52;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;02:00;28;20.96;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;03:00;22;20.04;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;04:00;20;19.22;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;05:00;22;18.83;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;06:00;20;18.61;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;07:00;36;19.65;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;08:00;46;20.75;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;09:00;42;21.46;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;10:00;33;22.29;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;11:00;38;23.58;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;12:00;23;24.42;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;13:00;24;25.29;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;14:00;36;26.67;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;15:00;46;28.33;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;16:00;28;29.21;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;17:00;44;30.79;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;18:00;99;34.25;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;19:00;75;36.83;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;20:00;90;40.04;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;21:00;66;41.42;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;22:00;54;41.83;43.38;33.37;Bueno;96.39;Bueno
2025-07-28;23:00;81;43.38;43.38;33.37;Bueno;96.39;Bueno
2025-07-29;00:00;77;44.83;59.38;45.67;Bueno;123.60;Regular
2025-07-29;01:00;58;46.17;59.38;45.67;Bueno;123.60;Regular
2025-07-29;02:00;81;48.38;59.38;45.67;Bueno;123.60;Regular
2025-07-29;03:00;82;50.88;59.38;45.67;Bueno;123.60;Regular
2025-07-29;04:00;60;52.54;59.38;45.67;Bueno;123.60;Regular
2025-07-29;05:00;59;54.08;59.38;45.67;Bueno;123.60;Regular
2025-07-29;06:00;85;56.79;59.38;45.67;Bueno;123.60;Regular
2025-07-29;07:00;75;58.42;59.38;45.67;Bueno;123.60;Regular
2025-07-29;08:00;81;59.88;59.38;45.67;Bueno;123.60;Regular
