Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;41;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;02:00;36;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;03:00;34;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;04:00;28;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;05:00;30;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;06:00;18;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;07:00;12;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;08:00;;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;09:00;18;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;10:00;8;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;11:00;8;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;12:00;3;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;13:00;2;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;14:00;2;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;15:00;1;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;16:00;2;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;17:00;6;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;18:00;12;;17.05;34.09;Bueno;104.42;Regular
2025-07-27;19:00;12;15.17;17.05;34.09;Bueno;104.42;Regular
2025-07-27;20:00;8;14.79;17.05;34.09;Bueno;104.42;Regular
2025-07-27;21:00;21;15.10;17.05;34.09;Bueno;104.42;Regular
2025-07-27;22:00;33;15.95;17.05;34.09;Bueno;104.42;Regular
2025-07-27;23:00;40;17.05;17.05;34.09;Bueno;104.42;Regular
2025-07-28;00:00;;17.05;27.22;54.43;Bueno;126.49;Regular
2025-07-28;01:00;17;15.95;27.22;54.43;Bueno;126.49;Regular
2025-07-28;02:00;16;15.05;27.22;54.43;Bueno;126.49;Regular
2025-07-28;03:00;18;14.32;27.22;54.43;Bueno;126.49;Regular
2025-07-28;04:00;13;13.64;27.22;54.43;Bueno;126.49;Regular
2025-07-28;05:00;13;12.86;27.22;54.43;Bueno;126.49;Regular
2025-07-28;06:00;18;12.86;27.22;54.43;Bueno;126.49;Regular
2025-07-28;07:00;24;13.41;27.22;54.43;Bueno;126.49;Regular
2025-07-28;08:00;31;14.17;27.22;54.43;Bueno;126.49;Regular
2025-07-28;09:00;22;14.35;27.22;54.43;Bueno;126.49;Regular
2025-07-28;10:00;19;14.83;27.22;54.43;Bueno;126.49;Regular
2025-07-28;11:00;21;15.39;27.22;54.43;Bueno;126.49;Regular
2025-07-28;12:00;16;15.96;27.22;54.43;Bueno;126.49;Regular
2025-07-28;13:00;16;16.57;27.22;54.43;Bueno;126.49;Regular
2025-07-28;14:00;22;17.43;27.22;54.43;Bueno;126.49;Regular
2025-07-28;15:00;25;18.48;27.22;54.43;Bueno;126.49;Regular
2025-07-28;16:00;14;19.00;27.22;54.43;Bueno;126.49;Regular
2025-07-28;17:00;24;19.78;27.22;54.43;Bueno;126.49;Regular
2025-07-28;18:00;57;21.74;27.22;54.43;Bueno;126.49;Regular
2025-07-28;19:00;44;23.13;27.22;54.43;Bueno;126.49;Regular
2025-07-28;20:00;54;25.13;27.22;54.43;Bueno;126.49;Regular
2025-07-28;21:00;49;26.35;27.22;54.43;Bueno;126.49;Regular
2025-07-28;22:00;42;26.74;27.22;54.43;Bueno;126.49;Regular
2025-07-28;23:00;51;27.22;27.22;54.43;Bueno;126.49;Regular
2025-07-29;00:00;50;28.17;41.00;82.00;Bueno;156.63;Regular
2025-07-29;01:00;49;29.50;41.00;82.00;Bueno;156.63;Regular
2025-07-29;02:00;65;31.54;41.00;82.00;Bueno;156.63;Regular
