Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;12;;8.91;6.86;Bueno;19.81;Bueno;4;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;02:00;6;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;03:00;1;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;04:00;1;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;05:00;2;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;06:00;2;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;07:00;1;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;08:00;3;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;09:00;3;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;10:00;2;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;11:00;3;;8.91;6.86;Bueno;19.81;Bueno;1;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;12:00;2;;8.91;6.86;Bueno;19.81;Bueno;2;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;13:00;8;;8.91;6.86;Bueno;19.81;Bueno;5;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;14:00;12;;8.91;6.86;Bueno;19.81;Bueno;5;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;15:00;17;;8.91;6.86;Bueno;19.81;Bueno;17;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;16:00;20;;8.91;6.86;Bueno;19.81;Bueno;20;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;17:00;19;;8.91;6.86;Bueno;19.81;Bueno;16;;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;18:00;25;7.72;8.91;6.86;Bueno;19.81;Bueno;15;5.22;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;19:00;17;8.21;8.91;6.86;Bueno;19.81;Bueno;10;5.47;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;20:00;12;8.40;8.91;6.86;Bueno;19.81;Bueno;11;5.75;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;21:00;10;8.48;8.91;6.86;Bueno;19.81;Bueno;10;5.95;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;22:00;11;8.59;8.91;6.86;Bueno;19.81;Bueno;8;6.05;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-27;23:00;16;8.91;8.91;6.86;Bueno;19.81;Bueno;8;6.13;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-28;00:00;32;9.88;46.00;35.38;Bueno;101.64;Regular;29;7.08;41.88;83.75;Bueno;158.55;Regular;Bueno;Regular
