Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;8.91;6.86;Bueno;19.81;Bueno;6.13;12.26;Bueno;40.87;Bueno;Bueno;Bueno
2025-07-28;46.00;35.38;Bueno;101.64;Regular;41.88;83.75;Bueno;158.55;Regular;Bueno;Regular
2025-07-29;56.29;43.30;Bueno;118.52;Regular;40.62;81.25;Bueno;155.80;Regular;Bueno;Regular
2025-07-30;3.46;2.66;Bueno;7.69;Bueno;1.75;3.50;Bueno;11.67;Bueno;Bueno;Bueno
2025-07-31;4.96;3.81;Bueno;11.02;Bueno;3.33;6.67;Bueno;22.22;Bueno;Bueno;Bueno
2025-08-01;7.08;5.45;Bueno;15.74;Bueno;5.75;11.50;Bueno;38.33;Bueno;Bueno;Bueno
2025-08-02;16.79;12.92;Bueno;37.31;Bueno;12.79;25.58;Bueno;85.28;Bueno;Bueno;Bueno
2025-08-03;31.96;24.58;Bueno;71.02;Bueno;25.25;50.50;Bueno;122.21;Regular;Bueno;Regular
2025-08-04;31.54;24.26;Bueno;70.09;Bueno;20.12;40.25;Bueno;111.09;Regular;Bueno;Regular
2025-08-05;34.62;26.63;Bueno;76.94;Bueno;22.08;44.17;Bueno;115.33;Regular;Bueno;Regular
2025-08-06;13.50;10.38;Bueno;30.00;Bueno;5.83;11.67;Bueno;38.89;Bueno;Bueno;Bueno
2025-08-07;34.42;26.47;Bueno;76.48;Bueno;21.83;43.67;Bueno;114.79;Regular;Bueno;Regular
2025-08-08;37.71;29.01;Bueno;83.80;Bueno;22.79;45.58;Bueno;116.87;Regular;Bueno;Regular
2025-08-09;39.17;30.13;Bueno;87.04;Bueno;28.75;57.50;Bueno;129.83;Regular;Bueno;Regular
2025-08-10;37.04;28.49;Bueno;82.31;Bueno;29.00;58.00;Bueno;130.37;Regular;Bueno;Regular
2025-08-11;29.42;22.63;Bueno;65.37;Bueno;15.29;30.58;Bueno;100.63;Regular;Bueno;Regular
2025-08-12;24.96;19.20;Bueno;55.46;Bueno;12.87;25.74;Bueno;85.80;Bueno;Bueno;Bueno
2025-08-13;33.67;25.90;Bueno;74.81;Bueno;20.17;40.33;Bueno;111.18;Regular;Bueno;Regular
2025-08-14;28.92;22.24;Bueno;64.26;Bueno;15.08;30.17;Bueno;100.18;Regular;Bueno;Regular
2025-08-15;16.83;12.95;Bueno;37.41;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-08-16;13.83;10.64;Bueno;30.74;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
2025-08-17;21.04;16.19;Bueno;46.76;Bueno;14.38;28.75;Bueno;95.83;Bueno;Bueno;Bueno
2025-08-18;46.46;35.74;Bueno;102.39;Regular;33.25;66.50;Bueno;139.65;Regular;Bueno;Regular
2025-08-19;43.75;33.65;Bueno;97.22;Bueno;32.08;64.17;Bueno;137.10;Regular;Bueno;Regular
2025-08-20;11.08;8.53;Bueno;24.63;Bueno;7.29;14.58;Bueno;48.61;Bueno;Bueno;Bueno
2025-08-21;13.21;10.16;Bueno;29.35;Bueno;9.71;19.42;Bueno;64.72;Bueno;Bueno;Bueno
2025-08-22;21.79;16.76;Bueno;48.43;Bueno;15.42;30.83;Bueno;100.90;Regular;Bueno;Regular
2025-08-23;15.50;11.92;Bueno;34.44;Bueno;10.67;21.33;Bueno;71.11;Bueno;Bueno;Bueno
2025-08-24;8.71;6.70;Bueno;19.35;Bueno;5.62;11.25;Bueno;37.50;Bueno;Bueno;Bueno
2025-08-25;9.12;7.02;Bueno;20.28;Bueno;3.88;7.75;Bueno;25.83;Bueno;Bueno;Bueno
2025-08-26;27.75;21.35;Bueno;61.67;Bueno;14.79;29.58;Bueno;98.61;Bueno;Bueno;Bueno
2025-08-27;22.67;17.44;Bueno;50.37;Bueno;12.42;24.83;Bueno;82.78;Bueno;Bueno;Bueno
2025-08-28;18.58;14.29;Bueno;41.30;Bueno;12.25;24.50;Bueno;81.67;Bueno;Bueno;Bueno
2025-08-29;18.54;14.26;Bueno;41.20;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-08-30;25.75;19.81;Bueno;57.22;Bueno;14.96;29.92;Bueno;99.72;Bueno;Bueno;Bueno
2025-08-31;17.79;13.69;Bueno;39.54;Bueno;13.00;26.00;Bueno;86.67;Bueno;Bueno;Bueno
2025-09-01;15.58;11.99;Bueno;34.63;Bueno;8.17;16.33;Bueno;54.44;Bueno;Bueno;Bueno
2025-09-02;19.58;15.06;Bueno;43.52;Bueno;13.38;26.75;Bueno;89.17;Bueno;Bueno;Bueno
2025-09-03;12.67;9.74;Bueno;28.15;Bueno;7.33;14.67;Bueno;48.89;Bueno;Bueno;Bueno
2025-09-04;17.62;13.56;Bueno;39.17;Bueno;9.58;19.17;Bueno;63.89;Bueno;Bueno;Bueno
2025-09-05;28.39;21.84;Bueno;63.09;Bueno;13.65;27.30;Bueno;91.01;Bueno;Bueno;Bueno
2025-09-06;17.21;13.24;Bueno;38.24;Bueno;11.08;22.17;Bueno;73.89;Bueno;Bueno;Bueno
2025-09-07;11.88;9.13;Bueno;26.39;Bueno;5.46;10.92;Bueno;36.39;Bueno;Bueno;Bueno
2025-09-08;6.92;5.32;Bueno;15.37;Bueno;3.54;7.08;Bueno;23.61;Bueno;Bueno;Bueno
2025-09-09;6.36;4.90;Bueno;14.14;Bueno;1.86;3.73;Bueno;12.42;Bueno;Bueno;Bueno
2025-09-10;15.29;11.76;Bueno;33.98;Bueno;5.92;11.83;Bueno;39.44;Bueno;Bueno;Bueno
2025-09-11;16.17;12.44;Bueno;35.93;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
2025-09-12;21.17;16.28;Bueno;47.04;Bueno;9.12;18.25;Bueno;60.83;Bueno;Bueno;Bueno
2025-09-13;5.83;4.49;Bueno;12.96;Bueno;2.79;5.58;Bueno;18.61;Bueno;Bueno;Bueno
2025-09-14;11.67;8.97;Bueno;25.93;Bueno;3.54;7.08;Bueno;23.61;Bueno;Bueno;Bueno
2025-09-15;17.33;13.33;Bueno;38.52;Bueno;8.50;17.00;Bueno;56.67;Bueno;Bueno;Bueno
2025-09-16;18.88;14.52;Bueno;41.94;Bueno;6.29;12.58;Bueno;41.94;Bueno;Bueno;Bueno
2025-09-17;13.38;10.29;Bueno;29.72;Bueno;4.88;9.75;Bueno;32.50;Bueno;Bueno;Bueno
2025-09-18;7.83;6.03;Bueno;17.41;Bueno;2.83;5.67;Bueno;18.89;Bueno;Bueno;Bueno
2025-09-19;7.08;5.45;Bueno;15.74;Bueno;2.62;5.25;Bueno;17.50;Bueno;Bueno;Bueno
2025-09-20;3.83;2.95;Bueno;8.52;Bueno;1.25;2.50;Bueno;8.33;Bueno;Bueno;Bueno
2025-09-21;10.58;8.14;Bueno;23.52;Bueno;5.62;11.25;Bueno;37.50;Bueno;Bueno;Bueno
2025-09-22;10.79;8.30;Bueno;23.98;Bueno;5.21;10.42;Bueno;34.72;Bueno;Bueno;Bueno
2025-09-23;14.58;11.22;Bueno;32.41;Bueno;6.33;12.67;Bueno;42.22;Bueno;Bueno;Bueno
2025-09-24;19.96;15.35;Bueno;44.35;Bueno;7.33;14.67;Bueno;48.89;Bueno;Bueno;Bueno
2025-09-25;20.25;15.58;Bueno;45.00;Bueno;9.50;19.00;Bueno;63.33;Bueno;Bueno;Bueno
2025-09-26;15.38;11.83;Bueno;34.17;Bueno;8.92;17.83;Bueno;59.44;Bueno;Bueno;Bueno
2025-09-27;10.46;8.04;Bueno;23.24;Bueno;4.88;9.75;Bueno;32.50;Bueno;Bueno;Bueno
2025-09-28;6.21;4.78;Bueno;13.80;Bueno;2.00;4.00;Bueno;13.33;Bueno;Bueno;Bueno
2025-09-29;10.54;8.11;Bueno;23.43;Bueno;1.58;3.17;Bueno;10.56;Bueno;Bueno;Bueno
2025-09-30;9.00;6.92;Bueno;20.00;Bueno;2.10;4.19;Bueno;13.97;Bueno;Bueno;Bueno
2025-10-01;15.79;12.15;Bueno;35.09;Bueno;4.29;8.58;Bueno;28.61;Bueno;Bueno;Bueno
2025-10-02;19.67;15.13;Bueno;43.70;Bueno;5.33;10.67;Bueno;35.56;Bueno;Bueno;Bueno
2025-10-03;20.50;15.77;Bueno;45.56;Bueno;6.83;13.67;Bueno;45.56;Bueno;Bueno;Bueno
2025-10-04;9.12;7.02;Bueno;20.28;Bueno;5.58;11.17;Bueno;37.22;Bueno;Bueno;Bueno
2025-10-05;5.33;4.10;Bueno;11.85;Bueno;3.50;7.00;Bueno;23.33;Bueno;Bueno;Bueno
2025-10-06;5.42;4.17;Bueno;12.04;Bueno;1.46;2.92;Bueno;9.72;Bueno;Bueno;Bueno
2025-10-07;7.50;5.77;Bueno;16.67;Bueno;2.00;4.00;Bueno;13.33;Bueno;Bueno;Bueno
