Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;90;;32.14;24.72;Bueno;71.41;Bueno;71;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;02:00;50;;32.14;24.72;Bueno;71.41;Bueno;35;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;03:00;52;;32.14;24.72;Bueno;71.41;Bueno;42;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;04:00;;;32.14;24.72;Bueno;71.41;Bueno;;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;05:00;34;;32.14;24.72;Bueno;71.41;Bueno;16;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;06:00;39;;32.14;24.72;Bueno;71.41;Bueno;28;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;07:00;26;;32.14;24.72;Bueno;71.41;Bueno;19;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;08:00;31;;32.14;24.72;Bueno;71.41;Bueno;18;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;09:00;28;;32.14;24.72;Bueno;71.41;Bueno;12;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;10:00;18;;32.14;24.72;Bueno;71.41;Bueno;10;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;11:00;14;;32.14;24.72;Bueno;71.41;Bueno;6;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;12:00;10;;32.14;24.72;Bueno;71.41;Bueno;3;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;13:00;9;;32.14;24.72;Bueno;71.41;Bueno;3;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;14:00;9;;32.14;24.72;Bueno;71.41;Bueno;3;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;15:00;13;;32.14;24.72;Bueno;71.41;Bueno;3;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;16:00;11;;32.14;24.72;Bueno;71.41;Bueno;4;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;17:00;22;;32.14;24.72;Bueno;71.41;Bueno;14;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;18:00;31;;32.14;24.72;Bueno;71.41;Bueno;21;;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;19:00;41;29.33;32.14;24.72;Bueno;71.41;Bueno;31;18.83;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;20:00;31;29.42;32.14;24.72;Bueno;71.41;Bueno;26;19.21;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;21:00;33;29.60;32.14;24.72;Bueno;71.41;Bueno;22;19.35;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;22:00;59;31.00;32.14;24.72;Bueno;71.41;Bueno;48;20.71;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-27;23:00;56;32.14;32.14;24.72;Bueno;71.41;Bueno;46;21.86;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-28;00:00;50;32.91;67.96;52.28;Bueno;137.75;Regular;49;23.04;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;01:00;41;30.78;67.96;52.28;Bueno;137.75;Regular;39;21.65;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;02:00;38;30.26;67.96;52.28;Bueno;137.75;Regular;29;21.39;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;03:00;27;29.17;67.96;52.28;Bueno;137.75;Regular;15;20.22;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;04:00;32;29.29;67.96;52.28;Bueno;137.75;Regular;24;20.38;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;05:00;31;29.17;67.96;52.28;Bueno;137.75;Regular;17;20.42;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;06:00;27;28.67;67.96;52.28;Bueno;137.75;Regular;19;20.04;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;07:00;45;29.46;67.96;52.28;Bueno;137.75;Regular;33;20.62;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;08:00;68;31.00;67.96;52.28;Bueno;137.75;Regular;57;22.25;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;09:00;48;31.83;67.96;52.28;Bueno;137.75;Regular;32;23.08;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;10:00;42;32.83;67.96;52.28;Bueno;137.75;Regular;23;23.62;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;11:00;57;34.62;67.96;52.28;Bueno;137.75;Regular;33;24.75;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-28;12:00;59;36.67;67.96;52.28;Bueno;137.75;Regular;32;25.96;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
