Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;32.14;24.72;Bueno;71.41;Bueno;21.86;43.73;Bueno;114.86;Regular;Bueno;Regular
2025-07-28;67.96;52.28;Bueno;137.75;Regular;46.29;92.58;Bueno;168.27;Regular;Bueno;Regular
2025-07-29;78.29;60.22;Bueno;154.86;Regular;53.67;112.22;Regular;184.56;Regular;Regular;Regular
2025-07-30;20.70;15.92;Bueno;45.99;Bueno;8.78;17.57;Bueno;58.55;Bueno;Bueno;Bueno
2025-07-31;10.21;7.85;Bueno;22.69;Bueno;5.12;10.25;Bueno;34.17;Bueno;Bueno;Bueno
2025-08-01;8.42;6.47;Bueno;18.70;Bueno;3.75;7.50;Bueno;25.00;Bueno;Bueno;Bueno
2025-08-02;48.96;37.66;Bueno;106.48;Regular;38.29;76.58;Bueno;150.68;Regular;Bueno;Regular
2025-08-03;79.58;61.22;Bueno;157.00;Regular;65.21;150.69;Regular;210.22;Alerta;Regular;Alerta
2025-08-04;66.83;51.41;Bueno;135.89;Regular;46.12;92.25;Bueno;167.90;Regular;Bueno;Regular
2025-08-05;87.33;67.18;Bueno;169.89;Regular;66.00;153.33;Regular;211.98;Alerta;Regular;Alerta
2025-08-06;42.00;32.31;Bueno;93.33;Bueno;26.54;53.08;Bueno;125.02;Regular;Bueno;Regular
2025-08-07;32.96;25.35;Bueno;73.24;Bueno;19.38;38.75;Bueno;109.46;Regular;Bueno;Regular
2025-08-08;95.46;73.43;Bueno;183.44;Regular;73.25;177.50;Regular;228.20;Alerta;Regular;Alerta
2025-08-09;60.38;46.44;Bueno;125.24;Regular;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-08-10;148.25;136.50;Regular;272.60;Alerta;125.54;351.81;Preemergencia;347.49;Preemergencia;Preemergencia;Preemergencia
2025-08-11;103.04;79.26;Bueno;196.13;Regular;77.25;190.83;Regular;237.19;Alerta;Regular;Alerta
2025-08-12;37.00;28.46;Bueno;82.22;Bueno;21.04;42.08;Bueno;113.07;Regular;Bueno;Regular
2025-08-13;59.21;45.54;Bueno;123.32;Regular;35.71;71.42;Bueno;145.02;Regular;Bueno;Regular
2025-08-14;52.96;40.74;Bueno;113.05;Regular;33.25;66.50;Bueno;139.65;Regular;Bueno;Regular
2025-08-15;15.17;11.67;Bueno;33.70;Bueno;4.12;8.25;Bueno;27.50;Bueno;Bueno;Bueno
2025-08-16;24.75;19.04;Bueno;55.00;Bueno;14.29;28.58;Bueno;95.28;Bueno;Bueno;Bueno
2025-08-17;34.79;26.76;Bueno;77.31;Bueno;21.50;43.00;Bueno;114.07;Regular;Bueno;Regular
2025-08-18;51.96;39.97;Bueno;111.40;Regular;33.75;67.50;Bueno;140.74;Regular;Bueno;Regular
2025-08-19;44.04;33.88;Bueno;97.87;Bueno;29.04;58.08;Bueno;130.46;Regular;Bueno;Regular
2025-08-20;19.21;14.78;Bueno;42.69;Bueno;10.58;21.17;Bueno;70.56;Bueno;Bueno;Bueno
2025-08-21;11.00;8.46;Bueno;24.44;Bueno;4.83;9.67;Bueno;32.22;Bueno;Bueno;Bueno
2025-08-22;14.75;11.35;Bueno;32.78;Bueno;8.17;16.33;Bueno;54.44;Bueno;Bueno;Bueno
2025-08-23;58.71;45.16;Bueno;122.50;Regular;46.83;93.67;Bueno;169.46;Regular;Bueno;Regular
2025-08-24;39.33;30.26;Bueno;87.41;Bueno;28.46;56.92;Bueno;129.19;Regular;Bueno;Regular
2025-08-25;14.67;11.28;Bueno;32.59;Bueno;3.00;6.00;Bueno;20.00;Bueno;Bueno;Bueno
2025-08-26;46.42;35.71;Bueno;102.32;Regular;24.54;49.08;Bueno;120.67;Regular;Bueno;Regular
2025-08-27;43.29;33.30;Bueno;96.20;Bueno;22.83;45.67;Bueno;116.96;Regular;Bueno;Regular
2025-08-28;27.21;20.93;Bueno;60.46;Bueno;17.71;35.42;Bueno;105.85;Regular;Bueno;Regular
2025-08-29;39.14;30.10;Bueno;86.97;Bueno;24.86;49.73;Bueno;121.37;Regular;Bueno;Regular
2025-08-30;34.29;26.38;Bueno;76.20;Bueno;22.83;45.67;Bueno;116.96;Regular;Bueno;Regular
2025-08-31;32.58;25.06;Bueno;72.41;Bueno;21.04;42.08;Bueno;113.07;Regular;Bueno;Regular
2025-09-01;25.25;19.42;Bueno;56.11;Bueno;13.96;27.92;Bueno;93.06;Bueno;Bueno;Bueno
2025-09-02;12.96;9.97;Bueno;28.80;Bueno;2.96;5.92;Bueno;19.72;Bueno;Bueno;Bueno
2025-09-03;18.75;14.42;Bueno;41.67;Bueno;4.75;9.50;Bueno;31.67;Bueno;Bueno;Bueno
2025-09-04;38.83;29.87;Bueno;86.30;Bueno;20.38;40.75;Bueno;111.63;Regular;Bueno;Regular
2025-09-05;45.67;35.13;Bueno;101.09;Regular;25.92;51.83;Bueno;123.66;Regular;Bueno;Regular
2025-09-06;24.62;18.94;Bueno;54.72;Bueno;13.12;26.25;Bueno;87.50;Bueno;Bueno;Bueno
2025-09-07;16.00;12.31;Bueno;35.56;Bueno;7.38;14.75;Bueno;49.17;Bueno;Bueno;Bueno
2025-09-08;20.21;15.54;Bueno;44.91;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-09-09;16.71;12.85;Bueno;37.13;Bueno;4.42;8.83;Bueno;29.44;Bueno;Bueno;Bueno
2025-09-10;13.58;10.45;Bueno;30.19;Bueno;3.17;6.33;Bueno;21.11;Bueno;Bueno;Bueno
2025-09-11;43.58;33.53;Bueno;96.85;Bueno;20.08;40.17;Bueno;111.00;Regular;Bueno;Regular
2025-09-12;32.33;24.87;Bueno;71.85;Bueno;15.35;30.70;Bueno;100.76;Regular;Bueno;Regular
2025-09-13;18.17;13.97;Bueno;40.37;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-09-14;19.58;15.06;Bueno;43.52;Bueno;7.17;14.33;Bueno;47.78;Bueno;Bueno;Bueno
2025-09-15;29.62;22.79;Bueno;65.83;Bueno;12.08;24.17;Bueno;80.56;Bueno;Bueno;Bueno
2025-09-16;36.12;27.79;Bueno;80.28;Bueno;15.67;31.33;Bueno;101.44;Regular;Bueno;Regular
2025-09-17;23.08;17.76;Bueno;51.30;Bueno;7.88;15.75;Bueno;52.50;Bueno;Bueno;Bueno
2025-09-18;17.04;13.11;Bueno;37.87;Bueno;6.25;12.50;Bueno;41.67;Bueno;Bueno;Bueno
2025-09-19;15.08;11.60;Bueno;33.52;Bueno;4.75;9.50;Bueno;31.67;Bueno;Bueno;Bueno
