Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;;;;;;;;56;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;02:00;;;;;;;;43;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;03:00;;;;;;;;51;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;04:00;;;;;;;;38;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;05:00;;;;;;;;33;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;06:00;;;;;;;;26;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;07:00;;;;;;;;12;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;08:00;;;;;;;;10;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;09:00;;;;;;;;11;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;10:00;;;;;;;;13;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;11:00;;;;;;;;13;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;12:00;;;;;;;;16;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;13:00;;;;;;;;10;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;14:00;;;;;;;;14;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;15:00;;;;;;;;26;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;16:00;;;;;;;;44;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;17:00;;;;;;;;36;;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;18:00;;;;;;;;38;27.22;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;19:00;;;;;;;;35;27.63;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;20:00;;;;;;;;21;27.30;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;21:00;;;;;;;;11;26.52;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;22:00;;;;;;;;29;26.64;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-27;23:00;;;;;;;;17;26.22;26.22;52.43;Bueno;124.31;Regular;Bueno;Regular
2025-07-28;00:00;;;;;;;;10;25.54;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;01:00;;;;;;;;14;23.79;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;02:00;;;;;;;;7;22.29;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;03:00;;;;;;;;28;21.33;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;04:00;;;;;;;;28;20.92;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;05:00;;;;;;;;15;20.17;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;06:00;;;;;;;;31;20.38;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
2025-07-28;07:00;;;;;;;;23;20.83;49.38;98.75;Bueno;175.07;Regular;Bueno;Regular
