Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;Curico;39.7;30.54;88.21;35.87;71.74;145.38;Bueno;Regular
2025-07-28;La_Florida;67.96;52.28;137.75;46.29;92.58;168.27;Bueno;Regular
2025-07-29;La_Florida;78.29;60.22;154.86;53.67;112.22;184.56;Regular;Regular
2025-07-30;Curico;38.12;29.33;84.72;28.67;57.33;129.65;Bueno;Regular
2025-07-31;Curico;16.58;12.76;36.85;14.62;29.25;97.5;Bueno;Bueno
2025-08-01;Curico;15.0;11.54;33.33;13.61;27.22;90.72;Bueno;Bueno
2025-08-02;La_Florida;48.96;37.66;106.48;38.29;76.58;150.68;Bueno;Regular
2025-08-03;La_Florida;79.58;61.22;157.0;65.21;150.69;210.22;Regular;Alerta
2025-08-04;La_Florida;66.83;51.41;135.89;46.12;92.25;167.9;Bueno;Regular
2025-08-05;Linares;;;;80.0;200.0;243.38;Alerta;Alerta
2025-08-06;La_Florida;42.0;32.31;93.33;26.54;53.08;125.02;Bueno;Regular
2025-08-07;Curico;39.79;30.61;88.43;34.75;69.5;142.93;Bueno;Regular
2025-08-08;Linares;;;;94.58;248.61;276.38;Alerta;Alerta
2025-08-09;Linares;;;;56.3;121.01;190.41;Regular;Regular
2025-08-10;La_Florida;148.25;136.5;272.6;125.54;351.81;347.49;Preemergencia;Preemergencia
2025-08-11;La_Florida;103.04;79.26;196.13;77.25;190.83;237.19;Regular;Alerta
2025-08-12;Curico;44.08;33.91;97.96;35.25;70.5;144.02;Bueno;Regular
2025-08-13;Linares;;;;58.67;128.89;195.65;Regular;Regular
2025-08-14;Curico;57.58;44.29;120.64;46.94;93.89;169.71;Bueno;Regular
2025-08-15;Cauquenes_Sivica;16.83;12.95;37.41;9.04;18.08;60.28;Bueno;Bueno
2025-08-16;Curico;27.25;20.96;60.56;21.08;42.17;113.16;Bueno;Regular
2025-08-17;Curico;36.38;27.98;80.83;31.5;63.0;135.83;Bueno;Regular
2025-08-18;Curico;57.29;44.07;120.17;46.21;92.42;168.09;Bueno;Regular
2025-08-19;Universidad_de_Talca;47.5;36.54;104.09;29.67;59.33;131.83;Bueno;Regular
2025-08-20;Curico;25.08;19.29;55.74;19.46;38.92;109.64;Bueno;Regular
2025-08-21;Curico;18.88;14.52;41.94;16.0;32.0;102.16;Bueno;Regular
2025-08-22;Cauquenes_Sivica;21.79;16.76;48.43;15.42;30.83;100.9;Bueno;Regular
2025-08-23;La_Florida;58.71;45.16;122.5;46.83;93.67;169.46;Bueno;Regular
2025-08-24;La_Florida;39.33;30.26;87.41;28.46;56.92;129.19;Bueno;Regular
2025-08-25;Curico;19.0;14.62;42.22;12.38;24.75;82.5;Bueno;Bueno
2025-08-26;La_Florida;46.42;35.71;102.32;24.54;49.08;120.67;Bueno;Regular
2025-08-27;Linares;;;;59.38;131.25;197.23;Regular;Regular
2025-08-28;La_Florida;27.21;20.93;60.46;17.71;35.42;105.85;Bueno;Regular
2025-08-29;La_Florida;39.14;30.1;86.97;24.86;49.73;121.37;Bueno;Regular
2025-08-30;Curico;52.62;40.48;112.5;46.33;92.67;168.36;Bueno;Regular
2025-08-31;Curico;39.0;30.0;86.67;34.54;69.08;142.47;Bueno;Regular
2025-09-01;Curico;35.12;27.02;78.06;29.75;59.5;132.01;Bueno;Regular
2025-09-02;Curico;19.88;15.29;44.17;13.88;27.75;92.5;Bueno;Bueno
2025-09-03;La_Florida;18.75;14.42;41.67;4.75;9.5;31.67;Bueno;Bueno
2025-09-04;Universidad_de_Talca;49.92;38.4;108.05;13.91;27.83;92.75;Bueno;Regular
2025-09-05;Linares;;;;51.0;103.33;178.66;Regular;Regular
