Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;25.09;19.30;Bueno;55.75;Bueno;22.09;44.17;Bueno;115.34;Regular;Bueno;Regular
2025-07-28;42.08;32.37;Bueno;93.52;Bueno;32.83;65.67;Bueno;138.74;Regular;Bueno;Regular
2025-07-29;57.33;44.10;Bueno;120.24;Regular;45.92;91.83;Bueno;167.44;Regular;Bueno;Regular
2025-07-30;18.58;14.29;Bueno;41.30;Bueno;13.71;27.42;Bueno;91.39;Bueno;Bueno;Bueno
2025-07-31;6.83;5.26;Bueno;15.19;Bueno;5.04;10.08;Bueno;33.61;Bueno;Bueno;Bueno
2025-08-01;7.08;5.45;Bueno;15.74;Bueno;5.08;10.17;Bueno;33.89;Bueno;Bueno;Bueno
2025-08-02;14.33;11.03;Bueno;31.85;Bueno;11.08;22.17;Bueno;73.89;Bueno;Bueno;Bueno
2025-08-03;47.83;36.79;Bueno;104.64;Regular;43.96;87.92;Bueno;163.13;Regular;Bueno;Regular
2025-08-04;34.62;26.63;Bueno;76.94;Bueno;26.71;53.42;Bueno;125.38;Regular;Bueno;Regular
2025-08-05;56.88;43.75;Bueno;119.48;Regular;46.09;92.17;Bueno;167.82;Regular;Bueno;Regular
2025-08-06;27.79;21.38;Bueno;61.76;Bueno;20.96;41.92;Bueno;112.89;Regular;Bueno;Regular
2025-08-07;20.67;15.90;Bueno;45.93;Bueno;16.92;33.83;Bueno;104.14;Regular;Bueno;Regular
2025-08-08;56.83;43.72;Bueno;119.41;Regular;44.50;89.00;Bueno;164.32;Regular;Bueno;Regular
2025-08-09;32.00;24.62;Bueno;71.11;Bueno;28.00;56.00;Bueno;128.19;Regular;Bueno;Regular
2025-08-10;56.58;43.53;Bueno;119.00;Regular;48.92;97.83;Bueno;174.06;Regular;Bueno;Regular
2025-08-11;65.58;50.45;Bueno;133.83;Regular;46.50;93.00;Bueno;168.73;Regular;Bueno;Regular
2025-08-12;33.50;25.77;Bueno;74.44;Bueno;17.54;35.08;Bueno;105.49;Regular;Bueno;Regular
2025-08-13;36.57;28.13;Bueno;81.26;Bueno;24.54;49.08;Bueno;120.67;Regular;Bueno;Regular
2025-08-14;41.38;31.83;Bueno;91.94;Bueno;29.96;59.92;Bueno;132.46;Regular;Bueno;Regular
2025-08-15;13.00;10.00;Bueno;28.89;Bueno;8.08;16.17;Bueno;53.89;Bueno;Bueno;Bueno
2025-08-16;26.38;20.29;Bueno;58.61;Bueno;19.83;39.67;Bueno;110.45;Regular;Bueno;Regular
2025-08-17;32.46;24.97;Bueno;72.13;Bueno;26.46;52.92;Bueno;124.84;Regular;Bueno;Regular
2025-08-18;35.96;27.66;Bueno;79.91;Bueno;24.38;48.75;Bueno;120.31;Regular;Bueno;Regular
2025-08-19;28.29;21.76;Bueno;62.87;Bueno;20.88;41.75;Bueno;112.71;Regular;Bueno;Regular
2025-08-20;22.70;17.46;Bueno;50.43;Bueno;16.04;32.09;Bueno;102.25;Regular;Bueno;Regular
2025-08-21;11.33;8.72;Bueno;25.19;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
2025-08-22;6.50;5.00;Bueno;14.44;Bueno;4.92;9.83;Bueno;32.78;Bueno;Bueno;Bueno
2025-08-23;40.21;30.93;Bueno;89.35;Bueno;35.08;70.17;Bueno;143.66;Regular;Bueno;Regular
2025-08-24;17.33;13.33;Bueno;38.52;Bueno;14.75;29.50;Bueno;98.33;Bueno;Bueno;Bueno
2025-08-25;13.71;10.54;Bueno;30.46;Bueno;8.12;16.25;Bueno;54.17;Bueno;Bueno;Bueno
2025-08-26;31.46;24.20;Bueno;69.91;Bueno;18.92;37.83;Bueno;108.47;Regular;Bueno;Regular
2025-08-27;38.17;29.36;Bueno;84.81;Bueno;24.50;49.00;Bueno;120.58;Regular;Bueno;Regular
2025-08-28;27.21;20.93;Bueno;60.46;Bueno;20.96;41.92;Bueno;112.89;Regular;Bueno;Regular
2025-08-29;33.43;25.72;Bueno;74.30;Bueno;25.87;51.74;Bueno;123.56;Regular;Bueno;Regular
2025-08-30;35.71;27.47;Bueno;79.35;Bueno;28.42;56.83;Bueno;129.10;Regular;Bueno;Regular
2025-08-31;29.50;22.69;Bueno;65.56;Bueno;22.88;45.75;Bueno;117.05;Regular;Bueno;Regular
2025-09-01;29.75;22.88;Bueno;66.11;Bueno;19.46;38.92;Bueno;109.64;Regular;Bueno;Regular
2025-09-02;14.79;11.38;Bueno;32.87;Bueno;8.58;17.17;Bueno;57.22;Bueno;Bueno;Bueno
2025-09-03;16.42;12.63;Bueno;36.48;Bueno;6.83;13.67;Bueno;45.56;Bueno;Bueno;Bueno
2025-09-04;26.08;20.06;Bueno;57.96;Bueno;15.08;30.17;Bueno;100.18;Regular;Bueno;Regular
2025-09-05;37.46;28.81;Bueno;83.24;Bueno;23.42;46.83;Bueno;118.23;Regular;Bueno;Regular
2025-09-06;23.88;18.37;Bueno;53.06;Bueno;16.29;32.58;Bueno;102.79;Regular;Bueno;Regular
2025-09-07;17.38;13.37;Bueno;38.61;Bueno;12.88;25.75;Bueno;85.83;Bueno;Bueno;Bueno
2025-09-08;17.91;13.78;Bueno;39.81;Bueno;9.38;18.75;Bueno;62.50;Bueno;Bueno;Bueno
2025-09-09;14.67;11.28;Bueno;32.59;Bueno;7.04;14.08;Bueno;46.94;Bueno;Bueno;Bueno
2025-09-10;;;;;;;;;;;;
2025-09-11;33.42;25.71;Bueno;74.26;Bueno;17.71;35.42;Bueno;105.85;Regular;Bueno;Regular
2025-09-12;34.74;26.72;Bueno;77.20;Bueno;20.39;40.78;Bueno;111.66;Regular;Bueno;Regular
2025-09-13;12.08;9.29;Bueno;26.85;Bueno;7.62;15.25;Bueno;50.83;Bueno;Bueno;Bueno
2025-09-14;16.96;13.04;Bueno;37.69;Bueno;10.92;21.83;Bueno;72.78;Bueno;Bueno;Bueno
2025-09-15;21.08;16.22;Bueno;46.85;Bueno;10.96;21.92;Bueno;73.06;Bueno;Bueno;Bueno
2025-09-16;20.71;15.93;Bueno;46.02;Bueno;11.17;22.33;Bueno;74.44;Bueno;Bueno;Bueno
2025-09-17;21.42;16.47;Bueno;47.59;Bueno;12.58;25.17;Bueno;83.89;Bueno;Bueno;Bueno
2025-09-18;15.21;11.70;Bueno;33.80;Bueno;9.92;19.83;Bueno;66.11;Bueno;Bueno;Bueno
2025-09-19;13.04;10.03;Bueno;28.98;Bueno;7.46;14.92;Bueno;49.72;Bueno;Bueno;Bueno
2025-09-20;6.25;4.81;Bueno;13.89;Bueno;3.29;6.58;Bueno;21.94;Bueno;Bueno;Bueno
2025-09-21;8.54;6.57;Bueno;18.98;Bueno;6.79;13.58;Bueno;45.28;Bueno;Bueno;Bueno
