Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;44;;21.41;16.47;Bueno;47.58;Bueno;41;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;02:00;41;;21.41;16.47;Bueno;47.58;Bueno;36;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;03:00;43;;21.41;16.47;Bueno;47.58;Bueno;34;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;04:00;39;;21.41;16.47;Bueno;47.58;Bueno;28;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;05:00;31;;21.41;16.47;Bueno;47.58;Bueno;30;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;06:00;25;;21.41;16.47;Bueno;47.58;Bueno;18;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;07:00;12;;21.41;16.47;Bueno;47.58;Bueno;12;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;08:00;;;21.41;16.47;Bueno;47.58;Bueno;;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;09:00;25;;21.41;16.47;Bueno;47.58;Bueno;18;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;10:00;13;;21.41;16.47;Bueno;47.58;Bueno;8;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;11:00;7;;21.41;16.47;Bueno;47.58;Bueno;8;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;12:00;3;;21.41;16.47;Bueno;47.58;Bueno;3;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;13:00;3;;21.41;16.47;Bueno;47.58;Bueno;2;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;14:00;3;;21.41;16.47;Bueno;47.58;Bueno;2;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;15:00;6;;21.41;16.47;Bueno;47.58;Bueno;1;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;16:00;7;;21.41;16.47;Bueno;47.58;Bueno;2;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;17:00;6;;21.41;16.47;Bueno;47.58;Bueno;6;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;18:00;16;;21.41;16.47;Bueno;47.58;Bueno;12;;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;19:00;13;18.72;21.41;16.47;Bueno;47.58;Bueno;12;15.17;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;20:00;13;18.42;21.41;16.47;Bueno;47.58;Bueno;8;14.79;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;21:00;33;19.15;21.41;16.47;Bueno;47.58;Bueno;21;15.10;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;22:00;44;20.33;21.41;16.47;Bueno;47.58;Bueno;33;15.95;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-27;23:00;44;21.41;21.41;16.47;Bueno;47.58;Bueno;40;17.05;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-28;00:00;42;22.30;43.38;33.37;Bueno;96.39;Bueno;;17.05;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;01:00;26;21.52;43.38;33.37;Bueno;96.39;Bueno;17;15.95;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;02:00;28;20.96;43.38;33.37;Bueno;96.39;Bueno;16;15.05;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;03:00;22;20.04;43.38;33.37;Bueno;96.39;Bueno;18;14.32;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;04:00;20;19.22;43.38;33.37;Bueno;96.39;Bueno;13;13.64;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;05:00;22;18.83;43.38;33.37;Bueno;96.39;Bueno;13;12.86;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;06:00;20;18.61;43.38;33.37;Bueno;96.39;Bueno;18;12.86;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;07:00;36;19.65;43.38;33.37;Bueno;96.39;Bueno;24;13.41;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;08:00;46;20.75;43.38;33.37;Bueno;96.39;Bueno;31;14.17;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;09:00;42;21.46;43.38;33.37;Bueno;96.39;Bueno;22;14.35;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;10:00;33;22.29;43.38;33.37;Bueno;96.39;Bueno;19;14.83;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;11:00;38;23.58;43.38;33.37;Bueno;96.39;Bueno;21;15.39;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;12:00;23;24.42;43.38;33.37;Bueno;96.39;Bueno;16;15.96;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;13:00;24;25.29;43.38;33.37;Bueno;96.39;Bueno;16;16.57;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;14:00;36;26.67;43.38;33.37;Bueno;96.39;Bueno;22;17.43;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-28;15:00;46;28.33;43.38;33.37;Bueno;96.39;Bueno;25;18.48;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
