Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;21.41;16.47;Bueno;47.58;Bueno;17.05;34.09;Bueno;104.42;Regular;Bueno;Regular
2025-07-28;43.38;33.37;Bueno;96.39;Bueno;27.22;54.43;Bueno;126.49;Regular;Bueno;Regular
2025-07-29;59.38;45.67;Bueno;123.60;Regular;41.00;82.00;Bueno;156.63;Regular;Bueno;Regular
2025-07-30;18.88;14.52;Bueno;41.94;Bueno;11.54;23.08;Bueno;76.94;Bueno;Bueno;Bueno
2025-07-31;5.29;4.07;Bueno;11.75;Bueno;3.76;7.52;Bueno;25.08;Bueno;Bueno;Bueno
2025-08-01;5.04;3.88;Bueno;11.21;Bueno;3.14;6.27;Bueno;20.91;Bueno;Bueno;Bueno
2025-08-02;14.74;11.34;Bueno;32.75;Bueno;10.29;20.58;Bueno;68.61;Bueno;Bueno;Bueno
2025-08-03;56.96;43.81;Bueno;119.62;Regular;44.88;89.75;Bueno;165.15;Regular;Bueno;Regular
2025-08-04;31.29;24.07;Bueno;69.54;Bueno;18.83;37.67;Bueno;108.29;Regular;Bueno;Regular
2025-08-05;56.92;43.78;Bueno;119.55;Regular;39.92;79.83;Bueno;154.25;Regular;Bueno;Regular
2025-08-06;32.88;25.29;Bueno;73.06;Bueno;22.04;44.08;Bueno;115.24;Regular;Bueno;Regular
2025-08-07;23.04;17.72;Bueno;51.20;Bueno;14.71;29.42;Bueno;98.06;Bueno;Bueno;Bueno
2025-08-08;63.92;49.17;Bueno;131.08;Regular;40.04;80.08;Bueno;154.52;Regular;Bueno;Regular
2025-08-09;27.17;20.90;Bueno;60.37;Bueno;22.17;44.33;Bueno;115.51;Regular;Bueno;Regular
2025-08-10;49.58;38.14;Bueno;107.51;Regular;38.33;76.67;Bueno;150.77;Regular;Bueno;Regular
2025-08-11;72.50;55.77;Bueno;145.26;Regular;42.52;85.04;Bueno;159.97;Regular;Bueno;Regular
2025-08-12;33.92;26.09;Bueno;75.37;Bueno;20.25;40.50;Bueno;111.36;Regular;Bueno;Regular
2025-08-13;40.75;31.35;Bueno;90.56;Bueno;19.71;39.42;Bueno;110.18;Regular;Bueno;Regular
2025-08-14;47.96;36.89;Bueno;104.84;Regular;28.33;56.67;Bueno;128.92;Regular;Bueno;Regular
2025-08-15;11.81;9.08;Bueno;26.24;Bueno;4.95;9.90;Bueno;33.02;Bueno;Bueno;Bueno
2025-08-16;22.71;17.47;Bueno;50.46;Bueno;15.35;30.70;Bueno;100.75;Regular;Bueno;Regular
2025-08-17;28.83;22.17;Bueno;64.06;Bueno;20.04;40.08;Bueno;110.91;Regular;Bueno;Regular
2025-08-18;45.62;35.10;Bueno;101.02;Regular;26.21;52.42;Bueno;124.29;Regular;Bueno;Regular
2025-08-19;47.50;36.54;Bueno;104.09;Regular;29.67;59.33;Bueno;131.83;Regular;Bueno;Regular
2025-08-20;17.88;13.75;Bueno;39.72;Bueno;11.92;23.83;Bueno;79.44;Bueno;Bueno;Bueno
2025-08-21;9.00;6.92;Bueno;20.00;Bueno;4.92;9.83;Bueno;32.78;Bueno;Bueno;Bueno
2025-08-22;5.38;4.13;Bueno;11.94;Bueno;4.00;8.00;Bueno;26.67;Bueno;Bueno;Bueno
2025-08-23;45.58;35.06;Bueno;100.95;Regular;36.83;73.67;Bueno;147.49;Regular;Bueno;Regular
2025-08-24;24.08;18.53;Bueno;53.52;Bueno;19.75;39.50;Bueno;110.27;Regular;Bueno;Regular
2025-08-25;12.33;9.49;Bueno;27.41;Bueno;5.42;10.83;Bueno;36.11;Bueno;Bueno;Bueno
2025-08-26;27.96;21.51;Bueno;62.13;Bueno;12.92;25.83;Bueno;86.11;Bueno;Bueno;Bueno
2025-08-27;52.71;40.54;Bueno;112.64;Regular;24.46;48.92;Bueno;120.49;Regular;Bueno;Regular
2025-08-28;26.30;20.23;Bueno;58.45;Bueno;19.12;38.25;Bueno;108.92;Regular;Bueno;Regular
2025-08-29;31.18;23.99;Bueno;69.29;Bueno;20.81;41.62;Bueno;112.57;Regular;Bueno;Regular
2025-08-30;31.71;24.39;Bueno;70.46;Bueno;20.17;40.33;Bueno;111.18;Regular;Bueno;Regular
