FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250728;0100;8;;;
250728;0200;6;;;
250728;0300;6;;;
250728;0400;3;;;
250728;0500;6;;;
250728;0600;4;;;
250728;0700;4;;;
250728;0800;5;;;
250728;0900;1;;;
250728;1000;1;;;
250728;1100;1;;;
250728;1200;1;;;
250728;1300;10;;;
250728;1400;10;;;
250728;1500;4;;;
250728;1600;26;;;
250728;1700;52;;;
250728;1800;40;;;
250728;1900;25;;;
250728;2000;49;;;
250728;2100;51;;;
250728;2200;100;;;
250728;2300;75;;;
250729;0000;112;;;
250729;0100;112;;;
250729;0200;49;;;
250729;0300;29;;;
250729;0400;10;;;
250729;0500;12;;;
250729;0600;15;;;
250729;0700;23;;;
250729;0800;15;;;
250729;0900;;;;
250729;1000;1;;;
250729;1100;9;;;
250729;1200;15;;;
250729;1300;14;;;
250729;1400;12;;;
250729;1500;7;;;
250729;1600;11;;;
250729;1700;32;;;
250729;1800;24;;;
250729;1900;37;;;
250729;2000;35;;;
250729;2100;35;;;
250729;2200;34;;;
250729;2300;20;;;
250730;0000;18;;;
250730;0100;5;;;
250730;0200;7;;;
250730;0300;10;;;
250730;0400;9;;;
250730;0500;8;;;
250730;0600;7;;;
250730;0700;5;;;
250730;0800;5;;;
250730;0900;;;;
250730;1000;1;;;
250730;1100;11;;;
250730;1200;9;;;
250730;1300;10;;;
250730;1400;12;;;
250730;1500;1;;;
250730;1600;5;;;
250730;1700;10;;;
250730;1800;6;;;
250730;1900;8;;;
250730;2000;9;;;
250730;2100;7;;;
250730;2200;1;;;
250730;2300;3;;;
250731;0000;1;;;
250731;0100;2;;;
250731;0200;2;;;
250731;0300;2;;;
250731;0400;3;;;
250731;0500;1;;;
250731;0600;1;;;
250731;0700;1;;;
250731;0800;1;;;
250731;0900;1;;;
250731;1000;1;;;
250731;1100;1;;;
250731;1200;1;;;
250731;1300;1;;;
250731;1400;1;;;
250731;1500;1;;;
250731;1600;;;;
250731;1700;16;;;
250731;1800;1;;;
250731;1900;4;;;
250731;2000;2;;;
250731;2100;1;;;
250731;2200;1;;;
250731;2300;1;;;
250801;0000;1;;;
250801;0100;1;;;
250801;0200;1;;;
250801;0300;1;;;
250801;0400;2;;;
250801;0500;1;;;
250801;0600;4;;;
250801;0700;3;;;
250801;0800;;;;
250801;0900;;;;
250801;1000;;;;
250801;1100;;;64;
250801;1200;1;;;
250801;1300;1;;;
250801;1400;1;;;
250801;1500;8;;;
250801;1600;5;;;
250801;1700;1;;;
250801;1800;1;;;
250801;1900;1;;;
250801;2000;1;;;
250801;2100;1;;;
250801;2200;2;;;
250801;2300;1;;;
250802;0000;1;;;
250802;0100;1;;;
250802;0200;1;;;
250802;0300;1;;;
250802;0400;1;;;
250802;0500;1;;;
250802;0600;1;;;
250802;0700;1;;;
250802;0800;1;;;
250802;0900;4;;;
250802;1000;1;;;
250802;1100;1;;;
250802;1200;5;;;
250802;1300;1;;;
250802;1400;5;;;
250802;1500;1;;;
250802;1600;3;;;
250802;1700;2;;;
250802;1800;42;;;
250802;1900;40;;;
250802;2000;42;;;
250802;2100;131;;;
250802;2200;69;;;
250802;2300;43;;;
250803;0000;51;;;
250803;0100;44;;;
250803;0200;57;;;
250803;0300;81;;;
250803;0400;29;;;
250803;0500;40;;;
250803;0600;53;;;
250803;0700;;;;
250803;0800;;;;
250803;0900;8;;;
250803;1000;38;;;
250803;1100;24;;;
250803;1200;18;;;
250803;1300;16;;;
250803;1400;;;;
250803;1500;;;;
250803;1600;;;;
250803;1700;;;;
250803;1800;;;;
250803;1900;;;;
250803;2000;;;;
250803;2100;;;;
250803;2200;;;;
250803;2300;;;;
250804;0000;;;;
250804;0100;;;;
250804;0200;;;;
250804;0300;;;;
250804;0400;;;;
250804;0500;;;;
250804;0600;;;;
250804;0700;;;;
250804;0800;;;;
250804;0900;;;;
250804;1000;;;;
250804;1100;;;;
250804;1200;;;;
250804;1300;;;;
250804;1400;;;;
250804;1500;;;;
250804;1600;;;;
250804;1700;;;;
250804;1800;53;;;
250804;1900;145;;;
250804;2000;70;;;
250804;2100;74;;;
250804;2200;196;;;
250804;2300;59;;;
250805;0000;98;;;
250805;0100;150;;;
250805;0200;142;;;
250805;0300;48;;;
250805;0400;57;;;
250805;0500;60;;;
250805;0600;39;;;
250805;0700;136;;;
250805;0800;115;;;
250805;0900;101;;;
250805;1000;319;;;
250805;1100;;;;
250805;1200;92;;;
250805;1300;17;;;
250805;1400;30;;;
250805;1500;23;;;
250805;1600;19;;;
250805;1700;28;;;
250805;1800;76;;;
250805;1900;98;;;
250805;2000;189;;;
250805;2100;80;;;
250805;2200;113;;;
250805;2300;88;;;
250806;0000;98;;;
250806;0100;99;;;
250806;0200;26;;;
250806;0300;26;;;
250806;0400;22;;;
250806;0500;22;;;
250806;0600;21;;;
250806;0700;18;;;
250806;0800;18;;;
250806;0900;18;;;
250806;1000;11;;;
250806;1100;17;;;
250806;1200;11;;;
250806;1300;14;;;
250806;1400;10;;;
250806;1500;8;;;
250806;1600;4;;;
250806;1700;8;;;
250806;1800;20;;;
250806;1900;36;;;
250806;2000;25;;;
250806;2100;20;;;
250806;2200;18;;;
250806;2300;17;;;
250807;0000;22;;;
250807;0100;15;;;
250807;0200;15;;;
250807;0300;9;;;
250807;0400;18;;;
250807;0500;10;;;
250807;0600;8;;;
250807;0700;4;;;
250807;0800;11;;;
250807;0900;15;;;
250807;1000;19;;;
250807;1100;58;;;
250807;1200;8;;;
250807;1300;15;;;
250807;1400;16;;;
250807;1500;14;;;
250807;1600;17;;;
250807;1700;29;;;
250807;1800;69;;;
250807;1900;114;;;
250807;2000;136;;;
250807;2100;47;;;
250807;2200;31;;;
250807;2300;34;;;
250808;0000;28;;;
250808;0100;71;;;
250808;0200;96;;;
250808;0300;48;;;
250808;0400;68;;;
250808;0500;54;;;
250808;0600;20;;;
250808;0700;14;;;
250808;0800;17;;;
250808;0900;16;;;
250808;1000;15;;;
250808;1100;27;;;
250808;1200;29;;;
250808;1300;22;;;
250808;1400;15;;;
250808;1500;16;;;
250808;1600;27;;;
250808;1700;29;;;
250808;1800;174;;;
250808;1900;698;;;
250808;2000;714;;;
250808;2100;248;;;
250808;2200;211;;;
250808;2300;239;;;
250809;0000;90;;;
250809;0100;38;;;
250809;0200;47;;;
250809;0300;30;;;
250809;0400;25;;;
250809;0500;33;;;
250809;0600;21;;;
250809;0700;12;;;
250809;0800;17;;;
250809;0900;18;;;
250809;1000;16;;;
250809;1100;12;;;
250809;1200;8;;;
250809;1300;13;;;
250809;1400;12;;;
250809;1500;12;;;
250809;1600;14;;;
250809;1700;8;;;
250809;1800;5;;;
250809;1900;12;;;
250809;2000;15;;;
250809;2100;18;;;
250809;2200;16;;;
250809;2300;16;;;
250810;0000;31;;;
250810;0100;24;;;
250810;0200;80;;;
250810;0300;41;;;
250810;0400;42;;;
250810;0500;44;;;
250810;0600;44;;;
250810;0700;16;;;
250810;0800;51;;;
250810;0900;31;;;
250810;1000;9;;;
250810;1100;8;;;
250810;1200;5;;;
250810;1300;6;;;
250810;1400;11;;;
250810;1500;9;;;
250810;1600;11;;;
250810;1700;24;;;
250810;1800;141;;;
250810;1900;356;;;
250810;2000;368;;;
250810;2100;522;;;
250810;2200;377;;;
250810;2300;422;;;
250811;0000;174;;;
250811;0100;252;;;
250811;0200;126;;;
250811;0300;62;;;
250811;0400;39;;;
250811;0500;27;;;
250811;0600;29;;;
250811;0700;35;;;
250811;0800;76;;;
250811;0900;16;;;
250811;1000;24;;;
250811;1100;22;;;
250811;1200;9;;;
250811;1300;15;;;
250811;1400;15;;;
250811;1500;20;;;
250811;1600;24;;;
250811;1700;40;;;
250811;1800;98;;;
250811;1900;29;;;
250811;2000;46;;;
250811;2100;70;;;
250811;2200;31;;;
250811;2300;27;;;
250812;0000;24;;;
250812;0100;39;;;
250812;0200;16;;;
250812;0300;17;;;
250812;0400;16;;;
250812;0500;20;;;
250812;0600;22;;;
250812;0700;29;;;
250812;0800;57;;;
250812;0900;52;;;
250812;1000;11;;;
250812;1100;6;;;
250812;1200;11;;;
250812;1300;19;;;
250812;1400;15;;;
250812;1500;15;;;
250812;1600;26;;;
250812;1700;22;;;
250812;1800;47;;;
250812;1900;44;;;
250812;2000;42;;;
250812;2100;42;;;
250812;2200;35;;;
250812;2300;13;;;
250813;0000;14;;;
250813;0100;14;;;
250813;0200;13;;;
250813;0300;16;;;
250813;0400;5;;;
250813;0500;8;;;
250813;0600;12;;;
250813;0700;8;;;
250813;0800;19;;;
250813;0900;;;;
250813;1000;;;;
250813;1100;;;;
250813;1200;1;;;
250813;1300;26;;;
250813;1400;22;;;
250813;1500;;;227;
250813;1600;1;;;
250813;1700;22;;;
250813;1800;74;;;
250813;1900;118;;;
250813;2000;78;;;
250813;2100;74;;;
250813;2200;54;;;
250813;2300;47;;;
250814;0000;65;;;
250814;0100;43;;;
250814;0200;48;;;
250814;0300;60;;;
