Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;8;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;02:00;8;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;03:00;8;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;04:00;5;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;05:00;6;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;06:00;2;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;07:00;6;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;08:00;7;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;09:00;7;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;10:00;12;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;11:00;11;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;12:00;6;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;13:00;9;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;14:00;21;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;15:00;27;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;16:00;24;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;17:00;27;;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;18:00;37;12.83;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;19:00;33;13.89;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;20:00;33;14.85;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;21:00;145;21.05;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;22:00;115;25.32;26.13;20.10;Bueno;58.07;Bueno
2025-07-28;23:00;44;26.13;26.13;20.10;Bueno;58.07;Bueno
2025-07-29;00:00;63;27.67;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;01:00;67;30.12;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;02:00;50;31.88;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;03:00;48;33.54;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;04:00;22;34.25;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;05:00;27;35.12;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;06:00;30;36.29;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;07:00;32;37.38;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;08:00;39;38.71;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;09:00;47;40.38;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;10:00;31;41.17;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;11:00;17;41.42;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;12:00;14;41.75;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;13:00;11;41.83;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;14:00;8;41.29;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;15:00;24;41.17;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;16:00;20;41.00;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;17:00;17;40.58;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;18:00;28;40.21;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;19:00;32;40.17;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;20:00;34;40.21;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;21:00;38;35.75;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;22:00;37;32.50;32.08;24.68;Bueno;71.30;Bueno
2025-07-29;23:00;34;32.08;32.08;24.68;Bueno;71.30;Bueno
2025-07-30;00:00;29;30.67;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;01:00;17;28.58;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;02:00;15;27.12;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;03:00;9;25.50;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;04:00;12;25.08;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;05:00;9;24.33;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;06:00;8;23.42;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;07:00;7;22.38;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;08:00;4;20.92;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;09:00;8;19.29;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;10:00;9;18.38;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;11:00;7;17.96;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;12:00;9;17.75;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;13:00;13;17.83;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;14:00;13;18.04;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;15:00;35;18.50;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;16:00;11;18.12;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;17:00;10;17.83;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;18:00;5;16.88;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;19:00;7;15.83;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;20:00;8;14.75;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;21:00;9;13.54;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;22:00;12;12.50;11.25;8.65;Bueno;25.00;Bueno
2025-07-30;23:00;4;11.25;11.25;8.65;Bueno;25.00;Bueno
2025-07-31;00:00;19;10.83;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;01:00;11;10.58;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;02:00;7;10.25;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;03:00;8;10.21;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;04:00;1;9.75;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;05:00;3;9.50;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;06:00;1;9.21;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;07:00;13;9.46;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;08:00;2;9.38;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;09:00;5;9.25;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;10:00;3;9.00;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;11:00;3;8.83;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;12:00;4;8.62;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;13:00;4;8.25;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;14:00;3;7.83;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;15:00;2;6.46;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;16:00;2;6.08;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;17:00;4;5.83;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;18:00;3;5.75;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;19:00;1;5.50;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;20:00;3;5.29;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;21:00;13;5.46;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;22:00;5;5.17;5.12;3.94;Bueno;11.39;Bueno
2025-07-31;23:00;3;5.12;5.12;3.94;Bueno;11.39;Bueno
2025-08-01;00:00;13;4.88;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;01:00;4;4.58;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;02:00;3;4.42;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;03:00;3;4.21;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;04:00;3;4.29;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;05:00;4;4.33;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;06:00;4;4.46;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;07:00;6;4.17;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;08:00;7;4.38;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;09:00;7;4.46;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;10:00;2;4.42;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;11:00;2;4.38;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;12:00;3;4.33;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;13:00;3;4.29;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;14:00;1;4.21;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;15:00;7;4.42;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;16:00;15;4.96;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;17:00;3;4.92;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;18:00;7;5.08;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;19:00;4;5.21;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;20:00;8;5.42;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;21:00;6;5.12;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;22:00;;5.13;5.13;3.95;Bueno;11.40;Bueno
2025-08-01;23:00;3;5.13;5.13;3.95;Bueno;11.40;Bueno
2025-08-02;00:00;11;5.04;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;01:00;15;5.52;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;02:00;5;5.61;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;03:00;9;5.87;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;04:00;5;5.96;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;05:00;7;6.09;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;06:00;6;6.17;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;07:00;5;6.13;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;08:00;3;5.96;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;09:00;5;5.87;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;10:00;5;6.00;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;11:00;3;6.04;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;12:00;2;6.00;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;13:00;2;5.96;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;14:00;5;6.13;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;15:00;5;6.04;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;16:00;5;5.61;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;17:00;14;6.09;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;18:00;37;7.39;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;19:00;45;9.17;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;20:00;22;9.78;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;21:00;14;10.13;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;22:00;20;10.54;11.54;8.88;Bueno;25.65;Bueno
2025-08-02;23:00;27;11.54;11.54;8.88;Bueno;25.65;Bueno
2025-08-03;00:00;35;12.54;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;01:00;26;13.00;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;02:00;18;13.54;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;03:00;22;14.08;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;04:00;27;15.00;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;05:00;23;15.67;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;06:00;45;17.29;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;07:00;55;19.38;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;08:00;39;20.88;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;09:00;39;22.29;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;10:00;24;23.08;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;11:00;31;24.25;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;12:00;27;25.29;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;13:00;16;25.88;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;14:00;20;26.50;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;15:00;13;26.83;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;16:00;20;27.46;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;17:00;17;27.58;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;18:00;34;27.46;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;19:00;64;28.25;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;20:00;96;31.33;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;21:00;92;34.58;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;22:00;59;36.21;41.29;31.76;Bueno;91.76;Bueno
2025-08-03;23:00;149;41.29;41.29;31.76;Bueno;91.76;Bueno
2025-08-04;00:00;145;45.88;53.25;40.96;Bueno;113.53;Regular
2025-08-04;01:00;102;49.04;53.25;40.96;Bueno;113.53;Regular
2025-08-04;02:00;42;50.04;53.25;40.96;Bueno;113.53;Regular
2025-08-04;03:00;65;51.83;53.25;40.96;Bueno;113.53;Regular
2025-08-04;04:00;32;52.04;53.25;40.96;Bueno;113.53;Regular
2025-08-04;05:00;16;51.75;53.25;40.96;Bueno;113.53;Regular
2025-08-04;06:00;13;50.42;53.25;40.96;Bueno;113.53;Regular
2025-08-04;07:00;29;49.33;53.25;40.96;Bueno;113.53;Regular
2025-08-04;08:00;41;49.42;53.25;40.96;Bueno;113.53;Regular
2025-08-04;09:00;25;48.83;53.25;40.96;Bueno;113.53;Regular
2025-08-04;10:00;17;48.54;53.25;40.96;Bueno;113.53;Regular
2025-08-04;11:00;21;48.12;53.25;40.96;Bueno;113.53;Regular
2025-08-04;12:00;14;47.58;53.25;40.96;Bueno;113.53;Regular
2025-08-04;13:00;9;47.29;53.25;40.96;Bueno;113.53;Regular
2025-08-04;14:00;11;46.92;53.25;40.96;Bueno;113.53;Regular
2025-08-04;15:00;11;46.83;53.25;40.96;Bueno;113.53;Regular
2025-08-04;16:00;14;46.58;53.25;40.96;Bueno;113.53;Regular
2025-08-04;17:00;20;46.71;53.25;40.96;Bueno;113.53;Regular
2025-08-04;18:00;39;46.92;53.25;40.96;Bueno;113.53;Regular
2025-08-04;19:00;81;47.62;53.25;40.96;Bueno;113.53;Regular
2025-08-04;20:00;154;50.04;53.25;40.96;Bueno;113.53;Regular
2025-08-04;21:00;82;49.62;53.25;40.96;Bueno;113.53;Regular
2025-08-04;22:00;94;51.08;53.25;40.96;Bueno;113.53;Regular
2025-08-04;23:00;201;53.25;53.25;40.96;Bueno;113.53;Regular
2025-08-05;00:00;183;54.83;59.21;45.54;Bueno;123.32;Regular
2025-08-05;01:00;123;55.71;59.21;45.54;Bueno;123.32;Regular
2025-08-05;02:00;93;57.83;59.21;45.54;Bueno;123.32;Regular
2025-08-05;03:00;38;56.71;59.21;45.54;Bueno;123.32;Regular
2025-08-05;04:00;37;56.92;59.21;45.54;Bueno;123.32;Regular
2025-08-05;05:00;54;58.50;59.21;45.54;Bueno;123.32;Regular
2025-08-05;06:00;51;60.08;59.21;45.54;Bueno;123.32;Regular
2025-08-05;07:00;46;60.79;59.21;45.54;Bueno;123.32;Regular
2025-08-05;08:00;32;60.42;59.21;45.54;Bueno;123.32;Regular
2025-08-05;09:00;51;61.50;59.21;45.54;Bueno;123.32;Regular
2025-08-05;10:00;47;62.75;59.21;45.54;Bueno;123.32;Regular
2025-08-05;11:00;36;63.38;59.21;45.54;Bueno;123.32;Regular
2025-08-05;12:00;29;64.00;59.21;45.54;Bueno;123.32;Regular
2025-08-05;13:00;21;64.50;59.21;45.54;Bueno;123.32;Regular
2025-08-05;14:00;17;64.75;59.21;45.54;Bueno;123.32;Regular
2025-08-05;15:00;21;65.17;59.21;45.54;Bueno;123.32;Regular
2025-08-05;16:00;18;65.33;59.21;45.54;Bueno;123.32;Regular
2025-08-05;17:00;23;65.46;59.21;45.54;Bueno;123.32;Regular
2025-08-05;18:00;40;65.50;59.21;45.54;Bueno;123.32;Regular
2025-08-05;19:00;46;64.04;59.21;45.54;Bueno;123.32;Regular
2025-08-05;20:00;160;64.29;59.21;45.54;Bueno;123.32;Regular
2025-08-05;21:00;145;66.92;59.21;45.54;Bueno;123.32;Regular
2025-08-05;22:00;57;65.38;59.21;45.54;Bueno;123.32;Regular
2025-08-05;23:00;53;59.21;59.21;45.54;Bueno;123.32;Regular
2025-08-06;00:00;49;53.62;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;01:00;67;51.29;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;02:00;58;49.83;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;03:00;18;49.00;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;04:00;13;48.00;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;05:00;18;46.50;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;06:00;21;45.25;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;07:00;23;44.29;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;08:00;13;43.50;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;09:00;10;41.79;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;10:00;6;40.08;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;11:00;11;39.04;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;12:00;7;38.12;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;13:00;13;37.79;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;14:00;12;37.58;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;15:00;9;37.08;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;16:00;20;37.17;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;17:00;18;36.96;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;18:00;23;36.25;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;19:00;24;35.33;21.50;16.54;Bueno;47.78;Bueno
2025-08-06;20:00;20;29.50;21.50;16.54;Bueno;47.78;Bueno
