Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;14;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;02:00;14;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;03:00;11;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;04:00;5;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;05:00;3;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;06:00;6;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;07:00;16;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;08:00;19;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;09:00;23;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;10:00;21;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;11:00;24;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;12:00;20;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;13:00;24;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;14:00;31;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;15:00;39;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;16:00;77;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;17:00;69;;55.26;42.51;Bueno;116.83;Regular
2025-07-28;18:00;91;28.17;55.26;42.51;Bueno;116.83;Regular
2025-07-28;19:00;78;30.79;55.26;42.51;Bueno;116.83;Regular
2025-07-28;20:00;102;34.35;55.26;42.51;Bueno;116.83;Regular
2025-07-28;21:00;174;41.00;55.26;42.51;Bueno;116.83;Regular
2025-07-28;22:00;204;48.41;55.26;42.51;Bueno;116.83;Regular
2025-07-28;23:00;206;55.26;55.26;42.51;Bueno;116.83;Regular
2025-07-29;00:00;123;58.08;64.00;49.23;Bueno;131.22;Regular
2025-07-29;01:00;104;61.83;64.00;49.23;Bueno;131.22;Regular
2025-07-29;02:00;64;63.92;64.00;49.23;Bueno;131.22;Regular
2025-07-29;03:00;70;66.38;64.00;49.23;Bueno;131.22;Regular
2025-07-29;04:00;26;67.25;64.00;49.23;Bueno;131.22;Regular
2025-07-29;05:00;65;69.83;64.00;49.23;Bueno;131.22;Regular
2025-07-29;06:00;55;71.88;64.00;49.23;Bueno;131.22;Regular
2025-07-29;07:00;47;73.17;64.00;49.23;Bueno;131.22;Regular
2025-07-29;08:00;79;75.67;64.00;49.23;Bueno;131.22;Regular
2025-07-29;09:00;116;79.54;64.00;49.23;Bueno;131.22;Regular
2025-07-29;10:00;95;82.62;64.00;49.23;Bueno;131.22;Regular
2025-07-29;11:00;49;83.67;64.00;49.23;Bueno;131.22;Regular
2025-07-29;12:00;39;84.46;64.00;49.23;Bueno;131.22;Regular
2025-07-29;13:00;25;84.50;64.00;49.23;Bueno;131.22;Regular
2025-07-29;14:00;36;84.71;64.00;49.23;Bueno;131.22;Regular
2025-07-29;15:00;31;84.38;64.00;49.23;Bueno;131.22;Regular
2025-07-29;16:00;46;83.08;64.00;49.23;Bueno;131.22;Regular
2025-07-29;17:00;51;82.33;64.00;49.23;Bueno;131.22;Regular
2025-07-29;18:00;74;81.62;64.00;49.23;Bueno;131.22;Regular
2025-07-29;19:00;83;81.83;64.00;49.23;Bueno;131.22;Regular
2025-07-29;20:00;76;80.75;64.00;49.23;Bueno;131.22;Regular
2025-07-29;21:00;65;76.21;64.00;49.23;Bueno;131.22;Regular
2025-07-29;22:00;60;70.21;64.00;49.23;Bueno;131.22;Regular
2025-07-29;23:00;57;64.00;64.00;49.23;Bueno;131.22;Regular
2025-07-30;00:00;36;60.38;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;01:00;23;57.00;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;02:00;16;55.00;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;03:00;22;53.00;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;04:00;19;52.71;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;05:00;17;50.71;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;06:00;16;49.08;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;07:00;27;48.25;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;08:00;27;46.08;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;09:00;21;42.12;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;10:00;28;39.33;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;11:00;24;38.29;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;12:00;17;37.38;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;13:00;24;37.33;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;14:00;27;36.96;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;15:00;24;36.67;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;16:00;21;35.62;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;17:00;22;34.42;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;18:00;26;32.42;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;19:00;25;30.00;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;20:00;26;27.92;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;21:00;24;26.21;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;22:00;16;24.38;22.33;17.18;Bueno;49.63;Bueno
2025-07-30;23:00;8;22.33;22.33;17.18;Bueno;49.63;Bueno
2025-07-31;00:00;12;21.33;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;01:00;10;20.79;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;02:00;7;20.42;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;03:00;5;19.71;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;04:00;5;19.12;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;05:00;6;18.67;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;06:00;7;18.29;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;07:00;5;17.38;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;08:00;5;16.46;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;09:00;8;15.92;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;10:00;10;15.17;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;11:00;9;14.54;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;12:00;9;14.21;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;13:00;17;13.92;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;14:00;19;13.58;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;15:00;16;13.25;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;16:00;17;13.08;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;17:00;12;12.67;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;18:00;18;12.33;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;19:00;14;11.88;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;20:00;16;11.46;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;21:00;9;10.83;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;22:00;5;10.38;10.33;7.95;Bueno;22.96;Bueno
2025-07-31;23:00;7;10.33;10.33;7.95;Bueno;22.96;Bueno
2025-08-01;00:00;8;10.17;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;01:00;8;10.08;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;02:00;9;10.17;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;03:00;6;10.21;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;04:00;3;10.12;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;05:00;3;10.00;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;06:00;4;9.88;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;07:00;5;9.88;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;08:00;11;10.12;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;09:00;11;10.25;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;10:00;10;10.25;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;11:00;9;10.25;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;12:00;12;10.38;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;13:00;12;10.17;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;14:00;12;9.88;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;15:00;15;9.83;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;16:00;17;9.83;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;17:00;15;9.96;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;18:00;21;10.08;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;19:00;11;9.96;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;20:00;25;10.33;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;21:00;19;10.75;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;22:00;19;11.33;11.71;9.01;Bueno;26.02;Bueno
2025-08-01;23:00;16;11.71;11.71;9.01;Bueno;26.02;Bueno
2025-08-02;00:00;18;12.12;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;01:00;11;12.25;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;02:00;6;12.12;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;03:00;5;12.08;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;04:00;6;12.21;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;05:00;5;12.29;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;06:00;3;12.25;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;07:00;5;12.25;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;08:00;12;12.29;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;09:00;10;12.25;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;10:00;12;12.33;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;11:00;10;12.38;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;12:00;13;12.42;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;13:00;16;12.58;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;14:00;14;12.67;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;15:00;18;12.79;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;16:00;15;12.71;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;17:00;28;13.25;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;18:00;56;14.71;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;19:00;47;16.21;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;20:00;45;17.04;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;21:00;51;18.38;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;22:00;53;19.79;21.54;16.57;Bueno;47.87;Bueno
2025-08-02;23:00;58;21.54;21.54;16.57;Bueno;47.87;Bueno
2025-08-03;00:00;66;23.54;67.92;52.24;Bueno;137.68;Regular
2025-08-03;01:00;57;25.46;67.92;52.24;Bueno;137.68;Regular
2025-08-03;02:00;76;28.38;67.92;52.24;Bueno;137.68;Regular
2025-08-03;03:00;80;31.50;67.92;52.24;Bueno;137.68;Regular
2025-08-03;04:00;71;34.21;67.92;52.24;Bueno;137.68;Regular
2025-08-03;05:00;41;35.71;67.92;52.24;Bueno;137.68;Regular
2025-08-03;06:00;40;37.25;67.92;52.24;Bueno;137.68;Regular
2025-08-03;07:00;27;38.17;67.92;52.24;Bueno;137.68;Regular
2025-08-03;08:00;46;39.58;67.92;52.24;Bueno;137.68;Regular
2025-08-03;09:00;52;41.33;67.92;52.24;Bueno;137.68;Regular
2025-08-03;10:00;37;42.38;67.92;52.24;Bueno;137.68;Regular
2025-08-03;11:00;28;43.12;67.92;52.24;Bueno;137.68;Regular
2025-08-03;12:00;27;43.71;67.92;52.24;Bueno;137.68;Regular
2025-08-03;13:00;27;44.17;67.92;52.24;Bueno;137.68;Regular
2025-08-03;14:00;30;44.83;67.92;52.24;Bueno;137.68;Regular
2025-08-03;15:00;28;45.25;67.92;52.24;Bueno;137.68;Regular
2025-08-03;16:00;21;45.50;67.92;52.24;Bueno;137.68;Regular
2025-08-03;17:00;23;45.29;67.92;52.24;Bueno;137.68;Regular
2025-08-03;18:00;64;45.62;67.92;52.24;Bueno;137.68;Regular
2025-08-03;19:00;90;47.42;67.92;52.24;Bueno;137.68;Regular
2025-08-03;20:00;131;51.00;67.92;52.24;Bueno;137.68;Regular
2025-08-03;21:00;156;55.38;67.92;52.24;Bueno;137.68;Regular
2025-08-03;22:00;191;61.12;67.92;52.24;Bueno;137.68;Regular
2025-08-03;23:00;221;67.92;67.92;52.24;Bueno;137.68;Regular
2025-08-04;00:00;209;73.88;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;01:00;99;75.62;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;02:00;120;77.46;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;03:00;111;78.75;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;04:00;16;76.46;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;05:00;17;75.46;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;06:00;32;75.12;112.58;86.60;Bueno;212.15;Alerta
2025-08-04;07:00;61;76.54;112.58;86.60;Bueno;212.15;Alerta
