Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-28;01:00;13;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;02:00;13;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;03:00;10;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;04:00;4;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;05:00;2;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;06:00;5;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;07:00;10;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;08:00;16;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;09:00;14;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;10:00;16;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;11:00;18;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;12:00;13;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;13:00;13;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;14:00;21;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;15:00;22;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;16:00;57;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;17:00;46;;42.35;84.70;Bueno;159.59;Regular
2025-07-28;18:00;63;19.78;42.35;84.70;Bueno;159.59;Regular
2025-07-28;19:00;65;22.16;42.35;84.70;Bueno;159.59;Regular
2025-07-28;20:00;84;25.25;42.35;84.70;Bueno;159.59;Regular
2025-07-28;21:00;126;30.05;42.35;84.70;Bueno;159.59;Regular
2025-07-28;22:00;171;36.45;42.35;84.70;Bueno;159.59;Regular
2025-07-28;23:00;172;42.35;42.35;84.70;Bueno;159.59;Regular
2025-07-29;00:00;104;44.92;44.21;88.42;Bueno;163.68;Regular
2025-07-29;01:00;77;47.58;44.21;88.42;Bueno;163.68;Regular
2025-07-29;02:00;54;49.29;44.21;88.42;Bueno;163.68;Regular
2025-07-29;03:00;61;51.42;44.21;88.42;Bueno;163.68;Regular
2025-07-29;04:00;19;52.04;44.21;88.42;Bueno;163.68;Regular
2025-07-29;05:00;54;54.21;44.21;88.42;Bueno;163.68;Regular
2025-07-29;06:00;42;55.75;44.21;88.42;Bueno;163.68;Regular
2025-07-29;07:00;44;57.17;44.21;88.42;Bueno;163.68;Regular
2025-07-29;08:00;53;58.71;44.21;88.42;Bueno;163.68;Regular
2025-07-29;09:00;66;60.88;44.21;88.42;Bueno;163.68;Regular
2025-07-29;10:00;50;62.29;44.21;88.42;Bueno;163.68;Regular
2025-07-29;11:00;28;62.71;44.21;88.42;Bueno;163.68;Regular
2025-07-29;12:00;24;63.17;44.21;88.42;Bueno;163.68;Regular
2025-07-29;13:00;15;63.25;44.21;88.42;Bueno;163.68;Regular
2025-07-29;14:00;12;62.88;44.21;88.42;Bueno;163.68;Regular
2025-07-29;15:00;16;62.62;44.21;88.42;Bueno;163.68;Regular
2025-07-29;16:00;21;61.12;44.21;88.42;Bueno;163.68;Regular
2025-07-29;17:00;29;60.42;44.21;88.42;Bueno;163.68;Regular
2025-07-29;18:00;45;59.67;44.21;88.42;Bueno;163.68;Regular
2025-07-29;19:00;56;59.29;44.21;88.42;Bueno;163.68;Regular
2025-07-29;20:00;51;57.92;44.21;88.42;Bueno;163.68;Regular
2025-07-29;21:00;45;54.54;44.21;88.42;Bueno;163.68;Regular
2025-07-29;22:00;48;49.42;44.21;88.42;Bueno;163.68;Regular
2025-07-29;23:00;47;44.21;44.21;88.42;Bueno;163.68;Regular
2025-07-30;00:00;34;41.29;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;01:00;17;38.79;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;02:00;11;37.00;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;03:00;10;34.88;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;04:00;11;34.54;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;05:00;11;32.75;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;06:00;9;31.38;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;07:00;8;29.88;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;08:00;5;27.88;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;09:00;8;25.46;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;10:00;13;23.92;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;11:00;13;23.29;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;12:00;11;22.75;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;13:00;11;22.58;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;14:00;20;22.92;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;15:00;14;22.83;14.83;29.67;Bueno;98.89;Bueno
2025-07-30;16:00;19;22.75;14.83;29.67;Bueno;98.89;Bueno
