Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;8;;26.13;20.10;Bueno;58.07;Bueno;7;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;02:00;8;;26.13;20.10;Bueno;58.07;Bueno;7;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;03:00;8;;26.13;20.10;Bueno;58.07;Bueno;4;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;04:00;5;;26.13;20.10;Bueno;58.07;Bueno;4;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;05:00;6;;26.13;20.10;Bueno;58.07;Bueno;3;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;06:00;2;;26.13;20.10;Bueno;58.07;Bueno;1;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;07:00;6;;26.13;20.10;Bueno;58.07;Bueno;4;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;08:00;7;;26.13;20.10;Bueno;58.07;Bueno;6;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;09:00;7;;26.13;20.10;Bueno;58.07;Bueno;6;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;10:00;12;;26.13;20.10;Bueno;58.07;Bueno;11;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;11:00;11;;26.13;20.10;Bueno;58.07;Bueno;7;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;12:00;6;;26.13;20.10;Bueno;58.07;Bueno;5;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;13:00;9;;26.13;20.10;Bueno;58.07;Bueno;8;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;14:00;21;;26.13;20.10;Bueno;58.07;Bueno;8;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;15:00;27;;26.13;20.10;Bueno;58.07;Bueno;6;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;16:00;24;;26.13;20.10;Bueno;58.07;Bueno;16;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;17:00;27;;26.13;20.10;Bueno;58.07;Bueno;16;;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;18:00;37;12.83;26.13;20.10;Bueno;58.07;Bueno;20;7.72;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;19:00;33;13.89;26.13;20.10;Bueno;58.07;Bueno;25;8.63;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;20:00;33;14.85;26.13;20.10;Bueno;58.07;Bueno;28;9.60;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;21:00;145;21.05;26.13;20.10;Bueno;58.07;Bueno;144;16.00;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;22:00;115;25.32;26.13;20.10;Bueno;58.07;Bueno;45;17.32;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-28;23:00;44;26.13;26.13;20.10;Bueno;58.07;Bueno;38;18.22;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-29;00:00;63;27.67;32.08;24.68;Bueno;71.30;Bueno;62;20.04;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;01:00;67;30.12;32.08;24.68;Bueno;71.30;Bueno;57;22.12;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;02:00;50;31.88;32.08;24.68;Bueno;71.30;Bueno;49;23.88;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;03:00;48;33.54;32.08;24.68;Bueno;71.30;Bueno;41;25.42;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;04:00;22;34.25;32.08;24.68;Bueno;71.30;Bueno;19;26.04;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;05:00;27;35.12;32.08;24.68;Bueno;71.30;Bueno;26;27.00;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;06:00;30;36.29;32.08;24.68;Bueno;71.30;Bueno;22;27.88;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;07:00;32;37.38;32.08;24.68;Bueno;71.30;Bueno;31;29.00;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;08:00;39;38.71;32.08;24.68;Bueno;71.30;Bueno;34;30.17;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;09:00;47;40.38;32.08;24.68;Bueno;71.30;Bueno;40;31.58;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;10:00;31;41.17;32.08;24.68;Bueno;71.30;Bueno;17;31.83;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;11:00;17;41.42;32.08;24.68;Bueno;71.30;Bueno;13;32.08;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;12:00;14;41.75;32.08;24.68;Bueno;71.30;Bueno;13;32.42;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;13:00;11;41.83;32.08;24.68;Bueno;71.30;Bueno;10;32.50;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;14:00;8;41.29;32.08;24.68;Bueno;71.30;Bueno;7;32.46;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;15:00;24;41.17;32.08;24.68;Bueno;71.30;Bueno;16;32.88;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;16:00;20;41.00;32.08;24.68;Bueno;71.30;Bueno;18;32.96;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;17:00;17;40.58;32.08;24.68;Bueno;71.30;Bueno;15;32.92;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;18:00;28;40.21;32.08;24.68;Bueno;71.30;Bueno;21;32.96;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;19:00;32;40.17;32.08;24.68;Bueno;71.30;Bueno;27;33.04;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;20:00;34;40.21;32.08;24.68;Bueno;71.30;Bueno;29;33.08;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;21:00;38;35.75;32.08;24.68;Bueno;71.30;Bueno;31;28.38;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;22:00;37;32.50;32.08;24.68;Bueno;71.30;Bueno;33;27.88;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-29;23:00;34;32.08;32.08;24.68;Bueno;71.30;Bueno;32;27.62;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-30;00:00;29;30.67;11.25;8.65;Bueno;25.00;Bueno;20;25.88;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;01:00;17;28.58;11.25;8.65;Bueno;25.00;Bueno;16;24.17;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;02:00;15;27.12;11.25;8.65;Bueno;25.00;Bueno;11;22.58;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;03:00;9;25.50;11.25;8.65;Bueno;25.00;Bueno;8;21.21;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;04:00;12;25.08;11.25;8.65;Bueno;25.00;Bueno;8;20.75;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;05:00;9;24.33;11.25;8.65;Bueno;25.00;Bueno;8;20.00;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;06:00;8;23.42;11.25;8.65;Bueno;25.00;Bueno;5;19.29;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-30;07:00;7;22.38;11.25;8.65;Bueno;25.00;Bueno;3;18.12;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
