Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;26.13;20.10;Bueno;58.07;Bueno;18.22;36.43;Bueno;106.96;Regular;Bueno;Regular
2025-07-29;32.08;24.68;Bueno;71.30;Bueno;27.62;55.25;Bueno;127.38;Regular;Bueno;Regular
2025-07-30;11.25;8.65;Bueno;25.00;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-07-31;5.12;3.94;Bueno;11.39;Bueno;1.50;3.00;Bueno;10.00;Bueno;Bueno;Bueno
2025-08-01;5.13;3.95;Bueno;11.40;Bueno;1.88;3.75;Bueno;12.50;Bueno;Bueno;Bueno
2025-08-02;11.54;8.88;Bueno;25.65;Bueno;7.50;15.00;Bueno;50.00;Bueno;Bueno;Bueno
2025-08-03;41.29;31.76;Bueno;91.76;Bueno;36.96;73.92;Bueno;147.76;Regular;Bueno;Regular
2025-08-04;53.25;40.96;Bueno;113.53;Regular;47.38;94.75;Bueno;170.66;Regular;Bueno;Regular
2025-08-05;59.21;45.54;Bueno;123.32;Regular;49.25;98.50;Bueno;174.79;Regular;Bueno;Regular
2025-08-06;21.50;16.54;Bueno;47.78;Bueno;16.50;33.00;Bueno;103.24;Regular;Bueno;Regular
2025-08-07;18.12;13.94;Bueno;40.28;Bueno;13.54;27.08;Bueno;90.28;Bueno;Bueno;Bueno
2025-08-08;41.38;31.83;Bueno;91.94;Bueno;34.42;68.83;Bueno;142.20;Regular;Bueno;Regular
2025-08-09;33.54;25.80;Bueno;74.54;Bueno;30.33;60.67;Bueno;133.28;Regular;Bueno;Regular
2025-08-10;28.62;22.02;Bueno;63.61;Bueno;24.83;49.67;Bueno;121.30;Regular;Bueno;Regular
2025-08-11;35.62;27.40;Bueno;79.17;Bueno;29.75;59.50;Bueno;132.01;Regular;Bueno;Regular
2025-08-12;20.38;15.68;Bueno;45.29;Bueno;;;;;;Bueno;Bueno
2025-08-13;27.29;20.99;Bueno;60.65;Bueno;;;;;;Bueno;Bueno
2025-08-14;39.33;30.26;Bueno;87.41;Bueno;32.71;65.42;Bueno;138.46;Regular;Bueno;Regular
2025-08-15;13.08;10.06;Bueno;29.07;Bueno;8.71;17.42;Bueno;58.06;Bueno;Bueno;Bueno
2025-08-16;14.83;11.41;Bueno;32.96;Bueno;11.92;23.83;Bueno;79.44;Bueno;Bueno;Bueno
2025-08-17;22.42;17.24;Bueno;49.81;Bueno;18.54;37.08;Bueno;107.66;Regular;Bueno;Regular
2025-08-18;19.88;15.29;Bueno;44.17;Bueno;16.88;33.75;Bueno;104.05;Regular;Bueno;Regular
2025-08-19;19.46;14.97;Bueno;43.24;Bueno;15.42;30.83;Bueno;100.90;Regular;Bueno;Regular
2025-08-20;14.96;11.51;Bueno;33.24;Bueno;8.75;17.50;Bueno;58.33;Bueno;Bueno;Bueno
2025-08-21;9.29;7.15;Bueno;20.65;Bueno;4.79;9.58;Bueno;31.94;Bueno;Bueno;Bueno
2025-08-22;7.50;5.77;Bueno;16.67;Bueno;4.50;9.00;Bueno;30.00;Bueno;Bueno;Bueno
