Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;Puren;55.26;42.51;116.83;42.35;84.7;159.59;Bueno;Regular
2025-07-29;Puren;64.0;49.23;131.22;44.21;88.42;163.68;Bueno;Regular
2025-07-30;Puren;22.33;17.18;49.63;14.83;29.67;98.89;Bueno;Bueno
2025-07-31;Puren;10.33;7.95;22.96;8.46;16.92;56.39;Bueno;Bueno
2025-08-01;Puren;11.71;9.01;26.02;9.38;18.75;62.5;Bueno;Bueno
2025-08-02;Puren;21.54;16.57;47.87;16.21;32.42;102.61;Bueno;Regular
2025-08-03;Puren;67.92;52.24;137.68;58.42;128.06;195.1;Regular;Regular
2025-08-04;Puren;112.58;86.6;212.15;91.42;238.06;269.19;Alerta;Alerta
2025-08-05;Puren;120.88;92.98;226.13;98.96;263.19;286.34;Alerta;Alerta
2025-08-06;Puren;34.0;26.15;75.56;25.5;51.0;122.75;Bueno;Regular
2025-08-07;Puren;34.42;26.47;76.48;22.58;45.17;116.42;Bueno;Regular
2025-08-08;Puren;170.12;180.25;310.12;132.92;376.39;364.64;Preemergencia;Preemergencia
2025-08-09;Puren;65.09;50.07;133.01;52.33;107.78;181.61;Regular;Regular
2025-08-10;San_Carlos;;;;111.38;304.58;314.77;Preemergencia;Preemergencia
2025-08-11;San_Carlos;;;;54.42;114.72;186.22;Regular;Regular
2025-08-12;Puren;39.38;30.29;87.5;24.0;48.0;119.49;Bueno;Regular
2025-08-13;Puren;48.71;37.47;106.07;32.96;65.92;139.01;Bueno;Regular
2025-08-14;San_Carlos;;;;53.54;111.81;184.28;Regular;Regular
2025-08-15;Puren;34.54;26.57;76.76;23.71;47.42;118.86;Bueno;Regular
2025-08-16;Puren;25.46;19.58;56.57;17.88;35.75;106.21;Bueno;Regular
2025-08-17;Puren;34.75;26.73;77.22;26.96;53.92;125.93;Bueno;Regular
2025-08-18;Puren;31.42;24.17;69.81;21.25;42.5;113.53;Bueno;Regular
2025-08-19;Puren;39.54;30.42;87.87;28.21;56.42;128.65;Bueno;Regular
2025-08-20;San_Carlos;;;;28.0;56.0;128.19;Bueno;Regular
2025-08-21;Puren;21.42;16.47;47.59;15.29;30.58;100.63;Bueno;Regular
2025-08-22;Puren;19.21;14.78;42.69;16.54;33.08;103.33;Bueno;Regular
2025-08-23;San_Carlos;;;;31.92;63.83;136.74;Bueno;Regular
2025-08-24;Puren;53.79;41.38;114.41;45.25;90.5;165.97;Bueno;Regular
2025-08-25;San_Carlos;;;;17.22;34.43;104.79;Bueno;Regular
2025-08-26;San_Carlos;;;;25.12;50.25;121.94;Bueno;Regular
2025-08-27;Puren;65.46;50.35;133.62;44.5;89.0;164.32;Bueno;Regular
2025-08-28;Puren;33.83;26.03;75.19;23.29;46.58;117.96;Bueno;Regular
2025-08-29;Puren;42.83;32.95;95.19;29.75;59.5;132.01;Bueno;Regular
2025-08-30;Puren;43.62;33.56;96.94;33.92;67.83;141.1;Bueno;Regular
2025-08-31;Puren;43.42;33.4;96.48;35.38;70.75;144.29;Bueno;Regular
2025-09-01;Puren;29.42;22.63;65.37;21.96;43.92;115.06;Bueno;Regular
2025-09-02;Puren;30.54;23.49;67.87;21.38;42.75;113.8;Bueno;Regular
2025-09-03;Puren;20.71;15.93;46.02;14.12;28.25;94.17;Bueno;Bueno
2025-09-04;Puren;32.67;25.13;72.59;21.08;42.17;113.16;Bueno;Regular
2025-09-05;San_Carlos;;;;60.21;134.03;199.08;Regular;Regular
2025-09-06;Puren;31.75;24.42;70.56;22.71;45.42;116.69;Bueno;Regular
2025-09-07;Puren;19.88;15.29;44.17;12.08;24.17;80.56;Bueno;Bueno
2025-09-08;Puren;19.35;14.88;43.0;10.48;20.95;69.84;Bueno;Bueno
2025-09-09;Puren;13.54;10.42;30.09;4.17;8.33;27.78;Bueno;Bueno
2025-09-10;Puren;18.09;13.92;40.2;10.08;20.17;67.22;Bueno;Bueno
2025-09-11;Puren;38.39;29.53;85.31;21.88;43.75;114.88;Bueno;Regular
2025-09-12;Puren;40.0;30.77;88.89;24.0;48.0;119.49;Bueno;Regular
2025-09-13;Puren;13.88;10.67;30.83;8.5;17.0;56.67;Bueno;Bueno
2025-09-14;Puren;30.58;23.53;67.96;21.29;42.58;113.62;Bueno;Regular
2025-09-15;Puren;31.5;24.23;70.0;19.21;38.42;109.1;Bueno;Regular
2025-09-16;Puren;26.35;20.27;58.55;13.29;26.58;88.61;Bueno;Bueno
2025-09-17;Puren;30.62;23.56;68.06;16.71;33.42;103.69;Bueno;Regular
2025-09-18;Puren;16.71;12.85;37.13;7.96;15.92;53.06;Bueno;Bueno
2025-09-19;Puren;19.25;14.81;42.78;10.71;21.42;71.39;Bueno;Bueno
2025-09-20;Puren;10.0;7.69;22.22;6.54;13.08;43.61;Bueno;Bueno
2025-09-21;Puren;24.08;18.53;53.52;18.75;37.5;108.11;Bueno;Regular
2025-09-22;Puren;31.54;24.26;70.09;21.0;42.0;112.98;Bueno;Regular
2025-09-23;Puren;24.17;18.59;53.7;13.5;27.0;90.0;Bueno;Bueno
2025-09-24;Puren;44.08;33.91;97.96;21.5;43.0;114.07;Bueno;Regular
2025-09-25;Puren;29.04;22.34;64.54;14.04;28.08;93.61;Bueno;Bueno
2025-09-26;Puren;13.46;10.35;29.91;7.54;15.08;50.28;Bueno;Bueno
2025-09-27;Puren;20.5;15.77;45.56;12.79;25.58;85.28;Bueno;Bueno
2025-09-28;Puren;17.42;13.4;38.7;11.62;23.25;77.5;Bueno;Bueno
2025-09-29;Puren;17.58;13.53;39.07;8.5;17.0;56.67;Bueno;Bueno
2025-09-30;Puren;19.64;15.1;43.64;3.96;7.92;26.39;Bueno;Bueno
2025-10-01;Puren;21.92;16.86;48.7;8.04;16.08;53.61;Bueno;Bueno
2025-10-02;Puren;30.25;23.27;67.22;12.33;24.67;82.22;Bueno;Bueno
2025-10-03;Puren;23.17;17.82;51.48;10.92;21.83;72.78;Bueno;Bueno
2025-10-04;Puren;14.0;10.77;31.11;7.58;15.17;50.56;Bueno;Bueno
2025-10-05;Puren;31.17;23.97;69.26;27.0;54.0;126.02;Bueno;Regular
2025-10-06;Puren;13.42;10.32;29.81;7.29;14.58;48.61;Bueno;Bueno
2025-10-07;Puren;11.5;8.85;25.56;4.67;9.33;31.11;Bueno;Bueno
2025-10-08;Puren;15.62;12.02;34.72;4.12;8.25;27.5;Bueno;Bueno
2025-10-09;Puren;23.96;18.43;53.24;10.79;21.58;71.94;Bueno;Bueno
