Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-28;01:00;14;;55.26;42.51;Bueno;116.83;Regular;13;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;02:00;14;;55.26;42.51;Bueno;116.83;Regular;13;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;03:00;11;;55.26;42.51;Bueno;116.83;Regular;10;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;04:00;5;;55.26;42.51;Bueno;116.83;Regular;4;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;05:00;3;;55.26;42.51;Bueno;116.83;Regular;2;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;06:00;6;;55.26;42.51;Bueno;116.83;Regular;5;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;07:00;16;;55.26;42.51;Bueno;116.83;Regular;10;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;08:00;19;;55.26;42.51;Bueno;116.83;Regular;16;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;09:00;23;;55.26;42.51;Bueno;116.83;Regular;14;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;10:00;21;;55.26;42.51;Bueno;116.83;Regular;16;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;11:00;24;;55.26;42.51;Bueno;116.83;Regular;18;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;12:00;20;;55.26;42.51;Bueno;116.83;Regular;13;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;13:00;24;;55.26;42.51;Bueno;116.83;Regular;13;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;14:00;31;;55.26;42.51;Bueno;116.83;Regular;21;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;15:00;39;;55.26;42.51;Bueno;116.83;Regular;22;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;16:00;77;;55.26;42.51;Bueno;116.83;Regular;57;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;17:00;69;;55.26;42.51;Bueno;116.83;Regular;46;;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;18:00;91;28.17;55.26;42.51;Bueno;116.83;Regular;63;19.78;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;19:00;78;30.79;55.26;42.51;Bueno;116.83;Regular;65;22.16;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;20:00;102;34.35;55.26;42.51;Bueno;116.83;Regular;84;25.25;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;21:00;174;41.00;55.26;42.51;Bueno;116.83;Regular;126;30.05;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;22:00;204;48.41;55.26;42.51;Bueno;116.83;Regular;171;36.45;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
2025-07-28;23:00;206;55.26;55.26;42.51;Bueno;116.83;Regular;172;42.35;42.35;84.70;Bueno;159.59;Regular;Bueno;Regular
