FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;71;;;
250727;0200;83;;;
250727;0300;106;;;
250727;0400;84;;;
250727;0500;80;;;
250727;0600;72;;;
250727;0700;67;;;
250727;0800;69;;;
250727;0900;66;;;
250727;1000;81;;;
250727;1100;60;;;
250727;1200;50;;;
250727;1300;75;;;
250727;1400;66;;;
250727;1500;60;;;
250727;1600;57;;;
250727;1700;73;;;
250727;1800;98;;;
250727;1900;95;;;
250727;2000;102;;;
250727;2100;81;;;
250727;2200;88;;;
250727;2300;74;;;
250728;0000;93;;;
250728;0100;89;;;
250728;0200;76;;;
250728;0300;75;;;
250728;0400;47;;;
250728;0500;54;;;
250728;0600;59;;;
250728;0700;123;;;
250728;0800;120;;;
250728;0900;84;;;
250728;1000;69;;;
250728;1100;63;;;
250728;1200;63;;;
250728;1300;52;;;
250728;1400;51;;;
250728;1500;51;;;
250728;1600;55;;;
250728;1700;74;;;
250728;1800;121;;;
250728;1900;87;;;
250728;2000;66;;;
250728;2100;100;;;
250728;2200;168;;;
250728;2300;131;;;
250729;0000;48;;;
250729;0100;53;;;
250729;0200;82;;;
250729;0300;60;;;
250729;0400;48;;;
250729;0500;40;;;
250729;0600;91;;;
250729;0700;149;;;
250729;0800;80;;;
250729;0900;122;;;
250729;1000;93;;;
250729;1100;108;;;
250729;1200;115;;;
250729;1300;74;;;
250729;1400;52;;;
250729;1500;123;;;
250729;1600;211;;;
250729;1700;246;;;
250729;1800;203;;;
250729;1900;153;;;
250729;2000;120;;;
250729;2100;123;;;
250729;2200;115;;;
250729;2300;105;;;
250730;0000;100;;;
250730;0100;138;;;
250730;0200;55;;;
250730;0300;70;;;
250730;0400;79;;;
250730;0500;69;;;
250730;0600;114;;;
250730;0700;84;;;
250730;0800;100;;;
250730;0900;97;;;
250730;1000;118;;;
250730;1100;118;;;
250730;1200;93;;;
250730;1300;103;;;
250730;1400;79;;;
250730;1500;73;;;
250730;1600;88;;;
250730;1700;136;;;
250730;1800;130;;;
250730;1900;183;;;
250730;2000;91;;;
250730;2100;84;;;
250730;2200;69;;;
250730;2300;63;;;
250731;0000;63;;;
250731;0100;22;;;
250731;0200;20;;;
250731;0300;11;;;
250731;0400;18;;;
250731;0500;19;;;
250731;0600;42;;;
250731;0700;78;;;
250731;0800;60;;;
250731;0900;74;;;
250731;1000;169;;;
250731;1100;79;;;
250731;1200;22;;;
250731;1300;50;;;
250731;1400;29;;;
250731;1500;23;;;
250731;1600;35;;;
250731;1700;33;;;
250731;1800;22;;;
250731;1900;18;;;
250731;2000;11;;;
250731;2100;7;;;
250731;2200;7;;;
250731;2300;6;;;
250801;0000;5;;;
250801;0100;19;;;
250801;0200;8;;;
250801;0300;4;;;
250801;0400;7;;;
250801;0500;9;;;
250801;0600;16;;;
250801;0700;6;;;
250801;0800;4;;;
250801;0900;5;;;
250801;1000;4;;;
250801;1100;3;;;
250801;1200;3;;;
250801;1300;4;;;
250801;1400;6;;;
250801;1500;19;;;
250801;1600;10;;;
250801;1700;7;;;
250801;1800;6;;;
250801;1900;9;;;
250801;2000;9;;;
250801;2100;6;;;
250801;2200;7;;;
250801;2300;5;;;
250802;0000;4;;;
250802;0100;3;;;
250802;0200;4;;;
250802;0300;4;;;
250802;0400;1;;;
250802;0500;1;;;
250802;0600;1;;;
250802;0700;3;;;
250802;0800;4;;;
250802;0900;4;;;
250802;1000;6;;;
250802;1100;5;;;
250802;1200;5;;;
250802;1300;5;;;
250802;1400;10;;;
250802;1500;14;;;
250802;1600;21;;;
250802;1700;16;;;
250802;1800;75;;;
250802;1900;151;;;
250802;2000;85;;;
250802;2100;73;;;
250802;2200;53;;;
250802;2300;99;;;
250803;0000;49;;;
250803;0100;30;;;
250803;0200;38;;;
250803;0300;42;;;
250803;0400;19;;;
250803;0500;25;;;
250803;0600;38;;;
250803;0700;35;;;
250803;0800;76;;;
250803;0900;85;;;
250803;1000;71;;;
250803;1100;35;;;
250803;1200;45;;;
250803;1300;41;;;
250803;1400;50;;;
250803;1500;30;;;
250803;1600;39;;;
250803;1700;51;;;
250803;1800;127;;;
250803;1900;210;;;
250803;2000;219;;;
250803;2100;291;;;
250803;2200;187;;;
250803;2300;227;;;
250804;0000;224;;;
250804;0100;145;;;
250804;0200;70;;;
250804;0300;76;;;
250804;0400;48;;;
250804;0500;64;;;
250804;0600;114;;;
250804;0700;152;;;
250804;0800;173;;;
250804;0900;81;;;
250804;1000;47;;;
250804;1100;74;;;
250804;1200;79;;;
250804;1300;51;;;
250804;1400;45;;;
250804;1500;39;;;
250804;1600;56;;;
250804;1700;58;;;
250804;1800;100;;;
250804;1900;120;;;
250804;2000;183;;;
250804;2100;212;;;
250804;2200;86;;;
250804;2300;170;;;
250805;0000;81;;;
250805;0100;35;;;
250805;0200;43;;;
250805;0300;44;;;
250805;0400;52;;;
250805;0500;66;;;
250805;0600;125;;;
250805;0700;86;;;
250805;0800;104;;;
250805;0900;147;;;
250805;1000;51;;;
250805;1100;49;;;
250805;1200;59;;;
250805;1300;63;;;
250805;1400;54;;;
250805;1500;51;;;
250805;1600;52;;;
250805;1700;42;;;
250805;1800;64;;;
250805;1900;85;;;
250805;2000;60;;;
250805;2100;109;;;
250805;2200;72;;;
250805;2300;56;;;
250806;0000;57;;;
250806;0100;52;;;
250806;0200;20;;;
250806;0300;15;;;
250806;0400;17;;;
250806;0500;13;;;
250806;0600;85;;;
250806;0700;145;;;
250806;0800;216;;;
250806;0900;147;;;
250806;1000;82;;;
250806;1100;70;;;
250806;1200;49;;;
250806;1300;38;;;
250806;1400;40;;;
250806;1500;37;;;
250806;1600;35;;;
250806;1700;39;;;
250806;1800;57;;;
250806;1900;47;;;
