FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250726;0100;49;;;
250726;0200;42;;;
250726;0300;42;;;
250726;0400;40;;;
250726;0500;37;;;
250726;0600;44;;;
250726;0700;29;;;
250726;0800;58;;;
250726;0900;93;;;
250726;1000;47;;;
250726;1100;46;;;
250726;1200;33;;;
250726;1300;39;;;
250726;1400;37;;;
250726;1500;41;;;
250726;1600;41;;;
250726;1700;32;;;
250726;1800;75;;;
250726;1900;143;;;
250726;2000;70;;;
250726;2100;105;;;
250726;2200;79;;;
250726;2300;153;;;
250727;0000;80;;;
250727;0100;88;;;
250727;0200;56;;;
250727;0300;52;;;
250727;0400;53;;;
250727;0500;38;;;
250727;0600;46;;;
250727;0700;39;;;
250727;0800;19;;;
250727;0900;40;;;
250727;1000;39;;;
250727;1100;40;;;
250727;1200;37;;;
250727;1300;34;;;
250727;1400;29;;;
250727;1500;33;;;
250727;1600;43;;;
250727;1700;65;;;
250727;1800;107;;;
250727;1900;110;;;
250727;2000;115;;;
250727;2100;55;;;
250727;2200;53;;;
250727;2300;59;;;
250728;0000;34;;;
250728;0100;58;;;
250728;0200;40;;;
250728;0300;36;;;
250728;0400;36;;;
250728;0500;34;;;
250728;0600;41;;;
250728;0700;53;;;
250728;0800;59;;;
250728;0900;41;;;
250728;1000;36;;;
250728;1100;37;;;
250728;1200;39;;;
250728;1300;50;;;
250728;1400;31;;;
250728;1500;28;;;
250728;1600;37;;;
250728;1700;32;;;
250728;1800;42;;;
250728;1900;133;;;
250728;2000;84;;;
250728;2100;63;;;
250728;2200;42;;;
250728;2300;51;;;
250729;0000;37;;;
250729;0100;45;;;
250729;0200;39;;;
250729;0300;28;;;
250729;0400;26;;;
250729;0500;35;;;
250729;0600;34;;;
250729;0700;44;;;
250729;0800;60;;;
250729;0900;50;;;
250729;1000;44;;;
250729;1100;49;;;
250729;1200;41;;;
250729;1300;34;;;
250729;1400;46;;;
250729;1500;80;;;
