FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250726;0100;30;;;
250726;0200;37;;;
250726;0300;23;;;
250726;0400;36;;;
250726;0500;37;;;
250726;0600;32;;;
250726;0700;27;;;
250726;0800;39;;;
250726;0900;63;;;
250726;1000;32;;;
250726;1100;37;;;
250726;1200;24;;;
250726;1300;23;;;
250726;1400;31;;;
250726;1500;36;;;
250726;1600;36;;;
250726;1700;29;;;
250726;1800;81;;;
250726;1900;100;;;
250726;2000;63;;;
250726;2100;104;;;
250726;2200;75;;;
250726;2300;138;;;
250727;0000;79;;;
250727;0100;74;;;
250727;0200;53;;;
250727;0300;46;;;
250727;0400;54;;;
250727;0500;30;;;
250727;0600;45;;;
250727;0700;32;;;
250727;0800;19;;;
250727;0900;39;;;
250727;1000;38;;;
250727;1100;38;;;
250727;1200;37;;;
250727;1300;32;;;
250727;1400;26;;;
250727;1500;29;;;
250727;1600;37;;;
250727;1700;63;;;
250727;1800;106;;;
250727;1900;109;;;
250727;2000;104;;;
250727;2100;55;;;
250727;2200;52;;;
250727;2300;47;;;
250728;0000;31;;;
250728;0100;57;;;
250728;0200;38;;;
250728;0300;32;;;
250728;0400;34;;;
250728;0500;31;;;
250728;0600;38;;;
250728;0700;37;;;
250728;0800;35;;;
250728;0900;26;;;
250728;1000;29;;;
250728;1100;33;;;
250728;1200;29;;;
250728;1300;19;;;
250728;1400;17;;;
250728;1500;13;;;
250728;1600;17;;;
250728;1700;21;;;
250728;1800;24;;;
250728;1900;45;;;
250728;2000;44;;;
250728;2100;35;;;
250728;2200;37;;;
250728;2300;39;;;
250729;0000;23;;;
250729;0100;43;;;
250729;0200;28;;;
250729;0300;19;;;
250729;0400;25;;;
250729;0500;26;;;
250729;0600;31;;;
250729;0700;25;;;
250729;0800;34;;;
250729;0900;27;;;
250729;1000;24;;;
250729;1100;26;;;
250729;1200;20;;;
250729;1300;19;;;
250729;1400;17;;;
250729;1500;28;;;
250729;1600;22;;;
250729;1700;45;;;
250729;1800;69;;;
250729;1900;86;;;
250729;2000;100;;;
250729;2100;92;;;
250729;2200;66;;;
250729;2300;45;;;
250730;0000;44;;;
250730;0100;41;;;
250730;0200;33;;;
250730;0300;33;;;
250730;0400;28;;;
250730;0500;28;;;
250730;0600;37;;;
250730;0700;43;;;
250730;0800;58;;;
250730;0900;55;;;
250730;1000;40;;;
250730;1100;48;;;
250730;1200;38;;;
250730;1300;32;;;
250730;1400;33;;;
250730;1500;28;;;
250730;1600;41;;;
250730;1700;41;;;
250730;1800;105;;;
250730;1900;162;;;
250730;2000;83;;;
250730;2100;49;;;
