Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;99;;56.23;120.76;Regular;190.24;Regular
2025-07-27;02:00;90;;56.23;120.76;Regular;190.24;Regular
2025-07-27;03:00;94;;56.23;120.76;Regular;190.24;Regular
2025-07-27;04:00;66;;56.23;120.76;Regular;190.24;Regular
2025-07-27;05:00;52;;56.23;120.76;Regular;190.24;Regular
2025-07-27;06:00;58;;56.23;120.76;Regular;190.24;Regular
2025-07-27;07:00;53;;56.23;120.76;Regular;190.24;Regular
2025-07-27;08:00;;;56.23;120.76;Regular;190.24;Regular
2025-07-27;09:00;58;;56.23;120.76;Regular;190.24;Regular
2025-07-27;10:00;53;;56.23;120.76;Regular;190.24;Regular
2025-07-27;11:00;46;;56.23;120.76;Regular;190.24;Regular
2025-07-27;12:00;37;;56.23;120.76;Regular;190.24;Regular
2025-07-27;13:00;52;;56.23;120.76;Regular;190.24;Regular
2025-07-27;14:00;45;;56.23;120.76;Regular;190.24;Regular
2025-07-27;15:00;38;;56.23;120.76;Regular;190.24;Regular
2025-07-27;16:00;32;;56.23;120.76;Regular;190.24;Regular
2025-07-27;17:00;43;;56.23;120.76;Regular;190.24;Regular
2025-07-27;18:00;54;;56.23;120.76;Regular;190.24;Regular
2025-07-27;19:00;56;57.00;56.23;120.76;Regular;190.24;Regular
2025-07-27;20:00;58;57.05;56.23;120.76;Regular;190.24;Regular
2025-07-27;21:00;44;56.40;56.23;120.76;Regular;190.24;Regular
2025-07-27;22:00;51;56.14;56.23;120.76;Regular;190.24;Regular
2025-07-27;23:00;58;56.23;56.23;120.76;Regular;190.24;Regular
2025-07-28;00:00;61;56.43;36.42;72.83;Bueno;146.58;Regular
2025-07-28;01:00;51;54.35;36.42;72.83;Bueno;146.58;Regular
2025-07-28;02:00;50;52.61;36.42;72.83;Bueno;146.58;Regular
2025-07-28;03:00;56;50.96;36.42;72.83;Bueno;146.58;Regular
2025-07-28;04:00;48;50.17;36.42;72.83;Bueno;146.58;Regular
2025-07-28;05:00;38;49.57;36.42;72.83;Bueno;146.58;Regular
2025-07-28;06:00;36;48.61;36.42;72.83;Bueno;146.58;Regular
2025-07-28;07:00;48;48.39;36.42;72.83;Bueno;146.58;Regular
2025-07-28;08:00;41;48.08;36.42;72.83;Bueno;146.58;Regular
2025-07-28;09:00;53;47.88;36.42;72.83;Bueno;146.58;Regular
2025-07-28;10:00;42;47.42;36.42;72.83;Bueno;146.58;Regular
2025-07-28;11:00;31;46.79;36.42;72.83;Bueno;146.58;Regular
2025-07-28;12:00;22;46.17;36.42;72.83;Bueno;146.58;Regular
2025-07-28;13:00;25;45.04;36.42;72.83;Bueno;146.58;Regular
2025-07-28;14:00;13;43.71;36.42;72.83;Bueno;146.58;Regular
2025-07-28;15:00;13;42.67;36.42;72.83;Bueno;146.58;Regular
2025-07-28;16:00;17;42.04;36.42;72.83;Bueno;146.58;Regular
2025-07-28;17:00;20;41.08;36.42;72.83;Bueno;146.58;Regular
2025-07-28;18:00;30;40.08;36.42;72.83;Bueno;146.58;Regular
2025-07-28;19:00;27;38.88;36.42;72.83;Bueno;146.58;Regular
2025-07-28;20:00;34;37.88;36.42;72.83;Bueno;146.58;Regular
2025-07-28;21:00;38;37.62;36.42;72.83;Bueno;146.58;Regular
2025-07-28;22:00;43;37.29;36.42;72.83;Bueno;146.58;Regular
2025-07-28;23:00;37;36.42;36.42;72.83;Bueno;146.58;Regular
2025-07-29;00:00;57;36.25;33.62;67.25;Bueno;140.47;Regular
2025-07-29;01:00;38;35.71;33.62;67.25;Bueno;140.47;Regular
2025-07-29;02:00;44;35.46;33.62;67.25;Bueno;140.47;Regular
2025-07-29;03:00;28;34.29;33.62;67.25;Bueno;140.47;Regular
2025-07-29;04:00;32;33.62;33.62;67.25;Bueno;140.47;Regular
2025-07-29;05:00;26;33.12;33.62;67.25;Bueno;140.47;Regular
2025-07-29;06:00;32;32.96;33.62;67.25;Bueno;140.47;Regular
2025-07-29;07:00;30;32.21;33.62;67.25;Bueno;140.47;Regular
2025-07-29;08:00;31;31.79;33.62;67.25;Bueno;140.47;Regular
2025-07-29;09:00;26;30.67;33.62;67.25;Bueno;140.47;Regular
2025-07-29;10:00;32;30.25;33.62;67.25;Bueno;140.47;Regular
2025-07-29;11:00;32;30.29;33.62;67.25;Bueno;140.47;Regular
2025-07-29;12:00;22;30.29;33.62;67.25;Bueno;140.47;Regular
2025-07-29;13:00;15;29.88;33.62;67.25;Bueno;140.47;Regular
2025-07-29;14:00;19;30.12;33.62;67.25;Bueno;140.47;Regular
2025-07-29;15:00;16;30.25;33.62;67.25;Bueno;140.47;Regular
2025-07-29;16:00;28;30.71;33.62;67.25;Bueno;140.47;Regular
2025-07-29;17:00;30;31.12;33.62;67.25;Bueno;140.47;Regular
2025-07-29;18:00;35;31.33;33.62;67.25;Bueno;140.47;Regular
2025-07-29;19:00;41;31.92;33.62;67.25;Bueno;140.47;Regular
2025-07-29;20:00;38;32.08;33.62;67.25;Bueno;140.47;Regular
2025-07-29;21:00;41;32.21;33.62;67.25;Bueno;140.47;Regular
2025-07-29;22:00;59;32.88;33.62;67.25;Bueno;140.47;Regular
2025-07-29;23:00;55;33.62;33.62;67.25;Bueno;140.47;Regular
2025-07-30;00:00;54;33.50;37.33;74.67;Bueno;148.58;Regular
2025-07-30;01:00;52;34.08;37.33;74.67;Bueno;148.58;Regular
2025-07-30;02:00;46;34.17;37.33;74.67;Bueno;148.58;Regular
2025-07-30;03:00;41;34.71;37.33;74.67;Bueno;148.58;Regular
2025-07-30;04:00;41;35.08;37.33;74.67;Bueno;148.58;Regular
2025-07-30;05:00;40;35.67;37.33;74.67;Bueno;148.58;Regular
2025-07-30;06:00;35;35.79;37.33;74.67;Bueno;148.58;Regular
2025-07-30;07:00;32;35.88;37.33;74.67;Bueno;148.58;Regular
2025-07-30;08:00;33;35.96;37.33;74.67;Bueno;148.58;Regular
2025-07-30;09:00;38;36.46;37.33;74.67;Bueno;148.58;Regular
2025-07-30;10:00;43;36.92;37.33;74.67;Bueno;148.58;Regular
2025-07-30;11:00;54;37.83;37.33;74.67;Bueno;148.58;Regular
2025-07-30;12:00;41;38.62;37.33;74.67;Bueno;148.58;Regular
2025-07-30;13:00;37;39.54;37.33;74.67;Bueno;148.58;Regular
2025-07-30;14:00;30;40.00;37.33;74.67;Bueno;148.58;Regular
2025-07-30;15:00;16;40.00;37.33;74.67;Bueno;148.58;Regular
2025-07-30;16:00;15;39.46;37.33;74.67;Bueno;148.58;Regular
2025-07-30;17:00;16;38.88;37.33;74.67;Bueno;148.58;Regular
2025-07-30;18:00;48;39.42;37.33;74.67;Bueno;148.58;Regular
2025-07-30;19:00;50;39.79;37.33;74.67;Bueno;148.58;Regular
2025-07-30;20:00;36;39.71;37.33;74.67;Bueno;148.58;Regular
2025-07-30;21:00;29;39.21;37.33;74.67;Bueno;148.58;Regular
2025-07-30;22:00;35;38.21;37.33;74.67;Bueno;148.58;Regular
2025-07-30;23:00;34;37.33;37.33;74.67;Bueno;148.58;Regular
2025-07-31;00:00;33;36.46;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;01:00;5;34.50;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;02:00;7;32.88;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;03:00;5;31.38;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;04:00;4;29.83;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;05:00;4;28.33;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;06:00;11;27.33;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;07:00;6;26.25;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;08:00;7;25.17;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;09:00;17;24.29;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;10:00;11;22.96;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;11:00;10;21.12;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;12:00;9;19.79;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;13:00;12;18.75;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;14:00;18;18.25;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;15:00;13;18.12;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;16:00;19;18.29;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;17:00;29;18.83;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;18:00;25;17.88;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;19:00;21;16.67;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;20:00;11;15.62;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;21:00;6;14.67;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;22:00;5;13.42;12.08;24.17;Bueno;80.56;Bueno
2025-07-31;23:00;2;12.08;12.08;24.17;Bueno;80.56;Bueno
2025-08-01;00:00;1;10.75;;;;;
2025-08-01;01:00;1;10.58;;;;;
2025-08-01;02:00;2;10.38;;;;;
2025-08-01;03:00;2;10.25;;;;;
2025-08-01;04:00;1;10.12;;;;;
2025-08-01;05:00;1;10.00;;;;;
2025-08-01;06:00;1;9.58;;;;;
2025-08-01;07:00;1;9.38;;;;;
2025-08-01;08:00;1;9.12;;;;;
2025-08-01;09:00;5;8.62;;;;;
2025-08-01;10:00;3;8.29;;;;;
2025-08-01;11:00;1;7.92;;;;;
2025-08-01;12:00;2;7.62;;;;;
2025-08-01;13:00;1;7.17;;;;;
2025-08-01;14:00;1;6.46;;;;;
2025-08-01;15:00;5;6.12;;;;;
2025-08-01;16:00;;5.57;;;;;
2025-08-01;17:00;;4.50;;;;;
2025-08-01;18:00;;3.52;;;;;
2025-08-01;19:00;;2.65;;;;;
2025-08-01;20:00;;2.21;;;;;
2025-08-01;21:00;;2.00;;;;;
2025-08-01;22:00;;;;;;;
2025-08-01;23:00;;;;;;;
