Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;71;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;02:00;83;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;03:00;106;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;04:00;84;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;05:00;80;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;06:00;72;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;07:00;67;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;08:00;69;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;09:00;66;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;10:00;81;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;11:00;60;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;12:00;50;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;13:00;75;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;14:00;66;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;15:00;60;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;16:00;57;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;17:00;73;;76.43;58.80;Bueno;151.78;Regular
2025-07-27;18:00;98;73.22;76.43;58.80;Bueno;151.78;Regular
2025-07-27;19:00;95;74.37;76.43;58.80;Bueno;151.78;Regular
2025-07-27;20:00;102;75.75;76.43;58.80;Bueno;151.78;Regular
2025-07-27;21:00;81;76.00;76.43;58.80;Bueno;151.78;Regular
2025-07-27;22:00;88;76.55;76.43;58.80;Bueno;151.78;Regular
2025-07-27;23:00;74;76.43;76.43;58.80;Bueno;151.78;Regular
2025-07-28;00:00;93;77.12;82.12;63.17;Bueno;161.22;Regular
2025-07-28;01:00;89;77.88;82.12;63.17;Bueno;161.22;Regular
2025-07-28;02:00;76;77.58;82.12;63.17;Bueno;161.22;Regular
2025-07-28;03:00;75;76.29;82.12;63.17;Bueno;161.22;Regular
2025-07-28;04:00;47;74.75;82.12;63.17;Bueno;161.22;Regular
2025-07-28;05:00;54;73.67;82.12;63.17;Bueno;161.22;Regular
2025-07-28;06:00;59;73.12;82.12;63.17;Bueno;161.22;Regular
2025-07-28;07:00;123;75.46;82.12;63.17;Bueno;161.22;Regular
2025-07-28;08:00;120;77.58;82.12;63.17;Bueno;161.22;Regular
2025-07-28;09:00;84;78.33;82.12;63.17;Bueno;161.22;Regular
2025-07-28;10:00;69;77.83;82.12;63.17;Bueno;161.22;Regular
2025-07-28;11:00;63;77.96;82.12;63.17;Bueno;161.22;Regular
2025-07-28;12:00;63;78.50;82.12;63.17;Bueno;161.22;Regular
2025-07-28;13:00;52;77.54;82.12;63.17;Bueno;161.22;Regular
2025-07-28;14:00;51;76.92;82.12;63.17;Bueno;161.22;Regular
2025-07-28;15:00;51;76.54;82.12;63.17;Bueno;161.22;Regular
2025-07-28;16:00;55;76.46;82.12;63.17;Bueno;161.22;Regular
2025-07-28;17:00;74;76.50;82.12;63.17;Bueno;161.22;Regular
2025-07-28;18:00;121;77.46;82.12;63.17;Bueno;161.22;Regular
2025-07-28;19:00;87;77.12;82.12;63.17;Bueno;161.22;Regular
2025-07-28;20:00;66;75.62;82.12;63.17;Bueno;161.22;Regular
2025-07-28;21:00;100;76.42;82.12;63.17;Bueno;161.22;Regular
2025-07-28;22:00;168;79.75;82.12;63.17;Bueno;161.22;Regular
2025-07-28;23:00;131;82.12;82.12;63.17;Bueno;161.22;Regular
2025-07-29;00:00;48;80.25;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;01:00;53;78.75;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;02:00;82;79.00;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;03:00;60;78.38;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;04:00;48;78.42;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;05:00;40;77.83;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;06:00;91;79.17;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;07:00;149;80.25;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;08:00;80;78.58;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;09:00;122;80.17;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;10:00;93;81.17;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;11:00;108;83.04;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;12:00;115;85.21;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;13:00;74;86.12;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;14:00;52;86.17;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;15:00;123;89.17;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;16:00;211;95.67;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;17:00;246;102.83;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;18:00;203;106.25;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;19:00;153;109.00;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;20:00;120;111.25;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;21:00;123;112.21;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;22:00;115;110.00;108.92;83.78;Bueno;205.99;Alerta
2025-07-29;23:00;105;108.92;108.92;83.78;Bueno;205.99;Alerta
2025-07-30;00:00;100;111.08;97.25;74.81;Bueno;186.44;Regular
2025-07-30;01:00;138;114.62;97.25;74.81;Bueno;186.44;Regular
2025-07-30;02:00;55;113.50;97.25;74.81;Bueno;186.44;Regular
2025-07-30;03:00;70;113.92;97.25;74.81;Bueno;186.44;Regular
2025-07-30;04:00;79;115.21;97.25;74.81;Bueno;186.44;Regular
2025-07-30;05:00;69;116.42;97.25;74.81;Bueno;186.44;Regular
2025-07-30;06:00;114;117.38;97.25;74.81;Bueno;186.44;Regular
2025-07-30;07:00;84;114.67;97.25;74.81;Bueno;186.44;Regular
2025-07-30;08:00;100;115.50;97.25;74.81;Bueno;186.44;Regular
2025-07-30;09:00;97;114.46;97.25;74.81;Bueno;186.44;Regular
2025-07-30;10:00;118;115.50;97.25;74.81;Bueno;186.44;Regular
2025-07-30;11:00;118;115.92;97.25;74.81;Bueno;186.44;Regular
2025-07-30;12:00;93;115.00;97.25;74.81;Bueno;186.44;Regular
2025-07-30;13:00;103;116.21;97.25;74.81;Bueno;186.44;Regular
2025-07-30;14:00;79;117.33;97.25;74.81;Bueno;186.44;Regular
2025-07-30;15:00;73;115.25;97.25;74.81;Bueno;186.44;Regular
2025-07-30;16:00;88;110.12;97.25;74.81;Bueno;186.44;Regular
2025-07-30;17:00;136;105.54;97.25;74.81;Bueno;186.44;Regular
2025-07-30;18:00;130;102.50;97.25;74.81;Bueno;186.44;Regular
2025-07-30;19:00;183;103.75;97.25;74.81;Bueno;186.44;Regular
2025-07-30;20:00;91;102.54;97.25;74.81;Bueno;186.44;Regular
2025-07-30;21:00;84;100.92;97.25;74.81;Bueno;186.44;Regular
2025-07-30;22:00;69;99.00;97.25;74.81;Bueno;186.44;Regular
2025-07-30;23:00;63;97.25;97.25;74.81;Bueno;186.44;Regular
2025-07-31;00:00;63;95.71;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;01:00;22;90.88;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;02:00;20;89.42;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;03:00;11;86.96;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;04:00;18;84.42;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;05:00;19;82.33;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;06:00;42;79.33;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;07:00;78;79.08;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;08:00;60;77.42;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;09:00;74;76.46;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;10:00;169;78.58;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;11:00;79;76.96;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;12:00;22;74.00;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;13:00;50;71.79;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;14:00;29;69.71;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;15:00;23;67.62;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;16:00;35;65.42;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;17:00;33;61.12;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;18:00;22;56.62;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;19:00;18;49.75;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;20:00;11;46.42;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;21:00;7;43.21;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;22:00;7;40.62;38.25;29.42;Bueno;85.00;Bueno
2025-07-31;23:00;6;38.25;38.25;29.42;Bueno;85.00;Bueno
2025-08-01;00:00;5;35.83;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;01:00;19;35.71;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;02:00;8;35.21;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;03:00;4;34.92;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;04:00;7;34.46;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;05:00;9;34.04;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;06:00;16;32.96;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;07:00;6;29.96;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;08:00;4;27.62;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;09:00;5;24.75;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;10:00;4;17.88;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;11:00;3;14.71;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;12:00;3;13.92;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;13:00;4;12.00;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;14:00;6;11.04;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;15:00;19;10.88;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;16:00;10;9.83;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;17:00;7;8.75;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;18:00;6;8.08;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;19:00;9;7.71;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;20:00;9;7.62;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;21:00;6;7.58;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;22:00;7;7.58;7.54;5.80;Bueno;16.76;Bueno
2025-08-01;23:00;5;7.54;7.54;5.80;Bueno;16.76;Bueno
2025-08-02;00:00;4;7.50;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;01:00;3;6.83;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;02:00;4;6.67;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;03:00;4;6.67;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;04:00;1;6.42;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;05:00;1;6.08;26.96;20.74;Bueno;59.91;Bueno
2025-08-02;06:00;1;5.46;26.96;20.74;Bueno;59.91;Bueno
