Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-27;01:00;48;;57.39;124.64;Regular;192.82;Regular
2025-07-27;02:00;58;;57.39;124.64;Regular;192.82;Regular
2025-07-27;03:00;78;;57.39;124.64;Regular;192.82;Regular
2025-07-27;04:00;63;;57.39;124.64;Regular;192.82;Regular
2025-07-27;05:00;58;;57.39;124.64;Regular;192.82;Regular
2025-07-27;06:00;55;;57.39;124.64;Regular;192.82;Regular
2025-07-27;07:00;57;;57.39;124.64;Regular;192.82;Regular
2025-07-27;08:00;60;;57.39;124.64;Regular;192.82;Regular
2025-07-27;09:00;55;;57.39;124.64;Regular;192.82;Regular
2025-07-27;10:00;62;;57.39;124.64;Regular;192.82;Regular
2025-07-27;11:00;49;;57.39;124.64;Regular;192.82;Regular
2025-07-27;12:00;38;;57.39;124.64;Regular;192.82;Regular
2025-07-27;13:00;54;;57.39;124.64;Regular;192.82;Regular
2025-07-27;14:00;50;;57.39;124.64;Regular;192.82;Regular
2025-07-27;15:00;47;;57.39;124.64;Regular;192.82;Regular
2025-07-27;16:00;39;;57.39;124.64;Regular;192.82;Regular
2025-07-27;17:00;52;;57.39;124.64;Regular;192.82;Regular
2025-07-27;18:00;64;54.83;57.39;124.64;Regular;192.82;Regular
2025-07-27;19:00;72;55.74;57.39;124.64;Regular;192.82;Regular
2025-07-27;20:00;73;56.60;57.39;124.64;Regular;192.82;Regular
2025-07-27;21:00;54;56.48;57.39;124.64;Regular;192.82;Regular
2025-07-27;22:00;74;57.27;57.39;124.64;Regular;192.82;Regular
2025-07-27;23:00;60;57.39;57.39;124.64;Regular;192.82;Regular
2025-07-28;00:00;73;58.04;42.92;85.83;Bueno;160.84;Regular
2025-07-28;01:00;74;59.12;42.92;85.83;Bueno;160.84;Regular
2025-07-28;02:00;64;59.38;42.92;85.83;Bueno;160.84;Regular
2025-07-28;03:00;67;58.92;42.92;85.83;Bueno;160.84;Regular
2025-07-28;04:00;39;57.92;42.92;85.83;Bueno;160.84;Regular
2025-07-28;05:00;39;57.12;42.92;85.83;Bueno;160.84;Regular
2025-07-28;06:00;35;56.29;42.92;85.83;Bueno;160.84;Regular
2025-07-28;07:00;60;56.42;42.92;85.83;Bueno;160.84;Regular
2025-07-28;08:00;64;56.58;42.92;85.83;Bueno;160.84;Regular
2025-07-28;09:00;48;56.29;42.92;85.83;Bueno;160.84;Regular
2025-07-28;10:00;43;55.50;42.92;85.83;Bueno;160.84;Regular
2025-07-28;11:00;35;54.92;42.92;85.83;Bueno;160.84;Regular
2025-07-28;12:00;29;54.54;42.92;85.83;Bueno;160.84;Regular
2025-07-28;13:00;21;53.17;42.92;85.83;Bueno;160.84;Regular
2025-07-28;14:00;19;51.88;42.92;85.83;Bueno;160.84;Regular
