Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;48;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;02:00;45;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;03:00;38;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;04:00;42;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;05:00;33;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;06:00;29;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;07:00;51;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;08:00;65;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;09:00;59;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;10:00;86;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;11:00;88;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;12:00;68;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;13:00;83;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;14:00;69;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;15:00;49;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;16:00;56;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;17:00;57;;87.83;67.56;Bueno;170.71;Regular
2025-07-26;18:00;153;62.17;87.83;67.56;Bueno;170.71;Regular
2025-07-26;19:00;194;69.11;87.83;67.56;Bueno;170.71;Regular
2025-07-26;20:00;204;75.85;87.83;67.56;Bueno;170.71;Regular
2025-07-26;21:00;162;79.95;87.83;67.56;Bueno;170.71;Regular
2025-07-26;22:00;180;84.50;87.83;67.56;Bueno;170.71;Regular
2025-07-26;23:00;161;87.83;87.83;67.56;Bueno;170.71;Regular
2025-07-27;00:00;226;93.58;83.92;64.55;Bueno;164.20;Regular
2025-07-27;01:00;146;97.67;83.92;64.55;Bueno;164.20;Regular
2025-07-27;02:00;82;99.21;83.92;64.55;Bueno;164.20;Regular
2025-07-27;03:00;75;100.75;83.92;64.55;Bueno;164.20;Regular
2025-07-27;04:00;76;102.17;83.92;64.55;Bueno;164.20;Regular
2025-07-27;05:00;61;103.33;83.92;64.55;Bueno;164.20;Regular
2025-07-27;06:00;71;105.08;83.92;64.55;Bueno;164.20;Regular
2025-07-27;07:00;74;106.04;83.92;64.55;Bueno;164.20;Regular
2025-07-27;08:00;71;106.29;83.92;64.55;Bueno;164.20;Regular
2025-07-27;09:00;69;106.71;83.92;64.55;Bueno;164.20;Regular
2025-07-27;10:00;77;106.33;83.92;64.55;Bueno;164.20;Regular
2025-07-27;11:00;66;105.42;83.92;64.55;Bueno;164.20;Regular
2025-07-27;12:00;45;104.46;83.92;64.55;Bueno;164.20;Regular
2025-07-27;13:00;41;102.71;83.92;64.55;Bueno;164.20;Regular
2025-07-27;14:00;48;101.83;83.92;64.55;Bueno;164.20;Regular
2025-07-27;15:00;51;101.92;83.92;64.55;Bueno;164.20;Regular
2025-07-27;16:00;62;102.17;83.92;64.55;Bueno;164.20;Regular
2025-07-27;17:00;77;103.00;83.92;64.55;Bueno;164.20;Regular
2025-07-27;18:00;157;103.17;83.92;64.55;Bueno;164.20;Regular
2025-07-27;19:00;76;98.25;83.92;64.55;Bueno;164.20;Regular
2025-07-27;20:00;93;93.62;83.92;64.55;Bueno;164.20;Regular
2025-07-27;21:00;100;91.04;83.92;64.55;Bueno;164.20;Regular
2025-07-27;22:00;87;87.17;83.92;64.55;Bueno;164.20;Regular
2025-07-27;23:00;83;83.92;83.92;64.55;Bueno;164.20;Regular
2025-07-28;00:00;71;77.46;74.21;57.08;Bueno;148.09;Regular
2025-07-28;01:00;50;73.46;74.21;57.08;Bueno;148.09;Regular
2025-07-28;02:00;38;71.62;74.21;57.08;Bueno;148.09;Regular
2025-07-28;03:00;45;70.38;74.21;57.08;Bueno;148.09;Regular
2025-07-28;04:00;42;68.96;74.21;57.08;Bueno;148.09;Regular
2025-07-28;05:00;48;68.42;74.21;57.08;Bueno;148.09;Regular
2025-07-28;06:00;64;68.12;74.21;57.08;Bueno;148.09;Regular
2025-07-28;07:00;69;67.92;74.21;57.08;Bueno;148.09;Regular
2025-07-28;08:00;82;68.38;74.21;57.08;Bueno;148.09;Regular
2025-07-28;09:00;85;69.04;74.21;57.08;Bueno;148.09;Regular
2025-07-28;10:00;73;68.88;74.21;57.08;Bueno;148.09;Regular
2025-07-28;11:00;66;68.88;74.21;57.08;Bueno;148.09;Regular
2025-07-28;12:00;64;69.67;74.21;57.08;Bueno;148.09;Regular
2025-07-28;13:00;53;70.17;74.21;57.08;Bueno;148.09;Regular
2025-07-28;14:00;35;69.62;74.21;57.08;Bueno;148.09;Regular
2025-07-28;15:00;25;68.54;74.21;57.08;Bueno;148.09;Regular
2025-07-28;16:00;33;67.33;74.21;57.08;Bueno;148.09;Regular
2025-07-28;17:00;50;66.21;74.21;57.08;Bueno;148.09;Regular
2025-07-28;18:00;143;65.62;74.21;57.08;Bueno;148.09;Regular
2025-07-28;19:00;128;67.79;74.21;57.08;Bueno;148.09;Regular
2025-07-28;20:00;174;71.17;74.21;57.08;Bueno;148.09;Regular
2025-07-28;21:00;141;72.88;74.21;57.08;Bueno;148.09;Regular
2025-07-28;22:00;74;72.33;74.21;57.08;Bueno;148.09;Regular
2025-07-28;23:00;128;74.21;74.21;57.08;Bueno;148.09;Regular
2025-07-29;00:00;93;75.12;87.33;67.18;Bueno;169.89;Regular
2025-07-29;01:00;68;75.88;87.33;67.18;Bueno;169.89;Regular
2025-07-29;02:00;67;77.08;87.33;67.18;Bueno;169.89;Regular
2025-07-29;03:00;55;77.50;87.33;67.18;Bueno;169.89;Regular
2025-07-29;04:00;41;77.46;87.33;67.18;Bueno;169.89;Regular
2025-07-29;05:00;48;77.46;87.33;67.18;Bueno;169.89;Regular
2025-07-29;06:00;66;77.54;87.33;67.18;Bueno;169.89;Regular
2025-07-29;07:00;88;78.33;87.33;67.18;Bueno;169.89;Regular
2025-07-29;08:00;130;80.33;87.33;67.18;Bueno;169.89;Regular
2025-07-29;09:00;102;81.04;87.33;67.18;Bueno;169.89;Regular
2025-07-29;10:00;74;81.08;87.33;67.18;Bueno;169.89;Regular
2025-07-29;11:00;43;80.12;87.33;67.18;Bueno;169.89;Regular
2025-07-29;12:00;26;78.54;87.33;67.18;Bueno;169.89;Regular
2025-07-29;13:00;48;78.33;87.33;67.18;Bueno;169.89;Regular
2025-07-29;14:00;51;79.00;87.33;67.18;Bueno;169.89;Regular
2025-07-29;15:00;68;80.79;87.33;67.18;Bueno;169.89;Regular
2025-07-29;16:00;126;84.67;87.33;67.18;Bueno;169.89;Regular
2025-07-29;17:00;189;90.46;87.33;67.18;Bueno;169.89;Regular
2025-07-29;18:00;182;92.08;87.33;67.18;Bueno;169.89;Regular
2025-07-29;19:00;97;90.79;87.33;67.18;Bueno;169.89;Regular
2025-07-29;20:00;102;87.79;87.33;67.18;Bueno;169.89;Regular
2025-07-29;21:00;117;86.79;87.33;67.18;Bueno;169.89;Regular
2025-07-29;22:00;121;88.75;87.33;67.18;Bueno;169.89;Regular
2025-07-29;23:00;94;87.33;87.33;67.18;Bueno;169.89;Regular
2025-07-30;00:00;64;86.12;92.62;71.25;Bueno;178.71;Regular
2025-07-30;01:00;77;86.50;92.62;71.25;Bueno;178.71;Regular
2025-07-30;02:00;51;85.83;92.62;71.25;Bueno;178.71;Regular
2025-07-30;03:00;37;85.08;92.62;71.25;Bueno;178.71;Regular
2025-07-30;04:00;40;85.04;92.62;71.25;Bueno;178.71;Regular
2025-07-30;05:00;45;84.92;92.62;71.25;Bueno;178.71;Regular
2025-07-30;06:00;36;83.67;92.62;71.25;Bueno;178.71;Regular
2025-07-30;07:00;73;83.04;92.62;71.25;Bueno;178.71;Regular
2025-07-30;08:00;122;82.71;92.62;71.25;Bueno;178.71;Regular
2025-07-30;09:00;110;83.04;92.62;71.25;Bueno;178.71;Regular
2025-07-30;10:00;75;83.08;92.62;71.25;Bueno;178.71;Regular
2025-07-30;11:00;64;83.96;92.62;71.25;Bueno;178.71;Regular
2025-07-30;12:00;73;85.92;92.62;71.25;Bueno;178.71;Regular
2025-07-30;13:00;75;87.04;92.62;71.25;Bueno;178.71;Regular
2025-07-30;14:00;87;88.54;92.62;71.25;Bueno;178.71;Regular
2025-07-30;15:00;87;89.33;92.62;71.25;Bueno;178.71;Regular
2025-07-30;16:00;116;88.92;92.62;71.25;Bueno;178.71;Regular
