Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;36;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;02:00;40;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;03:00;27;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;04:00;33;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;05:00;26;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;06:00;22;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;07:00;30;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;08:00;42;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;09:00;40;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;10:00;62;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;11:00;61;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;12:00;42;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;13:00;53;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;14:00;46;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;15:00;31;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;16:00;34;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;17:00;40;;64.26;147.54;Regular;208.10;Alerta
2025-07-26;18:00;108;42.94;64.26;147.54;Regular;208.10;Alerta
2025-07-26;19:00;150;48.58;64.26;147.54;Regular;208.10;Alerta
2025-07-26;20:00;156;53.95;64.26;147.54;Regular;208.10;Alerta
2025-07-26;21:00;121;57.14;64.26;147.54;Regular;208.10;Alerta
2025-07-26;22:00;142;61.00;64.26;147.54;Regular;208.10;Alerta
2025-07-26;23:00;136;64.26;64.26;147.54;Regular;208.10;Alerta
2025-07-27;00:00;196;69.75;66.25;154.17;Regular;212.54;Alerta
2025-07-27;01:00;123;73.38;66.25;154.17;Regular;212.54;Alerta
2025-07-27;02:00;66;74.46;66.25;154.17;Regular;212.54;Alerta
2025-07-27;03:00;61;75.88;66.25;154.17;Regular;212.54;Alerta
2025-07-27;04:00;65;77.21;66.25;154.17;Regular;212.54;Alerta
2025-07-27;05:00;47;78.08;66.25;154.17;Regular;212.54;Alerta
2025-07-27;06:00;51;79.29;66.25;154.17;Regular;212.54;Alerta
2025-07-27;07:00;55;80.33;66.25;154.17;Regular;212.54;Alerta
2025-07-27;08:00;58;81.00;66.25;154.17;Regular;212.54;Alerta
2025-07-27;09:00;58;81.75;66.25;154.17;Regular;212.54;Alerta
2025-07-27;10:00;65;81.88;66.25;154.17;Regular;212.54;Alerta
2025-07-27;11:00;54;81.58;66.25;154.17;Regular;212.54;Alerta
2025-07-27;12:00;32;81.17;66.25;154.17;Regular;212.54;Alerta
2025-07-27;13:00;22;79.88;66.25;154.17;Regular;212.54;Alerta
2025-07-27;14:00;33;79.33;66.25;154.17;Regular;212.54;Alerta
2025-07-27;15:00;40;79.71;66.25;154.17;Regular;212.54;Alerta
2025-07-27;16:00;42;80.04;66.25;154.17;Regular;212.54;Alerta
2025-07-27;17:00;45;80.25;66.25;154.17;Regular;212.54;Alerta
2025-07-27;18:00;118;80.67;66.25;154.17;Regular;212.54;Alerta
2025-07-27;19:00;62;77.00;66.25;154.17;Regular;212.54;Alerta
2025-07-27;20:00;74;73.58;66.25;154.17;Regular;212.54;Alerta
2025-07-27;21:00;84;72.04;66.25;154.17;Regular;212.54;Alerta
2025-07-27;22:00;71;69.08;66.25;154.17;Regular;212.54;Alerta
2025-07-27;23:00;68;66.25;66.25;154.17;Regular;212.54;Alerta
2025-07-28;00:00;59;60.54;45.71;91.42;Bueno;166.98;Regular
2025-07-28;01:00;41;57.12;45.71;91.42;Bueno;166.98;Regular
2025-07-28;02:00;35;55.83;45.71;91.42;Bueno;166.98;Regular
2025-07-28;03:00;36;54.79;45.71;91.42;Bueno;166.98;Regular
2025-07-28;04:00;35;53.54;45.71;91.42;Bueno;166.98;Regular
2025-07-28;05:00;39;53.21;45.71;91.42;Bueno;166.98;Regular
2025-07-28;06:00;43;52.88;45.71;91.42;Bueno;166.98;Regular
2025-07-28;07:00;40;52.25;45.71;91.42;Bueno;166.98;Regular
2025-07-28;08:00;52;52.00;45.71;91.42;Bueno;166.98;Regular
2025-07-28;09:00;50;51.67;45.71;91.42;Bueno;166.98;Regular
2025-07-28;10:00;45;50.83;45.71;91.42;Bueno;166.98;Regular
2025-07-28;11:00;41;50.29;45.71;91.42;Bueno;166.98;Regular
2025-07-28;12:00;37;50.50;45.71;91.42;Bueno;166.98;Regular
2025-07-28;13:00;31;50.88;45.71;91.42;Bueno;166.98;Regular
2025-07-28;14:00;20;50.33;45.71;91.42;Bueno;166.98;Regular
2025-07-28;15:00;7;48.96;45.71;91.42;Bueno;166.98;Regular
