Fecha;Hora;ConcentracionMP10;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;49;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;02:00;42;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;03:00;42;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;04:00;40;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;05:00;37;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;06:00;44;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;07:00;29;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;08:00;58;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;09:00;93;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;10:00;47;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;11:00;46;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;12:00;33;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;13:00;39;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;14:00;37;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;15:00;41;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;16:00;41;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;17:00;32;;59.78;45.99;Bueno;124.27;Regular
2025-07-26;18:00;75;45.83;59.78;45.99;Bueno;124.27;Regular
2025-07-26;19:00;143;50.95;59.78;45.99;Bueno;124.27;Regular
2025-07-26;20:00;70;51.90;59.78;45.99;Bueno;124.27;Regular
2025-07-26;21:00;105;54.43;59.78;45.99;Bueno;124.27;Regular
2025-07-26;22:00;79;55.55;59.78;45.99;Bueno;124.27;Regular
2025-07-26;23:00;153;59.78;59.78;45.99;Bueno;124.27;Regular
2025-07-27;00:00;80;60.62;55.42;42.63;Bueno;117.08;Regular
2025-07-27;01:00;88;62.25;55.42;42.63;Bueno;117.08;Regular
2025-07-27;02:00;56;62.83;55.42;42.63;Bueno;117.08;Regular
2025-07-27;03:00;52;63.25;55.42;42.63;Bueno;117.08;Regular
2025-07-27;04:00;53;63.79;55.42;42.63;Bueno;117.08;Regular
2025-07-27;05:00;38;63.83;55.42;42.63;Bueno;117.08;Regular
2025-07-27;06:00;46;63.92;55.42;42.63;Bueno;117.08;Regular
2025-07-27;07:00;39;64.33;55.42;42.63;Bueno;117.08;Regular
2025-07-27;08:00;19;62.71;55.42;42.63;Bueno;117.08;Regular
2025-07-27;09:00;40;60.50;55.42;42.63;Bueno;117.08;Regular
2025-07-27;10:00;39;60.17;55.42;42.63;Bueno;117.08;Regular
2025-07-27;11:00;40;59.92;55.42;42.63;Bueno;117.08;Regular
2025-07-27;12:00;37;60.08;55.42;42.63;Bueno;117.08;Regular
2025-07-27;13:00;34;59.88;55.42;42.63;Bueno;117.08;Regular
2025-07-27;14:00;29;59.54;55.42;42.63;Bueno;117.08;Regular
2025-07-27;15:00;33;59.21;55.42;42.63;Bueno;117.08;Regular
2025-07-27;16:00;43;59.29;55.42;42.63;Bueno;117.08;Regular
2025-07-27;17:00;65;60.67;55.42;42.63;Bueno;117.08;Regular
2025-07-27;18:00;107;62.00;55.42;42.63;Bueno;117.08;Regular
2025-07-27;19:00;110;60.62;55.42;42.63;Bueno;117.08;Regular
2025-07-27;20:00;115;62.50;55.42;42.63;Bueno;117.08;Regular
2025-07-27;21:00;55;60.42;55.42;42.63;Bueno;117.08;Regular
2025-07-27;22:00;53;59.33;55.42;42.63;Bueno;117.08;Regular
2025-07-27;23:00;59;55.42;55.42;42.63;Bueno;117.08;Regular
2025-07-28;00:00;34;53.50;47.38;36.44;Bueno;103.89;Regular
2025-07-28;01:00;58;52.25;47.38;36.44;Bueno;103.89;Regular
2025-07-28;02:00;40;51.58;47.38;36.44;Bueno;103.89;Regular
2025-07-28;03:00;36;50.92;47.38;36.44;Bueno;103.89;Regular
2025-07-28;04:00;36;50.21;47.38;36.44;Bueno;103.89;Regular
2025-07-28;05:00;34;50.04;47.38;36.44;Bueno;103.89;Regular
2025-07-28;06:00;41;49.83;47.38;36.44;Bueno;103.89;Regular
2025-07-28;07:00;53;50.42;47.38;36.44;Bueno;103.89;Regular
2025-07-28;08:00;59;52.08;47.38;36.44;Bueno;103.89;Regular
2025-07-28;09:00;41;52.12;47.38;36.44;Bueno;103.89;Regular
2025-07-28;10:00;36;52.00;47.38;36.44;Bueno;103.89;Regular
2025-07-28;11:00;37;51.88;47.38;36.44;Bueno;103.89;Regular
2025-07-28;12:00;39;51.96;47.38;36.44;Bueno;103.89;Regular
2025-07-28;13:00;50;52.62;47.38;36.44;Bueno;103.89;Regular
2025-07-28;14:00;31;52.71;47.38;36.44;Bueno;103.89;Regular
2025-07-28;15:00;28;52.50;47.38;36.44;Bueno;103.89;Regular
2025-07-28;16:00;37;52.25;47.38;36.44;Bueno;103.89;Regular
2025-07-28;17:00;32;50.88;47.38;36.44;Bueno;103.89;Regular
2025-07-28;18:00;42;48.17;47.38;36.44;Bueno;103.89;Regular
2025-07-28;19:00;133;49.12;47.38;36.44;Bueno;103.89;Regular
2025-07-28;20:00;84;47.83;47.38;36.44;Bueno;103.89;Regular
2025-07-28;21:00;63;48.17;47.38;36.44;Bueno;103.89;Regular
2025-07-28;22:00;42;47.71;47.38;36.44;Bueno;103.89;Regular
2025-07-28;23:00;51;47.38;47.38;36.44;Bueno;103.89;Regular
2025-07-29;00:00;37;47.50;67.75;52.12;Bueno;137.41;Regular
2025-07-29;01:00;45;46.96;67.75;52.12;Bueno;137.41;Regular
2025-07-29;02:00;39;46.92;67.75;52.12;Bueno;137.41;Regular
2025-07-29;03:00;28;46.58;67.75;52.12;Bueno;137.41;Regular
2025-07-29;04:00;26;46.17;67.75;52.12;Bueno;137.41;Regular
2025-07-29;05:00;35;46.21;67.75;52.12;Bueno;137.41;Regular
2025-07-29;06:00;34;45.92;67.75;52.12;Bueno;137.41;Regular
2025-07-29;07:00;44;45.54;67.75;52.12;Bueno;137.41;Regular
2025-07-29;08:00;60;45.58;67.75;52.12;Bueno;137.41;Regular
2025-07-29;09:00;50;45.96;67.75;52.12;Bueno;137.41;Regular
2025-07-29;10:00;44;46.29;67.75;52.12;Bueno;137.41;Regular
2025-07-29;11:00;49;46.79;67.75;52.12;Bueno;137.41;Regular
2025-07-29;12:00;41;46.88;67.75;52.12;Bueno;137.41;Regular
2025-07-29;13:00;34;46.21;67.75;52.12;Bueno;137.41;Regular
2025-07-29;14:00;46;46.83;67.75;52.12;Bueno;137.41;Regular
2025-07-29;15:00;80;49.00;67.75;52.12;Bueno;137.41;Regular
2025-07-29;16:00;56;49.79;67.75;52.12;Bueno;137.41;Regular
2025-07-29;17:00;81;51.83;67.75;52.12;Bueno;137.41;Regular
2025-07-29;18:00;163;56.88;67.75;52.12;Bueno;137.41;Regular
2025-07-29;19:00;186;59.08;67.75;52.12;Bueno;137.41;Regular
2025-07-29;20:00;164;62.42;67.75;52.12;Bueno;137.41;Regular
2025-07-29;21:00;135;65.42;67.75;52.12;Bueno;137.41;Regular
2025-07-29;22:00;79;66.96;67.75;52.12;Bueno;137.41;Regular
2025-07-29;23:00;70;67.75;67.75;52.12;Bueno;137.41;Regular
2025-07-30;00:00;51;68.33;70.79;54.46;Bueno;142.44;Regular
2025-07-30;01:00;53;68.67;70.79;54.46;Bueno;142.44;Regular
2025-07-30;02:00;44;68.88;70.79;54.46;Bueno;142.44;Regular
2025-07-30;03:00;39;69.33;70.79;54.46;Bueno;142.44;Regular
2025-07-30;04:00;36;69.75;70.79;54.46;Bueno;142.44;Regular
2025-07-30;05:00;36;69.79;70.79;54.46;Bueno;142.44;Regular
2025-07-30;06:00;44;70.21;70.79;54.46;Bueno;142.44;Regular
2025-07-30;07:00;55;70.67;70.79;54.46;Bueno;142.44;Regular
2025-07-30;08:00;98;72.25;70.79;54.46;Bueno;142.44;Regular
2025-07-30;09:00;97;74.21;70.79;54.46;Bueno;142.44;Regular
2025-07-30;10:00;61;74.92;70.79;54.46;Bueno;142.44;Regular
2025-07-30;11:00;73;75.92;70.79;54.46;Bueno;142.44;Regular
2025-07-30;12:00;57;76.58;70.79;54.46;Bueno;142.44;Regular
2025-07-30;13:00;46;77.08;70.79;54.46;Bueno;142.44;Regular
2025-07-30;14:00;50;77.25;70.79;54.46;Bueno;142.44;Regular
2025-07-30;15:00;48;75.92;70.79;54.46;Bueno;142.44;Regular
2025-07-30;16:00;56;75.92;70.79;54.46;Bueno;142.44;Regular
2025-07-30;17:00;70;75.46;70.79;54.46;Bueno;142.44;Regular
2025-07-30;18:00;131;74.12;70.79;54.46;Bueno;142.44;Regular
2025-07-30;19:00;217;75.42;70.79;54.46;Bueno;142.44;Regular
2025-07-30;20:00;126;73.83;70.79;54.46;Bueno;142.44;Regular
2025-07-30;21:00;69;71.08;70.79;54.46;Bueno;142.44;Regular
2025-07-30;22:00;83;71.25;70.79;54.46;Bueno;142.44;Regular
2025-07-30;23:00;59;70.79;70.79;54.46;Bueno;142.44;Regular
2025-07-31;00:00;32;70.00;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;01:00;37;69.33;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;02:00;37;69.04;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;03:00;40;69.08;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;04:00;31;68.88;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;05:00;28;68.54;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;06:00;31;68.00;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;07:00;26;66.79;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;08:00;58;65.12;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;09:00;32;62.42;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;10:00;28;61.04;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;11:00;38;59.58;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;12:00;31;58.50;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;13:00;12;57.08;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;14:00;13;55.54;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;15:00;10;53.96;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;16:00;22;52.54;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;17:00;16;50.29;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;18:00;24;45.83;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;19:00;38;38.38;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;20:00;20;33.96;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;21:00;19;31.88;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;22:00;13;28.96;27.04;20.80;Bueno;60.09;Bueno
2025-07-31;23:00;13;27.04;27.04;20.80;Bueno;60.09;Bueno
2025-08-01;00:00;8;26.04;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;01:00;7;24.79;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;02:00;5;23.46;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;03:00;4;21.96;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;04:00;5;20.88;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;05:00;5;19.92;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;06:00;5;18.83;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;07:00;4;17.92;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;08:00;8;15.83;9.79;7.53;Bueno;21.76;Bueno
2025-08-01;09:00;6;14.75;9.79;7.53;Bueno;21.76;Bueno
