Fecha;Hora;ConcentracionMP2_5;PromedioMovil24h;PromedioDiario;ICAP;Condicion;ICAP_mod;Condicion_mod
2025-07-26;01:00;30;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;02:00;37;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;03:00;23;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;04:00;36;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;05:00;37;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;06:00;32;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;07:00;27;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;08:00;39;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;09:00;63;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;10:00;32;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;11:00;37;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;12:00;24;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;13:00;23;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;14:00;31;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;15:00;36;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;16:00;36;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;17:00;29;;49.26;98.52;Bueno;174.82;Regular
2025-07-26;18:00;81;36.28;49.26;98.52;Bueno;174.82;Regular
2025-07-26;19:00;100;39.63;49.26;98.52;Bueno;174.82;Regular
2025-07-26;20:00;63;40.80;49.26;98.52;Bueno;174.82;Regular
2025-07-26;21:00;104;43.81;49.26;98.52;Bueno;174.82;Regular
2025-07-26;22:00;75;45.23;49.26;98.52;Bueno;174.82;Regular
2025-07-26;23:00;138;49.26;49.26;98.52;Bueno;174.82;Regular
2025-07-27;00:00;79;50.50;51.83;106.11;Regular;180.50;Regular
2025-07-27;01:00;74;52.33;51.83;106.11;Regular;180.50;Regular
2025-07-27;02:00;53;53.00;51.83;106.11;Regular;180.50;Regular
2025-07-27;03:00;46;53.96;51.83;106.11;Regular;180.50;Regular
2025-07-27;04:00;54;54.71;51.83;106.11;Regular;180.50;Regular
2025-07-27;05:00;30;54.42;51.83;106.11;Regular;180.50;Regular
2025-07-27;06:00;45;54.96;51.83;106.11;Regular;180.50;Regular
2025-07-27;07:00;32;55.17;51.83;106.11;Regular;180.50;Regular
2025-07-27;08:00;19;54.33;51.83;106.11;Regular;180.50;Regular
2025-07-27;09:00;39;53.33;51.83;106.11;Regular;180.50;Regular
2025-07-27;10:00;38;53.58;51.83;106.11;Regular;180.50;Regular
2025-07-27;11:00;38;53.62;51.83;106.11;Regular;180.50;Regular
2025-07-27;12:00;37;54.17;51.83;106.11;Regular;180.50;Regular
2025-07-27;13:00;32;54.54;51.83;106.11;Regular;180.50;Regular
2025-07-27;14:00;26;54.33;51.83;106.11;Regular;180.50;Regular
2025-07-27;15:00;29;54.04;51.83;106.11;Regular;180.50;Regular
