Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;79.14;60.87;Bueno;156.26;Regular;56.23;120.76;Regular;190.24;Regular;Regular;Regular
2025-07-28;71.58;55.06;Bueno;143.75;Regular;36.42;72.83;Bueno;146.58;Regular;Bueno;Regular
2025-07-29;84.96;65.35;Bueno;165.94;Regular;33.62;67.25;Bueno;140.47;Regular;Bueno;Regular
2025-07-30;74.62;57.40;Bueno;148.78;Regular;37.33;74.67;Bueno;148.58;Regular;Bueno;Regular
2025-07-31;30.00;23.08;Bueno;66.67;Bueno;12.08;24.17;Bueno;80.56;Bueno;Bueno;Bueno
2025-08-01;4.00;3.08;Bueno;8.89;Bueno;;;;;;Bueno;Bueno
2025-08-02;31.12;23.94;Bueno;69.17;Bueno;;;;;;Bueno;Bueno
2025-08-03;61.79;47.53;Bueno;127.58;Regular;35.79;71.58;Bueno;145.21;Regular;Bueno;Regular
2025-08-04;101.67;78.21;Bueno;193.83;Regular;57.88;126.25;Regular;193.89;Regular;Regular;Regular
2025-08-05;78.08;60.06;Bueno;154.51;Regular;39.71;79.42;Bueno;153.79;Regular;Bueno;Regular
2025-08-06;50.79;39.07;Bueno;109.49;Regular;23.08;46.17;Bueno;117.50;Regular;Bueno;Regular
2025-08-07;55.17;42.44;Bueno;116.67;Regular;31.08;62.17;Bueno;134.92;Regular;Bueno;Regular
2025-08-08;91.83;70.64;Bueno;177.39;Regular;44.88;89.75;Bueno;165.15;Regular;Bueno;Regular
2025-08-09;59.50;45.77;Bueno;123.80;Regular;41.50;83.00;Bueno;157.72;Regular;Bueno;Regular
2025-08-10;55.21;42.47;Bueno;116.74;Regular;39.04;78.08;Bueno;152.33;Regular;Bueno;Regular
2025-08-11;65.71;50.54;Bueno;134.04;Regular;29.62;59.25;Bueno;131.74;Regular;Bueno;Regular
2025-08-12;63.71;49.01;Bueno;130.74;Regular;26.58;53.17;Bueno;125.11;Regular;Bueno;Regular
2025-08-13;64.50;49.62;Bueno;132.04;Regular;34.46;68.92;Bueno;142.29;Regular;Bueno;Regular
