Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;01:00;71;;76.43;58.80;Bueno;151.78;Regular;48;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;02:00;83;;76.43;58.80;Bueno;151.78;Regular;58;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;03:00;106;;76.43;58.80;Bueno;151.78;Regular;78;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;04:00;84;;76.43;58.80;Bueno;151.78;Regular;63;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;05:00;80;;76.43;58.80;Bueno;151.78;Regular;58;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;06:00;72;;76.43;58.80;Bueno;151.78;Regular;55;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;07:00;67;;76.43;58.80;Bueno;151.78;Regular;57;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;08:00;69;;76.43;58.80;Bueno;151.78;Regular;60;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;09:00;66;;76.43;58.80;Bueno;151.78;Regular;55;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;10:00;81;;76.43;58.80;Bueno;151.78;Regular;62;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;11:00;60;;76.43;58.80;Bueno;151.78;Regular;49;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;12:00;50;;76.43;58.80;Bueno;151.78;Regular;38;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;13:00;75;;76.43;58.80;Bueno;151.78;Regular;54;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;14:00;66;;76.43;58.80;Bueno;151.78;Regular;50;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;15:00;60;;76.43;58.80;Bueno;151.78;Regular;47;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;16:00;57;;76.43;58.80;Bueno;151.78;Regular;39;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;17:00;73;;76.43;58.80;Bueno;151.78;Regular;52;;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;18:00;98;73.22;76.43;58.80;Bueno;151.78;Regular;64;54.83;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;19:00;95;74.37;76.43;58.80;Bueno;151.78;Regular;72;55.74;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;20:00;102;75.75;76.43;58.80;Bueno;151.78;Regular;73;56.60;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;21:00;81;76.00;76.43;58.80;Bueno;151.78;Regular;54;56.48;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-27;22:00;88;76.55;76.43;58.80;Bueno;151.78;Regular;74;57.27;57.39;124.64;Regular;192.82;Regular;Regular;Regular
