Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-27;76.43;58.80;Bueno;151.78;Regular;57.39;124.64;Regular;192.82;Regular;Regular;Regular
2025-07-28;82.12;63.17;Bueno;161.22;Regular;42.92;85.83;Bueno;160.84;Regular;Bueno;Regular
2025-07-29;108.92;83.78;Bueno;205.99;Alerta;37.17;74.33;Bueno;148.22;Regular;Bueno;Alerta
2025-07-30;97.25;74.81;Bueno;186.44;Regular;45.67;91.33;Bueno;166.89;Regular;Bueno;Regular
2025-07-31;38.25;29.42;Bueno;85.00;Bueno;13.54;27.08;Bueno;90.28;Bueno;Bueno;Bueno
2025-08-01;7.54;5.80;Bueno;16.76;Bueno;5.71;11.42;Bueno;38.06;Bueno;Bueno;Bueno
2025-08-02;26.96;20.74;Bueno;59.91;Bueno;15.54;31.08;Bueno;101.17;Regular;Bueno;Regular
2025-08-03;85.83;66.03;Bueno;167.39;Regular;47.50;95.00;Bueno;170.93;Regular;Bueno;Regular
2025-08-04;102.79;79.07;Bueno;195.71;Regular;50.58;101.94;Regular;177.74;Regular;Regular;Regular
2025-08-05;68.75;52.88;Bueno;139.06;Regular;28.12;56.25;Bueno;128.47;Regular;Bueno;Regular
2025-08-06;60.96;46.89;Bueno;126.20;Regular;23.75;47.50;Bueno;118.95;Regular;Bueno;Regular
2025-08-07;61.58;47.37;Bueno;127.23;Regular;30.09;60.17;Bueno;132.74;Regular;Bueno;Regular
2025-08-08;92.33;71.03;Bueno;178.22;Regular;38.33;76.67;Bueno;150.77;Regular;Bueno;Regular
2025-08-09;61.96;47.66;Bueno;127.85;Regular;43.50;87.00;Bueno;162.12;Regular;Bueno;Regular
2025-08-10;64.00;49.23;Bueno;131.22;Regular;44.54;89.08;Bueno;164.41;Regular;Bueno;Regular
2025-08-11;68.00;52.31;Bueno;137.82;Regular;23.04;46.08;Bueno;117.41;Regular;Bueno;Regular
2025-08-12;76.58;58.91;Bueno;152.03;Regular;29.38;58.75;Bueno;131.19;Regular;Bueno;Regular
2025-08-13;67.38;51.83;Bueno;136.79;Regular;35.88;71.75;Bueno;145.39;Regular;Bueno;Regular
2025-08-14;65.96;50.74;Bueno;134.45;Regular;29.50;59.00;Bueno;131.46;Regular;Bueno;Regular
2025-08-15;24.79;19.07;Bueno;55.09;Bueno;13.29;26.58;Bueno;88.61;Bueno;Bueno;Bueno
2025-08-16;45.46;34.97;Bueno;100.75;Regular;22.71;45.42;Bueno;116.69;Regular;Bueno;Regular
2025-08-17;55.71;42.85;Bueno;117.56;Regular;30.00;60.00;Bueno;132.55;Regular;Bueno;Regular
2025-08-18;44.62;34.33;Bueno;99.17;Bueno;23.29;46.58;Bueno;117.96;Regular;Bueno;Regular
2025-08-19;43.75;33.65;Bueno;97.22;Bueno;21.21;42.42;Bueno;113.43;Regular;Bueno;Regular
2025-08-20;44.95;34.58;Bueno;99.90;Bueno;18.82;37.64;Bueno;108.26;Regular;Bueno;Regular
2025-08-21;32.08;24.68;Bueno;71.30;Bueno;8.42;16.83;Bueno;56.11;Bueno;Bueno;Bueno
2025-08-22;16.83;12.95;Bueno;37.41;Bueno;15.25;30.50;Bueno;100.54;Regular;Bueno;Regular
2025-08-23;32.42;24.94;Bueno;72.04;Bueno;20.96;41.92;Bueno;112.89;Regular;Bueno;Regular
2025-08-24;22.67;17.44;Bueno;50.37;Bueno;10.12;20.25;Bueno;67.50;Bueno;Bueno;Bueno
2025-08-25;43.38;33.37;Bueno;96.39;Bueno;16.17;32.33;Bueno;102.52;Regular;Bueno;Regular
2025-08-26;88.33;67.95;Bueno;171.55;Regular;31.17;62.33;Bueno;135.10;Regular;Bueno;Regular
2025-08-27;80.71;62.08;Bueno;158.87;Regular;33.88;67.75;Bueno;141.01;Regular;Bueno;Regular
2025-08-28;49.96;38.43;Bueno;108.12;Regular;36.08;72.17;Bueno;145.85;Regular;Bueno;Regular
2025-08-29;42.50;32.69;Bueno;94.44;Bueno;27.00;54.00;Bueno;126.02;Regular;Bueno;Regular
2025-08-30;51.21;39.39;Bueno;110.17;Regular;28.75;57.50;Bueno;129.83;Regular;Bueno;Regular
2025-08-31;48.79;37.53;Bueno;106.21;Regular;32.79;65.58;Bueno;138.65;Regular;Bueno;Regular
2025-09-01;59.29;45.61;Bueno;123.46;Regular;22.96;45.92;Bueno;117.23;Regular;Bueno;Regular
2025-09-02;51.00;39.23;Bueno;109.83;Regular;25.35;50.70;Bueno;122.42;Regular;Bueno;Regular
2025-09-03;42.67;32.82;Bueno;94.81;Bueno;15.92;31.83;Bueno;101.98;Regular;Bueno;Regular
2025-09-04;79.21;60.93;Bueno;156.38;Regular;28.42;56.83;Bueno;129.10;Regular;Bueno;Regular
2025-09-05;69.22;53.25;Bueno;139.84;Regular;31.11;62.22;Bueno;134.98;Regular;Bueno;Regular
2025-09-06;58.12;44.71;Bueno;121.54;Regular;41.12;82.25;Bueno;156.90;Regular;Bueno;Regular
2025-09-07;43.75;33.65;Bueno;97.22;Bueno;28.58;57.17;Bueno;129.46;Regular;Bueno;Regular
2025-09-08;54.08;41.60;Bueno;114.89;Regular;27.29;54.58;Bueno;126.65;Regular;Bueno;Regular
2025-09-09;52.12;40.10;Bueno;111.68;Regular;17.08;34.17;Bueno;104.50;Regular;Bueno;Regular
2025-09-10;26.65;20.50;Bueno;59.23;Bueno;12.48;24.96;Bueno;83.19;Bueno;Bueno;Bueno
2025-09-11;46.12;35.48;Bueno;101.84;Regular;15.04;30.08;Bueno;100.09;Regular;Bueno;Regular
2025-09-12;62.71;48.24;Bueno;129.09;Regular;20.42;40.83;Bueno;111.72;Regular;Bueno;Regular
2025-09-13;31.71;24.39;Bueno;70.46;Bueno;9.79;19.58;Bueno;65.28;Bueno;Bueno;Bueno
2025-09-14;34.92;26.86;Bueno;77.59;Bueno;17.12;34.25;Bueno;104.59;Regular;Bueno;Regular
2025-09-15;43.42;33.40;Bueno;96.48;Bueno;13.17;26.33;Bueno;87.78;Bueno;Bueno;Bueno
2025-09-16;58.88;45.29;Bueno;122.77;Regular;16.54;33.08;Bueno;103.33;Regular;Bueno;Regular
