Fecha;Hora;ConcentracionMP10;PromedioMovil24h_MP10;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;ConcentracionMP2_5;PromedioMovil24h_MP2_5;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;01:00;48;;87.83;67.56;Bueno;170.71;Regular;36;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;02:00;45;;87.83;67.56;Bueno;170.71;Regular;40;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;03:00;38;;87.83;67.56;Bueno;170.71;Regular;27;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;04:00;42;;87.83;67.56;Bueno;170.71;Regular;33;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;05:00;33;;87.83;67.56;Bueno;170.71;Regular;26;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;06:00;29;;87.83;67.56;Bueno;170.71;Regular;22;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;07:00;51;;87.83;67.56;Bueno;170.71;Regular;30;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;08:00;65;;87.83;67.56;Bueno;170.71;Regular;42;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;09:00;59;;87.83;67.56;Bueno;170.71;Regular;40;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;10:00;86;;87.83;67.56;Bueno;170.71;Regular;62;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;11:00;88;;87.83;67.56;Bueno;170.71;Regular;61;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;12:00;68;;87.83;67.56;Bueno;170.71;Regular;42;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;13:00;83;;87.83;67.56;Bueno;170.71;Regular;53;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;14:00;69;;87.83;67.56;Bueno;170.71;Regular;46;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;15:00;49;;87.83;67.56;Bueno;170.71;Regular;31;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;16:00;56;;87.83;67.56;Bueno;170.71;Regular;34;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;17:00;57;;87.83;67.56;Bueno;170.71;Regular;40;;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;18:00;153;62.17;87.83;67.56;Bueno;170.71;Regular;108;42.94;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;19:00;194;69.11;87.83;67.56;Bueno;170.71;Regular;150;48.58;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;20:00;204;75.85;87.83;67.56;Bueno;170.71;Regular;156;53.95;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;21:00;162;79.95;87.83;67.56;Bueno;170.71;Regular;121;57.14;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;22:00;180;84.50;87.83;67.56;Bueno;170.71;Regular;142;61.00;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-26;23:00;161;87.83;87.83;67.56;Bueno;170.71;Regular;136;64.26;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-27;00:00;226;93.58;83.92;64.55;Bueno;164.20;Regular;196;69.75;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;01:00;146;97.67;83.92;64.55;Bueno;164.20;Regular;123;73.38;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;02:00;82;99.21;83.92;64.55;Bueno;164.20;Regular;66;74.46;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;03:00;75;100.75;83.92;64.55;Bueno;164.20;Regular;61;75.88;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;04:00;76;102.17;83.92;64.55;Bueno;164.20;Regular;65;77.21;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;05:00;61;103.33;83.92;64.55;Bueno;164.20;Regular;47;78.08;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;06:00;71;105.08;83.92;64.55;Bueno;164.20;Regular;51;79.29;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;07:00;74;106.04;83.92;64.55;Bueno;164.20;Regular;55;80.33;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;08:00;71;106.29;83.92;64.55;Bueno;164.20;Regular;58;81.00;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;09:00;69;106.71;83.92;64.55;Bueno;164.20;Regular;58;81.75;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;10:00;77;106.33;83.92;64.55;Bueno;164.20;Regular;65;81.88;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;11:00;66;105.42;83.92;64.55;Bueno;164.20;Regular;54;81.58;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;12:00;45;104.46;83.92;64.55;Bueno;164.20;Regular;32;81.17;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;13:00;41;102.71;83.92;64.55;Bueno;164.20;Regular;22;79.88;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;14:00;48;101.83;83.92;64.55;Bueno;164.20;Regular;33;79.33;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;15:00;51;101.92;83.92;64.55;Bueno;164.20;Regular;40;79.71;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;16:00;62;102.17;83.92;64.55;Bueno;164.20;Regular;42;80.04;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;17:00;77;103.00;83.92;64.55;Bueno;164.20;Regular;45;80.25;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;18:00;157;103.17;83.92;64.55;Bueno;164.20;Regular;118;80.67;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;19:00;76;98.25;83.92;64.55;Bueno;164.20;Regular;62;77.00;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;20:00;93;93.62;83.92;64.55;Bueno;164.20;Regular;74;73.58;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-27;21:00;100;91.04;83.92;64.55;Bueno;164.20;Regular;84;72.04;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
