Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;87.83;67.56;Bueno;170.71;Regular;64.26;147.54;Regular;208.10;Alerta;Regular;Alerta
2025-07-27;83.92;64.55;Bueno;164.20;Regular;66.25;154.17;Regular;212.54;Alerta;Regular;Alerta
2025-07-28;74.21;57.08;Bueno;148.09;Regular;45.71;91.42;Bueno;166.98;Regular;Bueno;Regular
2025-07-29;87.33;67.18;Bueno;169.89;Regular;49.88;99.75;Bueno;176.18;Regular;Bueno;Regular
2025-07-30;92.62;71.25;Bueno;178.71;Regular;53.33;111.11;Regular;183.82;Regular;Regular;Regular
2025-07-31;40.08;30.83;Bueno;89.07;Bueno;27.04;54.08;Bueno;126.11;Regular;Bueno;Regular
2025-08-01;6.96;5.35;Bueno;15.46;Bueno;4.00;8.00;Bueno;26.67;Bueno;Bueno;Bueno
2025-08-02;54.50;41.92;Bueno;115.58;Regular;40.83;81.67;Bueno;156.26;Regular;Bueno;Regular
2025-08-03;44.33;34.10;Bueno;98.52;Bueno;29.54;59.08;Bueno;131.55;Regular;Bueno;Regular
2025-08-04;73.75;56.73;Bueno;147.33;Regular;50.25;100.83;Regular;177.00;Regular;Regular;Regular
2025-08-05;61.79;47.53;Bueno;127.58;Regular;35.54;71.08;Bueno;144.66;Regular;Bueno;Regular
2025-08-06;44.54;34.26;Bueno;98.98;Bueno;27.29;54.58;Bueno;126.65;Regular;Bueno;Regular
2025-08-07;63.21;48.62;Bueno;129.91;Regular;40.88;81.75;Bueno;156.35;Regular;Bueno;Regular
2025-08-08;74.67;57.44;Bueno;148.85;Regular;43.00;86.00;Bueno;161.02;Regular;Bueno;Regular
2025-08-09;44.00;33.85;Bueno;97.78;Bueno;30.54;61.08;Bueno;133.73;Regular;Bueno;Regular
2025-08-10;56.42;43.40;Bueno;118.73;Regular;40.92;81.83;Bueno;156.44;Regular;Bueno;Regular
2025-08-11;55.62;42.79;Bueno;117.43;Regular;28.25;56.50;Bueno;128.74;Regular;Bueno;Regular
2025-08-12;50.67;38.97;Bueno;109.29;Regular;26.75;53.50;Bueno;125.47;Regular;Bueno;Regular
2025-08-13;60.79;46.76;Bueno;125.93;Regular;36.79;73.58;Bueno;147.40;Regular;Bueno;Regular
2025-08-14;42.00;32.31;Bueno;93.33;Bueno;25.39;50.78;Bueno;122.51;Regular;Bueno;Regular
2025-08-15;28.88;22.21;Bueno;64.17;Bueno;19.12;38.25;Bueno;108.92;Regular;Bueno;Regular
2025-08-16;48.50;37.31;Bueno;105.73;Regular;31.62;63.25;Bueno;136.10;Regular;Bueno;Regular
2025-08-17;43.83;33.72;Bueno;97.41;Bueno;28.88;57.75;Bueno;130.10;Regular;Bueno;Regular
2025-08-18;56.21;43.24;Bueno;118.39;Regular;35.04;70.08;Bueno;143.57;Regular;Bueno;Regular
2025-08-19;34.30;26.39;Bueno;76.23;Bueno;18.35;36.70;Bueno;107.24;Regular;Bueno;Regular
2025-08-20;36.33;27.95;Bueno;80.74;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-08-21;18.92;14.55;Bueno;42.04;Bueno;9.96;19.92;Bueno;66.39;Bueno;Bueno;Bueno
2025-08-22;14.96;11.51;Bueno;33.24;Bueno;12.88;25.75;Bueno;85.83;Bueno;Bueno;Bueno
2025-08-23;47.25;36.35;Bueno;103.68;Regular;37.75;75.50;Bueno;149.50;Regular;Bueno;Regular
2025-08-24;40.08;30.83;Bueno;89.07;Bueno;26.58;53.17;Bueno;125.11;Regular;Bueno;Regular
2025-08-25;45.73;35.17;Bueno;101.19;Regular;26.77;53.55;Bueno;125.52;Regular;Bueno;Regular
2025-08-26;48.54;37.34;Bueno;105.80;Regular;27.71;55.42;Bueno;127.56;Regular;Bueno;Regular
2025-08-27;52.08;40.06;Bueno;111.61;Regular;27.79;55.58;Bueno;127.74;Regular;Bueno;Regular
2025-08-28;35.62;27.40;Bueno;79.17;Bueno;24.46;48.92;Bueno;120.49;Regular;Bueno;Regular
2025-08-29;28.12;21.63;Bueno;62.50;Bueno;17.46;34.92;Bueno;105.31;Regular;Bueno;Regular
2025-08-30;53.46;41.12;Bueno;113.87;Regular;37.67;75.33;Bueno;149.31;Regular;Bueno;Regular
2025-08-31;52.83;40.64;Bueno;112.84;Regular;37.00;74.00;Bueno;147.85;Regular;Bueno;Regular
2025-09-01;40.88;31.44;Bueno;90.83;Bueno;23.21;46.42;Bueno;117.77;Regular;Bueno;Regular
2025-09-02;21.71;16.70;Bueno;48.25;Bueno;10.29;20.57;Bueno;68.57;Bueno;Bueno;Bueno
2025-09-03;22.43;17.26;Bueno;49.86;Bueno;9.17;18.35;Bueno;61.16;Bueno;Bueno;Bueno
2025-09-04;45.12;34.71;Bueno;100.20;Regular;27.00;54.00;Bueno;126.02;Regular;Bueno;Regular
2025-09-05;55.08;42.37;Bueno;116.54;Regular;28.83;57.67;Bueno;130.01;Regular;Bueno;Regular
2025-09-06;37.60;28.92;Bueno;83.56;Bueno;26.25;52.50;Bueno;124.38;Regular;Bueno;Regular
2025-09-07;35.50;27.31;Bueno;78.89;Bueno;20.96;41.92;Bueno;112.89;Regular;Bueno;Regular
2025-09-08;43.87;33.75;Bueno;97.49;Bueno;21.26;42.52;Bueno;113.55;Regular;Bueno;Regular
2025-09-09;36.00;27.69;Bueno;80.00;Bueno;13.70;27.40;Bueno;91.33;Bueno;Bueno;Bueno
2025-09-10;;;;;;;;;;;;
2025-09-11;;;;;;;;;;;;
2025-09-12;34.08;26.22;Bueno;75.74;Bueno;13.38;26.75;Bueno;89.17;Bueno;Bueno;Bueno
2025-09-13;;;;;;;;;;;;
2025-09-14;;;;;;;;;;;;
2025-09-15;35.00;26.92;Bueno;77.78;Bueno;13.00;26.00;Bueno;86.67;Bueno;Bueno;Bueno
2025-09-16;40.17;30.90;Bueno;89.26;Bueno;15.50;31.00;Bueno;101.08;Regular;Bueno;Regular
2025-09-17;54.33;41.79;Bueno;115.30;Regular;23.96;47.92;Bueno;119.40;Regular;Bueno;Regular
2025-09-18;40.71;31.31;Bueno;90.46;Bueno;18.42;36.83;Bueno;107.39;Regular;Bueno;Regular
2025-09-19;23.42;18.01;Bueno;52.04;Bueno;9.96;19.92;Bueno;66.39;Bueno;Bueno;Bueno
2025-09-20;11.17;8.59;Bueno;24.81;Bueno;6.42;12.83;Bueno;42.78;Bueno;Bueno;Bueno
2025-09-21;;;;;;14.04;28.08;Bueno;93.61;Bueno;Bueno;Bueno
2025-09-22;20.92;16.09;Bueno;46.48;Bueno;9.75;19.50;Bueno;65.00;Bueno;Bueno;Bueno
2025-09-23;34.12;26.25;Bueno;75.83;Bueno;15.17;30.33;Bueno;100.36;Regular;Bueno;Regular
2025-09-24;37.73;29.02;Bueno;83.84;Bueno;12.86;25.73;Bueno;85.76;Bueno;Bueno;Bueno
2025-09-25;28.12;21.63;Bueno;62.50;Bueno;12.42;24.83;Bueno;82.78;Bueno;Bueno;Bueno
2025-09-26;23.04;17.72;Bueno;51.20;Bueno;12.54;25.08;Bueno;83.61;Bueno;Bueno;Bueno
2025-09-27;23.71;18.24;Bueno;52.69;Bueno;10.83;21.67;Bueno;72.22;Bueno;Bueno;Bueno
2025-09-28;20.12;15.48;Bueno;44.72;Bueno;7.00;14.00;Bueno;46.67;Bueno;Bueno;Bueno
2025-09-29;24.50;18.85;Bueno;54.44;Bueno;8.75;17.50;Bueno;58.33;Bueno;Bueno;Bueno
2025-09-30;38.58;29.68;Bueno;85.74;Bueno;12.29;24.58;Bueno;81.94;Bueno;Bueno;Bueno
2025-10-01;43.92;33.78;Bueno;97.59;Bueno;13.38;26.75;Bueno;89.17;Bueno;Bueno;Bueno
2025-10-02;47.21;36.31;Bueno;103.62;Regular;13.17;26.33;Bueno;87.78;Bueno;Bueno;Regular
2025-10-03;41.08;31.60;Bueno;91.30;Bueno;;;;;;Bueno;Bueno
2025-10-04;13.29;10.22;Bueno;29.54;Bueno;5.00;10.00;Bueno;33.33;Bueno;Bueno;Bueno
2025-10-05;5.50;4.23;Bueno;12.22;Bueno;2.21;4.42;Bueno;14.72;Bueno;Bueno;Bueno
2025-10-06;17.42;13.40;Bueno;38.70;Bueno;5.83;11.67;Bueno;38.89;Bueno;Bueno;Bueno
2025-10-07;29.46;22.66;Bueno;65.46;Bueno;9.42;18.83;Bueno;62.78;Bueno;Bueno;Bueno
2025-10-08;34.58;26.60;Bueno;76.85;Bueno;10.21;20.42;Bueno;68.06;Bueno;Bueno;Bueno
2025-10-09;35.62;27.40;Bueno;79.17;Bueno;9.83;19.67;Bueno;65.56;Bueno;Bueno;Bueno
2025-10-10;33.75;25.96;Bueno;75.00;Bueno;10.04;20.08;Bueno;66.94;Bueno;Bueno;Bueno
