Fecha;PromedioDiario_MP10;ICAP_MP10;Condicion_MP10;ICAP_mod_MP10;Condicion_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;Condicion_MP2_5;ICAP_mod_MP2_5;Condicion_mod_MP2_5;condicion_final;condicion_mod
2025-07-26;59.78;45.99;Bueno;124.27;Regular;49.26;98.52;Bueno;174.82;Regular;Bueno;Regular
2025-07-27;55.42;42.63;Bueno;117.08;Regular;51.83;106.11;Regular;180.50;Regular;Regular;Regular
2025-07-28;47.38;36.44;Bueno;103.89;Regular;31.71;63.42;Bueno;136.28;Regular;Bueno;Regular
2025-07-29;67.75;52.12;Bueno;137.41;Regular;39.17;78.33;Bueno;152.60;Regular;Bueno;Regular
2025-07-30;70.79;54.46;Bueno;142.44;Regular;50.62;102.08;Regular;177.83;Regular;Regular;Regular
2025-07-31;27.04;20.80;Bueno;60.09;Bueno;17.92;35.83;Bueno;106.30;Regular;Bueno;Regular
2025-08-01;9.79;7.53;Bueno;21.76;Bueno;8.38;16.75;Bueno;55.83;Bueno;Bueno;Bueno
2025-08-02;33.17;25.51;Bueno;73.70;Bueno;26.17;52.33;Bueno;124.20;Regular;Bueno;Regular
2025-08-03;36.33;27.95;Bueno;80.74;Bueno;25.33;50.67;Bueno;122.39;Regular;Bueno;Regular
2025-08-04;34.96;26.89;Bueno;77.69;Bueno;25.04;50.08;Bueno;121.76;Regular;Bueno;Regular
2025-08-05;41.00;31.54;Bueno;91.11;Bueno;25.83;51.67;Bueno;123.48;Regular;Bueno;Regular
2025-08-06;34.21;26.31;Bueno;76.02;Bueno;22.00;44.00;Bueno;115.15;Regular;Bueno;Regular
2025-08-07;30.04;23.11;Bueno;66.76;Bueno;21.54;43.08;Bueno;114.16;Regular;Bueno;Regular
2025-08-08;64.71;49.78;Bueno;132.39;Regular;44.50;89.00;Bueno;164.32;Regular;Bueno;Regular
2025-08-09;36.08;27.76;Bueno;80.19;Bueno;30.25;60.50;Bueno;133.10;Regular;Bueno;Regular
2025-08-10;41.83;32.18;Bueno;92.96;Bueno;35.00;70.00;Bueno;143.47;Regular;Bueno;Regular
2025-08-11;41.54;31.96;Bueno;92.31;Bueno;24.46;48.92;Bueno;120.49;Regular;Bueno;Regular
2025-08-12;38.12;29.33;Bueno;84.72;Bueno;25.38;50.75;Bueno;122.48;Regular;Bueno;Regular
2025-08-13;29.25;22.50;Bueno;65.00;Bueno;20.67;41.33;Bueno;112.26;Regular;Bueno;Regular
2025-08-14;40.79;31.38;Bueno;90.65;Bueno;27.75;55.50;Bueno;127.65;Regular;Bueno;Regular
2025-08-15;18.92;14.55;Bueno;42.04;Bueno;14.21;28.42;Bueno;94.72;Bueno;Bueno;Bueno
2025-08-16;33.50;25.77;Bueno;74.44;Bueno;22.79;45.58;Bueno;116.87;Regular;Bueno;Regular
2025-08-17;35.71;27.47;Bueno;79.35;Bueno;29.50;59.00;Bueno;131.46;Regular;Bueno;Regular
2025-08-18;43.00;33.08;Bueno;95.56;Bueno;29.75;59.50;Bueno;132.01;Regular;Bueno;Regular
2025-08-19;31.79;24.46;Bueno;70.65;Bueno;20.46;40.92;Bueno;111.81;Regular;Bueno;Regular
2025-08-20;25.33;19.49;Bueno;56.30;Bueno;13.67;27.33;Bueno;91.11;Bueno;Bueno;Bueno
2025-08-21;14.00;10.77;Bueno;31.11;Bueno;9.33;18.67;Bueno;62.22;Bueno;Bueno;Bueno
2025-08-22;14.30;11.00;Bueno;31.79;Bueno;11.04;22.09;Bueno;73.62;Bueno;Bueno;Bueno
2025-08-23;31.12;23.94;Bueno;69.17;Bueno;25.33;50.67;Bueno;122.39;Regular;Bueno;Regular
2025-08-24;21.71;16.70;Bueno;48.24;Bueno;15.96;31.92;Bueno;102.07;Regular;Bueno;Regular
2025-08-25;;;;;;16.29;32.57;Bueno;102.78;Regular;Bueno;Regular
2025-08-26;;;;;;16.29;32.58;Bueno;102.79;Regular;Bueno;Regular
2025-08-27;;;;;;29.17;58.33;Bueno;130.74;Regular;Bueno;Regular
2025-08-28;;;;;;18.29;36.58;Bueno;107.12;Regular;Bueno;Regular
2025-08-29;29.00;22.31;Bueno;64.44;Bueno;19.00;38.00;Bueno;108.65;Regular;Bueno;Regular
2025-08-30;42.54;32.72;Bueno;94.54;Bueno;30.08;60.17;Bueno;132.73;Regular;Bueno;Regular
2025-08-31;37.25;28.65;Bueno;82.78;Bueno;28.12;56.25;Bueno;128.47;Regular;Bueno;Regular
2025-09-01;33.54;25.80;Bueno;74.54;Bueno;21.00;42.00;Bueno;112.98;Regular;Bueno;Regular
2025-09-02;21.50;16.54;Bueno;47.78;Bueno;11.25;22.50;Bueno;75.00;Bueno;Bueno;Bueno
2025-09-03;17.38;13.37;Bueno;38.61;Bueno;5.21;10.42;Bueno;34.72;Bueno;Bueno;Bueno
2025-09-04;35.38;27.21;Bueno;78.61;Bueno;18.50;37.00;Bueno;107.57;Regular;Bueno;Regular
2025-09-05;60.58;46.60;Bueno;125.59;Regular;35.58;71.17;Bueno;144.75;Regular;Bueno;Regular
2025-09-06;30.50;23.46;Bueno;67.78;Bueno;21.71;43.42;Bueno;114.52;Regular;Bueno;Regular
2025-09-07;36.04;27.72;Bueno;80.09;Bueno;25.58;51.17;Bueno;122.93;Regular;Bueno;Regular
2025-09-08;29.29;22.53;Bueno;65.09;Bueno;14.00;28.00;Bueno;93.33;Bueno;Bueno;Bueno
2025-09-09;31.35;24.11;Bueno;69.66;Bueno;9.61;19.22;Bueno;64.06;Bueno;Bueno;Bueno
2025-09-10;13.67;10.51;Bueno;30.37;Bueno;3.83;7.67;Bueno;25.56;Bueno;Bueno;Bueno
2025-09-11;28.83;22.18;Bueno;64.07;Bueno;9.88;19.75;Bueno;65.83;Bueno;Bueno;Bueno
2025-09-12;39.62;30.48;Bueno;88.06;Bueno;12.46;24.92;Bueno;83.06;Bueno;Bueno;Bueno
2025-09-13;15.62;12.02;Bueno;34.72;Bueno;4.00;8.00;Bueno;26.67;Bueno;Bueno;Bueno
2025-09-14;20.29;15.61;Bueno;45.09;Bueno;9.58;19.17;Bueno;63.89;Bueno;Bueno;Bueno
2025-09-15;27.92;21.47;Bueno;62.04;Bueno;11.12;22.25;Bueno;74.17;Bueno;Bueno;Bueno
2025-09-16;39.54;30.42;Bueno;87.87;Bueno;14.17;28.33;Bueno;94.44;Bueno;Bueno;Bueno
2025-09-17;45.79;35.22;Bueno;101.30;Regular;20.04;40.08;Bueno;110.91;Regular;Bueno;Regular
2025-09-18;30.29;23.30;Bueno;67.31;Bueno;14.67;29.33;Bueno;97.78;Bueno;Bueno;Bueno
2025-09-19;23.88;18.37;Bueno;53.06;Bueno;9.04;18.08;Bueno;60.28;Bueno;Bueno;Bueno
2025-09-20;13.71;10.54;Bueno;30.46;Bueno;5.46;10.92;Bueno;36.39;Bueno;Bueno;Bueno
2025-09-21;17.62;13.56;Bueno;39.17;Bueno;12.96;25.92;Bueno;86.39;Bueno;Bueno;Bueno
2025-09-22;18.04;13.88;Bueno;40.09;Bueno;6.33;12.67;Bueno;42.22;Bueno;Bueno;Bueno
2025-09-23;32.04;24.65;Bueno;71.20;Bueno;10.71;21.42;Bueno;71.39;Bueno;Bueno;Bueno
2025-09-24;35.54;27.34;Bueno;78.98;Bueno;12.71;25.42;Bueno;84.72;Bueno;Bueno;Bueno
2025-09-25;28.46;21.89;Bueno;63.24;Bueno;10.04;20.08;Bueno;66.94;Bueno;Bueno;Bueno
2025-09-26;18.79;14.46;Bueno;41.76;Bueno;9.29;18.58;Bueno;61.94;Bueno;Bueno;Bueno
2025-09-27;17.88;13.75;Bueno;39.72;Bueno;6.38;12.75;Bueno;42.50;Bueno;Bueno;Bueno
2025-09-28;15.04;11.57;Bueno;33.43;Bueno;4.79;9.58;Bueno;31.94;Bueno;Bueno;Bueno
2025-09-29;20.67;15.90;Bueno;45.93;Bueno;7.33;14.67;Bueno;48.89;Bueno;Bueno;Bueno
2025-09-30;26.62;20.48;Bueno;59.17;Bueno;7.92;15.83;Bueno;52.78;Bueno;Bueno;Bueno
2025-10-01;35.54;27.34;Bueno;78.98;Bueno;7.75;15.50;Bueno;51.67;Bueno;Bueno;Bueno
