FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;185;;;
250727;0200;221;;;
250727;0300;187;;;
250727;0400;142;;;
250727;0500;98;;;
250727;0600;114;;;
250727;0700;111;;;
250727;0800;103;;;
250727;0900;118;;;
250727;1000;111;;;
250727;1100;92;;;
250727;1200;78;;;
250727;1300;79;;;
250727;1400;55;;;
250727;1500;63;;;
250727;1600;48;;;
250727;1700;53;;;
250727;1800;45;;;
250727;1900;63;;;
250727;2000;79;;;
250727;2100;67;;;
250727;2200;88;;;
250727;2300;101;;;
250728;0000;106;;;
250728;0100;108;;;
250728;0200;98;;;
250728;0300;101;;;
250728;0400;96;;;
250728;0500;102;;;
250728;0600;103;;;
250728;0700;135;;;
250728;0800;171;;;
250728;0900;135;;;
250728;1000;110;;;
250728;1100;112;;;
250728;1200;83;;;
250728;1300;91;;;
250728;1400;71;;;
250728;1500;120;;;
250728;1600;117;;;
250728;1700;250;;;
250728;1800;220;;;
250728;1900;208;;;
250728;2000;227;;;
250728;2100;245;;;
250728;2200;199;;;
250728;2300;173;;;
250729;0000;171;;;
250729;0100;129;;;
250729;0200;110;;;
250729;0300;93;;;
250729;0400;76;;;
250729;0500;91;;;
250729;0600;121;;;
250729;0700;122;;;
250729;0800;142;;;
250729;0900;238;;;
250729;1000;192;;;
250729;1100;163;;;
250729;1200;130;;;
250729;1300;147;;;
250729;1400;129;;;
250729;1500;131;;;
250729;1600;;;;
250729;1700;208;;;
250729;1800;227;;;
250729;1900;275;;;
250729;2000;142;;;
250729;2100;92;;;
250729;2200;114;;;
250729;2300;136;;;
250730;0000;134;;;
250730;0100;126;;;
250730;0200;124;;;
250730;0300;128;;;
250730;0400;120;;;
250730;0500;80;;;
250730;0600;102;;;
250730;0700;172;;;
250730;0800;80;;;
250730;0900;80;;;
250730;1000;71;;;
250730;1100;107;;;
250730;1200;53;;;
250730;1300;51;;;
250730;1400;76;;;
250730;1500;125;;;
250730;1600;127;;;
250730;1700;178;;;
250730;1800;128;;;
250730;1900;80;;;
250730;2000;76;;;
250730;2100;38;;;
250730;2200;28;;;
250730;2300;33;;;
250731;0000;28;;;
250731;0100;43;;;
250731;0200;44;;;
250731;0300;35;;;
250731;0400;41;;;
250731;0500;42;;;
250731;0600;75;;;
250731;0700;88;;;
250731;0800;90;;;
250731;0900;87;;;
250731;1000;213;;;
250731;1100;188;;;
250731;1200;79;;;
250731;1300;44;;;
250731;1400;37;;;
250731;1500;32;;;
250731;1600;23;;;
250731;1700;33;;;
250731;1800;26;;;
250731;1900;31;;;
250731;2000;30;;;
250731;2100;21;;;
250731;2200;18;;;
250731;2300;15;;;
250801;0000;12;;;
250801;0100;11;;;
250801;0200;19;;;
250801;0300;16;;;
250801;0400;11;;;
250801;0500;8;;;
250801;0600;10;;;
250801;0700;17;;;
250801;0800;28;;;
250801;0900;20;;;
250801;1000;10;;;
250801;1100;10;;;
250801;1200;15;;;
250801;1300;13;;;
