FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;152;;;
250727;0200;143;;;
250727;0300;136;;;
250727;0400;110;;;
250727;0500;89;;;
250727;0600;91;;;
250727;0700;91;;;
250727;0800;100;;;
250727;0900;113;;;
250727;1000;93;;;
250727;1100;87;;;
250727;1200;97;;;
250727;1300;95;;;
250727;1400;64;;;
250727;1500;60;;;
250727;1600;49;;;
250727;1700;38;;;
250727;1800;50;;;
250727;1900;66;;;
250727;2000;79;;;
250727;2100;86;;;
250727;2200;104;;;
250727;2300;91;;;
250728;0000;84;;;
250728;0100;92;;;
250728;0200;85;;;
250728;0300;79;;;
250728;0400;72;;;
250728;0500;78;;;
250728;0600;81;;;
250728;0700;119;;;
250728;0800;130;;;
250728;0900;114;;;
250728;1000;118;;;
250728;1100;108;;;
250728;1200;93;;;
250728;1300;92;;;
250728;1400;93;;;
250728;1500;67;;;
250728;1600;81;;;
250728;1700;132;;;
250728;1800;129;;;
250728;1900;242;;;
250728;2000;237;;;
250728;2100;253;;;
250728;2200;243;;;
250728;2300;213;;;
250729;0000;165;;;
250729;0100;156;;;
250729;0200;143;;;
250729;0300;127;;;
250729;0400;105;;;
250729;0500;81;;;
250729;0600;66;;;
250729;0700;132;;;
250729;0800;170;;;
250729;0900;148;;;
250729;1000;115;;;
250729;1100;91;;;
250729;1200;85;;;
250729;1300;90;;;
250729;1400;109;;;
250729;1500;71;;;
250729;1600;92;;;
250729;1700;181;;;
250729;1800;249;;;
250729;1900;280;;;
250729;2000;90;;;
250729;2100;106;;;
250729;2200;116;;;
250729;2300;94;;;
250730;0000;97;;;
250730;0100;92;;;
250730;0200;93;;;
250730;0300;89;;;
250730;0400;90;;;
250730;0500;105;;;
250730;0600;112;;;
250730;0700;113;;;
250730;0800;72;;;
250730;0900;57;;;
250730;1000;74;;;
250730;1100;53;;;
250730;1200;65;;;
250730;1300;85;;;
250730;1400;125;;;
250730;1500;112;;;
250730;1600;126;;;
250730;1700;137;;;
250730;1800;105;;;
250730;1900;64;;;
250730;2000;58;;;
250730;2100;36;;;
250730;2200;30;;;
250730;2300;31;;;
250731;0000;29;;;
250731;0100;33;;;
250731;0200;31;;;
250731;0300;38;;;
250731;0400;38;;;
250731;0500;41;;;
250731;0600;51;;;
250731;0700;82;;;
250731;0800;155;;;
250731;0900;88;;;
250731;1000;82;;;
250731;1100;117;;;
250731;1200;47;;;
250731;1300;28;;;
250731;1400;26;;;
250731;1500;20;;;
250731;1600;24;;;
250731;1700;31;;;
250731;1800;18;;;
250731;1900;30;;;
250731;2000;32;;;
250731;2100;28;;;
250731;2200;20;;;
250731;2300;8;;;
250801;0000;15;;;
250801;0100;19;;;
250801;0200;12;;;
250801;0300;7;;;
250801;0400;8;;;
250801;0500;6;;;
250801;0600;4;;;
250801;0700;6;;;
250801;0800;5;;;
250801;0900;8;;;
250801;1000;5;;;
250801;1100;4;;;
250801;1200;4;;;
250801;1300;4;;;
250801;1400;8;;;
250801;1500;15;;;
250801;1600;14;;;
250801;1700;11;;;
250801;1800;24;;;
250801;1900;20;;;
250801;2000;21;;;
250801;2100;14;;;
250801;2200;28;;;
250801;2300;8;;;
250802;0000;4;;;
250802;0100;4;;;
250802;0200;4;;;
250802;0300;7;;;
250802;0400;7;;;
250802;0500;7;;;
250802;0600;3;;;
250802;0700;6;;;
250802;0800;5;;;
250802;0900;6;;;
250802;1000;4;;;
250802;1100;7;;;
250802;1200;10;;;
250802;1300;19;;;
250802;1400;17;;;
250802;1500;21;;;
250802;1600;21;;;
250802;1700;28;;;
250802;1800;60;;;
250802;1900;179;;;
250802;2000;128;;;
250802;2100;151;;;
250802;2200;145;;;
250802;2300;140;;;
250803;0000;145;;;
250803;0100;131;;;
250803;0200;156;;;
250803;0300;147;;;
250803;0400;123;;;
250803;0500;124;;;
250803;0600;67;;;
250803;0700;73;;;
250803;0800;77;;;
250803;0900;74;;;
250803;1000;71;;;
250803;1100;60;;;
250803;1200;45;;;
250803;1300;29;;;
250803;1400;40;;;
250803;1500;44;;;
250803;1600;29;;;
250803;1700;54;;;
250803;1800;70;;;
250803;1900;166;;;
250803;2000;219;;;
250803;2100;224;;;
250803;2200;191;;;
250803;2300;178;;;
250804;0000;131;;;
250804;0100;126;;;
250804;0200;107;;;
250804;0300;99;;;
250804;0400;83;;;
250804;0500;84;;;
250804;0600;94;;;
250804;0700;174;;;
250804;0800;170;;;
250804;0900;147;;;
250804;1000;95;;;
250804;1100;98;;;
250804;1200;82;;;
250804;1300;95;;;
250804;1400;68;;;
250804;1500;56;;;
250804;1600;63;;;
250804;1700;119;;;
250804;1800;200;;;
250804;1900;281;;;
250804;2000;271;;;
250804;2100;279;;;
250804;2200;253;;;
250804;2300;206;;;
250805;0000;179;;;
250805;0100;160;;;
250805;0200;133;;;
250805;0300;124;;;
250805;0400;108;;;
250805;0500;111;;;
250805;0600;128;;;
250805;0700;181;;;
250805;0800;227;;;
250805;0900;175;;;
250805;1000;128;;;
250805;1100;140;;;
250805;1200;105;;;
250805;1300;85;;;
250805;1400;78;;;
250805;1500;56;;;
250805;1600;52;;;
250805;1700;52;;;
250805;1800;66;;;
250805;1900;116;;;
250805;2000;170;;;
250805;2100;210;;;
250805;2200;209;;;
250805;2300;200;;;
250806;0000;143;;;
250806;0100;130;;;
250806;0200;102;;;
250806;0300;112;;;
250806;0400;92;;;
250806;0500;93;;;
250806;0600;103;;;
250806;0700;178;;;
250806;0800;199;;;
250806;0900;160;;;
250806;1000;94;;;
250806;1100;57;;;
250806;1200;64;;;
250806;1300;68;;;
250806;1400;47;;;
250806;1500;36;;;
250806;1600;43;;;
250806;1700;45;;;
250806;1800;47;;;
250806;1900;96;;;
250806;2000;70;;;
250806;2100;93;;;
250806;2200;62;;;
250806;2300;89;;;
250807;0000;61;;;
250807;0100;45;;;
250807;0200;34;;;
250807;0300;54;;;
250807;0400;49;;;
250807;0500;65;;;
250807;0600;88;;;
250807;0700;149;;;
250807;0800;159;;;
250807;0900;105;;;
250807;1000;89;;;
250807;1100;79;;;
250807;1200;67;;;
250807;1300;57;;;
250807;1400;66;;;
250807;1500;73;;;
250807;1600;46;;;
250807;1700;48;;;
250807;1800;54;;;
250807;1900;58;;;
250807;2000;75;;;
250807;2100;107;;;
250807;2200;127;;;
250807;2300;132;;;
250808;0000;131;;;
250808;0100;123;;;
250808;0200;97;;;
250808;0300;94;;;
250808;0400;83;;;
250808;0500;85;;;
250808;0600;120;;;
250808;0700;164;;;
250808;0800;149;;;
250808;0900;109;;;
250808;1000;106;;;
250808;1100;133;;;
250808;1200;124;;;
250808;1300;125;;;
250808;1400;84;;;
250808;1500;87;;;
250808;1600;92;;;
250808;1700;97;;;
250808;1800;155;;;
250808;1900;243;;;
250808;2000;235;;;
250808;2100;242;;;
250808;2200;125;;;
250808;2300;108;;;
250809;0000;69;;;
250809;0100;26;;;
250809;0200;28;;;
250809;0300;22;;;
250809;0400;20;;;
250809;0500;25;;;
250809;0600;21;;;
250809;0700;20;;;
250809;0800;23;;;
250809;0900;24;;;
250809;1000;20;;;
250809;1100;27;;;
250809;1200;29;;;
250809;1300;31;;;
250809;1400;39;;;
250809;1500;54;;;
250809;1600;62;;;
250809;1700;54;;;
250809;1800;59;;;
250809;1900;69;;;
250809;2000;60;;;
250809;2100;67;;;
250809;2200;60;;;
250809;2300;74;;;
250810;0000;81;;;
250810;0100;64;;;
250810;0200;66;;;
250810;0300;62;;;
250810;0400;79;;;
250810;0500;74;;;
250810;0600;80;;;
250810;0700;98;;;
250810;0800;97;;;
250810;0900;72;;;
250810;1000;62;;;
250810;1100;71;;;
250810;1200;51;;;
250810;1300;58;;;
250810;1400;58;;;
250810;1500;74;;;
250810;1600;82;;;
250810;1700;88;;;
250810;1800;83;;;
250810;1900;136;;;
250810;2000;94;;;
250810;2100;129;;;
250810;2200;140;;;
250810;2300;144;;;
250811;0000;137;;;
250811;0100;116;;;
250811;0200;105;;;
250811;0300;88;;;
250811;0400;86;;;
250811;0500;76;;;
250811;0600;80;;;
250811;0700;115;;;
250811;0800;138;;;
250811;0900;124;;;
250811;1000;112;;;
250811;1100;96;;;
250811;1200;92;;;
250811;1300;86;;;
250811;1400;73;;;
250811;1500;98;;;
250811;1600;85;;;
250811;1700;120;;;
250811;1800;246;;;
250811;1900;236;;;
250811;2000;304;;;
250811;2100;280;;;
250811;2200;297;;;
250811;2300;245;;;
250812;0000;209;;;
250812;0100;175;;;
250812;0200;173;;;
250812;0300;159;;;
250812;0400;115;;;
250812;0500;131;;;
250812;0600;129;;;
250812;0700;193;;;
250812;0800;192;;;
250812;0900;172;;;
250812;1000;169;;;
250812;1100;156;;;
250812;1200;135;;;
250812;1300;120;;;
250812;1400;66;;;
250812;1500;80;;;
250812;1600;97;;;
250812;1700;88;;;
250812;1800;100;;;
250812;1900;152;;;
250812;2000;116;;;
250812;2100;96;;;
250812;2200;115;;;
250812;2300;133;;;
250813;0000;110;;;
250813;0100;105;;;
250813;0200;93;;;
250813;0300;97;;;
250813;0400;98;;;
250813;0500;108;;;
250813;0600;119;;;
250813;0700;168;;;
250813;0800;193;;;
250813;0900;172;;;
250813;1000;140;;;
250813;1100;123;;;
250813;1200;124;;;
250813;1300;140;;;
250813;1400;129;;;
250813;1500;97;;;
250813;1600;97;;;
250813;1700;105;;;
250813;1800;104;;;
250813;1900;166;;;
250813;2000;157;;;
250813;2100;137;;;
250813;2200;171;;;
250813;2300;158;;;
250814;0000;154;;;
250814;0100;148;;;
250814;0200;126;;;
250814;0300;121;;;
250814;0400;111;;;
250814;0500;107;;;
250814;0600;119;;;
250814;0700;184;;;
250814;0800;192;;;
250814;0900;107;;;
250814;1000;77;;;
250814;1100;112;;;
250814;1200;74;;;
250814;1300;58;;;
250814;1400;43;;;
250814;1500;44;;;
250814;1600;;;;
250814;1700;;;;
250814;1800;42;;;
250814;1900;45;;;
250814;2000;35;;;
250814;2100;40;;;
250814;2200;39;;;
250814;2300;46;;;
250815;0000;48;;;
250815;0100;20;;;
250815;0200;17;;;
250815;0300;8;;;
250815;0400;15;;;
250815;0500;14;;;
250815;0600;15;;;
250815;0700;23;;;
250815;0800;14;;;
250815;0900;10;;;
250815;1000;17;;;
250815;1100;14;;;
250815;1200;15;;;
250815;1300;25;;;
250815;1400;23;;;
250815;1500;17;;;
250815;1600;30;;;
250815;1700;26;;;
250815;1800;27;;;
250815;1900;31;;;
250815;2000;44;;;
250815;2100;37;;;
250815;2200;39;;;
250815;2300;25;;;
250816;0000;25;;;
250816;0100;25;;;
250816;0200;39;;;
250816;0300;37;;;
250816;0400;42;;;
250816;0500;42;;;
250816;0600;48;;;
250816;0700;100;;;
250816;0800;66;;;
250816;0900;46;;;
250816;1000;32;;;
250816;1100;37;;;
250816;1200;44;;;
250816;1300;37;;;
250816;1400;34;;;
250816;1500;30;;;
250816;1600;40;;;
250816;1700;36;;;
250816;1800;38;;;
250816;1900;39;;;
250816;2000;60;;;
250816;2100;76;;;
250816;2200;76;;;
250816;2300;80;;;
250817;0000;74;;;
250817;0100;59;;;
250817;0200;65;;;
250817;0300;74;;;
250817;0400;88;;;
250817;0500;79;;;
250817;0600;80;;;
250817;0700;52;;;
250817;0800;33;;;
250817;0900;24;;;
250817;1000;15;;;
250817;1100;15;;;
250817;1200;21;;;
250817;1300;19;;;
250817;1400;26;;;
250817;1500;22;;;
250817;1600;32;;;
250817;1700;33;;;
250817;1800;42;;;
250817;1900;51;;;
250817;2000;84;;;
250817;2100;98;;;
250817;2200;108;;;
250817;2300;99;;;
250818;0000;80;;;
250818;0100;71;;;
250818;0200;63;;;
250818;0300;55;;;
250818;0400;56;;;
250818;0500;62;;;
250818;0600;73;;;
250818;0700;114;;;
250818;0800;132;;;
250818;0900;97;;;
250818;1000;77;;;
250818;1100;58;;;
250818;1200;72;;;
250818;1300;41;;;
250818;1400;20;;;
250818;1500;21;;;
250818;1600;22;;;
250818;1700;30;;;
250818;1800;40;;;
250818;1900;53;;;
250818;2000;46;;;
250818;2100;45;;;
250818;2200;41;;;
250818;2300;55;;;
250819;0000;53;;;
250819;0100;45;;;
250819;0200;39;;;
250819;0300;24;;;
250819;0400;26;;;
250819;0500;27;;;
250819;0600;40;;;
250819;0700;93;;;
250819;0800;84;;;
250819;0900;74;;;
250819;1000;65;;;
250819;1100;61;;;
250819;1200;44;;;
250819;1300;47;;;
250819;1400;43;;;
250819;1500;32;;;
250819;1600;34;;;
250819;1700;39;;;
250819;1800;46;;;
250819;1900;37;;;
250819;2000;29;;;
250819;2100;24;;;
250819;2200;31;;;
250819;2300;44;;;
250820;0000;47;;;
250820;0100;30;;;
250820;0200;34;;;
250820;0300;30;;;
250820;0400;30;;;
250820;0500;40;;;
250820;0600;54;;;
250820;0700;113;;;
250820;0800;101;;;
250820;0900;91;;;
250820;1000;76;;;
250820;1100;64;;;
250820;1200;52;;;
250820;1300;50;;;
250820;1400;;;;
250820;1500;;;;
250820;1600;34;;;
250820;1700;42;;;
250820;1800;51;;;
250820;1900;48;;;
250820;2000;41;;;
250820;2100;18;;;
250820;2200;10;;;
250820;2300;24;;;
250821;0000;17;;;
250821;0100;4;;;
250821;0200;4;;;
250821;0300;8;;;
250821;0400;19;;;
250821;0500;21;;;
250821;0600;22;;;
250821;0700;35;;;
250821;0800;42;;;
250821;0900;28;;;
250821;1000;55;;;
250821;1100;62;;;
250821;1200;53;;;
250821;1300;31;;;
250821;1400;63;;;
250821;1500;19;;;
250821;1600;13;;;
250821;1700;12;;;
250821;1800;9;;;
250821;1900;9;;;
250821;2000;6;;;
250821;2100;8;;;
250821;2200;12;;;
250821;2300;15;;;
250822;0000;7;;;
250822;0100;7;;;
250822;0200;9;;;
250822;0300;6;;;
250822;0400;3;;;
250822;0500;17;;;
250822;0600;4;;;
250822;0700;7;;;
250822;0800;8;;;
250822;0900;8;;;
250822;1000;11;;;
250822;1100;14;;;
250822;1200;12;;;
250822;1300;18;;;
250822;1400;11;;;
250822;1500;15;;;
250822;1600;12;;;
250822;1700;15;;;
250822;1800;11;;;
250822;1900;8;;;
250822;2000;9;;;
250822;2100;9;;;
250822;2200;20;;;
250822;2300;48;;;
250823;0000;44;;;
250823;0100;36;;;
250823;0200;41;;;
250823;0300;33;;;
250823;0400;40;;;
250823;0500;43;;;
250823;0600;39;;;
250823;0700;32;;;
250823;0800;33;;;
250823;0900;32;;;
250823;1000;32;;;
250823;1100;32;;;
250823;1200;34;;;
250823;1300;29;;;
250823;1400;32;;;
250823;1500;21;;;
250823;1600;18;;;
250823;1700;18;;;
250823;1800;39;;;
